Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Sam Berry,ADE,0.58,0,0,0
Hugh Bond,ADE,5.43,3,0,0
James Borlase,ADE,1.31,0,0,0
Chris Burgess,ADE,16.97,0,0,0
Jordan Butts,ADE,0,0,0,0
Brayden Cook,ADE,0.59,0,0,0
Matt Crouch,ADE,4.22,0,0,0
Daniel Curtin,ADE,15.71,10,10,0
Jordan Dawson,ADE,14.86,4,4,0
Billy Dowling,ADE,10.98,34,27,20
Charlie Edwards,ADE,0.83,0,1,0
Darcy Fogarty,ADE,0.73,0,0,0
Karl Gallagher,ADE,0.83,0,0,0
Lachlan Gollant,ADE,0.16,0,0,0
Will Hamill,ADE,1,0,0,0
Elliott Himmelberg,ADE,0.36,0,0,0
Mitchell Hinge,ADE,0.94,0,0,0
Chayce Jones,ADE,0.44,0,0,0
Mark Keane,ADE,1.21,0,0,0
Ben Keays,ADE,5.22,3,0,0
Rory Laird,ADE,6.88,5,3,0
Edward McHenry,ADE,0,0,0,0
Max Michalanney,ADE,1.09,0,0,0
Wayne Milera,ADE,0.24,0,0,0
Lachlan Murphy,ADE,0.12,0,0,0
Nick Murray,ADE,0.21,0,0,0
Luke Nankervis,ADE,0.91,0,0,0
Reilly O'Brien,ADE,2.56,0,0,0
Patrick Parnell,ADE,0.1,0,0,0
Luke Pedlar,ADE,0.2,0,0,0
Josh Rachele,ADE,1.74,0,0,0
Izak Rankine,ADE,6.19,3,1,0
Oscar Ryan,ADE,0.36,0,0,0
Harry Schoenberg,ADE,0.24,0,0,0
Lachlan Sholl,ADE,0.58,0,0,0
Rory Sloane,ADE,0.19,0,0,0
Brodie Smith,ADE,0.4,0,0,0
Jake Soligo,ADE,1.59,0,0,0
Kieran Strachan,ADE,0.2,0,0,0
Zac Taylor,ADE,13.92,29,18,0
Riley Thilthorpe,ADE,0.42,0,0,0
Taylor Walker,ADE,1.27,0,0,0
Josh Worrell,ADE,0.27,0,0,0
Callum Ah Chee,BRL,1.76,0,0,0
Harris Andrews,BRL,1.35,0,0,0
Noah Answerth,BRL,0.19,0,0,0
Will Ashcroft,BRL,0.99,0,0,0
Zac Bailey,BRL,3.15,0,0,0
Jarrod Berry,BRL,0.77,0,0,0
Shadeau Brain,BRL,2.39,1,0,0
Charlie Cameron,BRL,3.01,0,0,0
Keidean Coleman,BRL,2.29,0,0,0
Joe Daniher,BRL,2.89,1,1,10
Tom Doedee,BRL,0.2,0,0,0
Josh Dunkley,BRL,16.75,76,86,80
Jaspa Fletcher,BRL,1.29,0,0,0
Darcy Fort,BRL,1.08,0,0,0
Darcy Gardiner,BRL,0.59,0,0,0
Eric Hipwood,BRL,0.41,0,0,0
Darragh Joyce,BRL,0.42,0,0,0
Kalin Lane,BRL,1.28,0,0,0
Ryan Lester,BRL,0.27,0,0,0
Luke Lloyd,BRL,0.16,0,0,0
Kai Lohmann,BRL,2.02,0,0,0
Jarryd Lyons,BRL,0.15,0,0,0
James Madden,BRL,0.38,0,0,0
Lincoln McCarthy,BRL,0.25,0,0,0
Hugh McCluggage,BRL,2.9,0,0,0
Oscar McInerney,BRL,1.28,0,0,0
Conor McKenna,BRL,0.28,0,0,0
Carter Michael,BRL,0.1,0,0,0
Logan Morris,BRL,1.66,1,0,0
Lachie Neale,BRL,7.64,6,6,0
Jack Payne,BRL,0.4,0,0,0
Jaxon Prior,BRL,0.11,0,0,0
Cam Rayner,BRL,3.2,0,0,0
Bruce Reville,BRL,7.11,4,2,0
Deven Robertson,BRL,3.25,0,0,0
Brandon Ryan,BRL,0.14,0,0,0
