Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Jack Macrae,STK,58.73,100,100,100
Caleb Daniel,NTH,66.42,99.9,100,100
Sam Davidson,WBD,54.03,98.3,99,100
Zach Reid,ESS,64.22,98.2,100,100
Tom De Koning,CAR,46.07,97.9,99,100
Connor Rozee,PTA,36.99,97.1,97,100
Clayton Oliver,MEL,54.75,96.3,94,100
Levi Ashcroft,BRL,66.72,95,94,100
Lucas Camporeale,CAR,50.74,94.1,96,90
Bailey Smith,GEE,72.98,94,94,100
Matt Roberts,SYD,46.65,93.6,92,100
Jordan Dawson,ADE,31.66,92.3,94,100
Sam De Koning,GEE,43.51,91,90,90
Harry Boyd,STK,54.63,90.8,88,100
Tristan Xerri,NTH,58.76,89.9,90,90
Jayden Short,RIC,38.45,86.9,81,80
Conor Stone,GWS,43.29,78,73,50
Nathan O'Driscoll,FRE,29.27,77.3,73,50
Finn O'Sullivan ,NTH,49.42,76,68,50
Will Day,HAW,51.21,74.9,60,50
Joel Freijah,WBD,23.91,73.8,68,50
Luke Trainor,RIC,39.16,69.5,62,30
Xavier Lindsay,MEL,24.89,67.4,69,60
Harry Sheezel,NTH,56.61,66.9,75,100
Jason Horne-Francis,PTA,58.32,64.7,48,40
Ryley Sanders,WBD,36.97,63.7,55,40
Max Hall,STK,32.36,54.9,68,80
Adam Cerra,CAR,13.57,50.9,48,50
James Leake,GWS,45.52,50.8,56,70
Isaac Kako,ESS,52.8,48.3,54,50
Hugo Garcia,STK,23.04,42,35,40
Sam Lalor ,RIC,36.07,34.9,22,10
Jaxon Prior,ESS,19.83,28.6,20,20
Murphy Reid ,FRE,20.39,26.1,27,20
Izak Rankine,ADE,18.26,25.1,32,30
Harry Perryman,COL,24.4,24.2,22,10
Max Holmes,GEE,17.85,21.7,16,20
Mitch Knevitt,GEE,9.43,21.2,29,40
Tom Powell,NTH,4.88,18.2,26,10
Nasiah Wanganeen-Milera,STK,10.68,17.2,25,20
Angus Hastie,STK,11.67,15.5,21,10
Dayne Zorko,BRL,11.09,14.6,25,40
Christian Petracca,MEL,11.46,13.1,9,0
Archer Reid,WCE,24.19,13.1,21,20
Elijah Hewett,WCE,24.99,12.1,9,10
Riley Bice,SYD,17.01,11.6,12,20
Tom Liberatore,WBD,4.76,11,18,30
Finn Callaghan,GWS,25.15,11,8,20
Oliver Hollands,CAR,7.1,9.3,3,0
Max Gawn,MEL,19.4,9,10,10
Hugh Boxshall,STK,9.24,8.4,7,20
Corey Warner,SYD,15.57,8.2,11,0
Liam O'Connell,STK,11.07,7.8,12,0
Bo Allan ,WCE,18.86,7,5,0
Sid Draper ,ADE,24.66,6.9,5,0
Nick Daicos,COL,27.14,6.6,7,10
Saad El-Hawli,ESS,22.18,5.7,10,30
Jy Simpkin,NTH,7.48,5.4,9,20
Joe Berry,PTA,10.44,5.3,4,0
Max Gruzewski,GWS,7.93,4.3,5,20
Harvey Langford ,MEL,11.68,4.2,5,0
Andrew Brayshaw,FRE,9.48,3.9,4,0
Tom Hanily,SYD,8.43,3.8,7,20
Will Ashcroft,BRL,16.02,3.5,3,0
Daniel Curtin,ADE,11.37,3.4,5,10
Jack Henderson,MEL,7.33,3.2,5,0
Christian Salem,MEL,2.29,3.1,2,0
Josh Dunkley,BRL,4.98,2.8,10,10
Sam Taylor,GWS,9.03,2.8,1,0
Jake Soligo,ADE,3.77,2.8,6,30
Jacob Konstanty,NTH,5.2,2.6,3,10
James Sicily,HAW,12.46,2.3,2,0
Zach Merrett,ESS,9.43,2.3,3,0
Jordan Clark,FRE,4.11,2.2,3,0
Max Heath,STK,11.97,2.2,2,10
Jack Sinclair,STK,7.94,2.1,3,0
Jack Henry,GEE,2.14,2.1,4,0
Lawson Humphries,GEE,3.5,2.1,2,0
Miles Bergman,PTA,2.58,2,1,0
Bailey Dale,WBD,2.45,1.9,3,0
Ethan Read,GCS,4.52,1.9,1,0
Connor O'Sullivan,GEE,9.11,1.9,1,10
Tom Stewart,GEE,4.73,1.8,0,0
Sam Wicks,SYD,4.33,1.8,2,0
Hamish Davis,WCE,0.83,1.7,2,0
Lachie Ash,GWS,6.96,1.6,2,0
Luke Jackson,FRE,8.68,1.6,2,0
Caleb Serong,FRE,8.97,1.6,2,0
Jack Silvagni,CAR,2.5,1.5,1,0
Corey Wagner,FRE,0.89,1.4,1,0
Ben Hobbs,ESS,2.43,1.3,2,0
Tobie Travaglia,STK,10.32,1.3,2,0
Jeremy Finlayson,PTA,1.88,1.1,2,0
Coen Livingstone,WCE,6.23,1.1,0,0
Kane Farrell,PTA,1.48,1,2,0
Thomas Edwards,ESS,1.15,1,1,10
Karl Amon,HAW,4.49,0.9,3,0
Toby Nankervis,RIC,2.32,0.9,0,0
James Peatling,ADE,6.08,0.9,0,0
Jake Bowey,MEL,0.98,0.9,1,0
Isaac Keeler,STK,3.44,0.9,1,0
Nic Martin,ESS,6.55,0.9,1,0
Harry Armstrong ,RIC,4.35,0.9,2,0
Kamdyn McIntosh,RIC,1.46,0.8,1,0
Jack Graham,WCE,2.26,0.8,1,0
Matthew Kennedy,WBD,1.75,0.8,0,0
Tim English,WBD,6.42,0.8,0,0
Jye Caldwell,ESS,2.06,0.8,2,10
Matthew Jefferson,MEL,1.4,0.8,0,0
Aidan Johnson,MEL,1.1,0.8,0,0
Darcy Wilson,STK,1.92,0.8,1,0
Andrew McGrath,ESS,1.23,0.7,1,0
Lachlan Charleson,PTA,9.94,0.7,1,0
Karl Worner,FRE,2.17,0.7,2,0
Kaleb Smith,RIC,4.42,0.7,1,10
Josh Dolan,WBD,1.98,0.7,2,0
Jordon Sweet,PTA,2.5,0.6,0,0
Patrick Said,STK,0.33,0.6,1,0
Lachie Neale,BRL,4.58,0.5,1,0
Liam Baker,WCE,5.16,0.5,0,0
Dylan Moore,HAW,20.62,0.5,0,0
Christian Moraes,PTA,1.49,0.5,0,0
Charlie Edwards,ADE,1.42,0.5,1,0
Jack Hutchinson,WCE,2.24,0.5,2,10
Luke Parker,NTH,2.12,0.4,1,0
