Season,roundNumber,matchId,playerId,name,TOG,CBA,KI,teamName,CBA_PERC,KI_PERC,TeamCBA,TeamKI
2021,1,CD_M20210140101,CD_I280819,Dylan Grimes,92,0,1,Richmond,0,7,30,14
2021,1,CD_M20210140101,CD_I990827,Jack Graham,76,11,0,Richmond,37,0,30,14
2021,1,CD_M20210140101,CD_I294592,Kamdyn McIntosh,88,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I991933,Jason Castagna,84,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I295203,Nathan Broad,70,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I294674,Nick Vlastuin,56,0,2,Richmond,0,14,30,14
2021,1,CD_M20210140101,CD_I290623,Josh Caddy,79,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I260930,Shane Edwards,81,17,0,Richmond,57,0,30,14
2021,1,CD_M20210140101,CD_I298174,Toby Nankervis,75,23,0,Richmond,77,0,30,14
2021,1,CD_M20210140101,CD_I992049,Jayden Short,88,0,10,Richmond,0,71,30,14
2021,1,CD_M20210140101,CD_I290032,Kane Lambert,85,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I993771,Marlion Pickett,79,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I290627,Dion Prestia,74,21,0,Richmond,70,0,30,14
2021,1,CD_M20210140101,CD_I250395,Jack Riewoldt,90,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I993993,Shai Bolton,79,16,0,Richmond,53,0,30,14
2021,1,CD_M20210140101,CD_I1000223,Liam Baker,78,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I290847,Dustin Martin,89,19,0,Richmond,63,0,30,14
2021,1,CD_M20210140101,CD_I293813,Tom J. Lynch,92,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I992786,Jake Aarts,78,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I290198,David Astbury,88,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I1002245,Noah Balta,84,7,1,Richmond,23,7,30,14
2021,1,CD_M20210140101,CD_I1006133,Jack Ross,23,6,0,Richmond,20,0,30,14
2021,1,CD_M20210140101,CD_I1000981,Daniel Rioli,72,0,0,Richmond,0,0,30,14
2021,1,CD_M20210140101,CD_I998167,Tom Williamson,81,0,1,Carlton,0,7,30,15
2021,1,CD_M20210140101,CD_I993832,Jacob Weitering,90,0,5,Carlton,0,33,30,15
2021,1,CD_M20210140101,CD_I1002256,Paddy Dow,69,12,0,Carlton,40,0,30,15
2021,1,CD_M20210140101,CD_I281124,Levi Casboult,85,4,0,Carlton,13,0,30,15
2021,1,CD_M20210140101,CD_I250105,Marc Murphy,76,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I999827,Zac Fisher,79,7,0,Carlton,23,0,30,15
2021,1,CD_M20210140101,CD_I295518,Sam Docherty,91,0,5,Carlton,0,33,30,15
2021,1,CD_M20210140101,CD_I994539,Sam Petrevski-Seton,74,0,1,Carlton,0,7,30,15
2021,1,CD_M20210140101,CD_I298290,Marc Pittonet,87,26,0,Carlton,87,0,30,15
2021,1,CD_M20210140101,CD_I1002228,Lachie Fogarty,75,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I990704,Patrick Cripps,91,23,0,Carlton,77,0,30,15
2021,1,CD_M20210140101,CD_I998215,Will Setterfield,75,6,0,Carlton,20,0,30,15
2021,1,CD_M20210140101,CD_I281078,Liam Jones,98,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I1001028,Jack Silvagni,40,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I296200,Michael Gibbons,69,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I1006094,Sam Walsh,82,21,0,Carlton,70,0,30,15
2021,1,CD_M20210140101,CD_I294624,Lachie Plowman,84,0,2,Carlton,0,13,30,15
2021,1,CD_M20210140101,CD_I992472,Oscar McDonald,49,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I270146,Ed Curnow,75,21,0,Carlton,70,0,30,15
2021,1,CD_M20210140101,CD_I1000953,Harry McKay,90,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I291773,Jack Newnes,85,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I1002259,Lochie O'Brien,74,0,0,Carlton,0,0,30,15
2021,1,CD_M20210140101,CD_I295461,Adam Saad,83,0,1,Carlton,0,7,30,15
2021,1,CD_M20210140102,CD_I291849,Brody Mihocek,81,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I998647,Mason Cox,80,1,0,Collingwood,5,0,21,9
2021,1,CD_M20210140102,CD_I1003029,Brayden Sier,60,13,0,Collingwood,62,0,21,9
2021,1,CD_M20210140102,CD_I291313,Jeremy Howe,91,0,3,Collingwood,0,33,21,9
2021,1,CD_M20210140102,CD_I1000072,John Noble,84,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I1012860,Oliver Henry,64,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I1005054,Josh Daicos,78,1,0,Collingwood,5,0,21,9
2021,1,CD_M20210140102,CD_I260257,Scott Pendlebury,77,13,0,Collingwood,62,0,21,9
2021,1,CD_M20210140102,CD_I290289,Josh Thomas,77,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I992010,Brayden Maynard,90,0,3,Collingwood,0,33,21,9
2021,1,CD_M20210140102,CD_I1009383,Trey Ruscoe,74,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I1002770,Callum L. Brown,0,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I293801,Jamie Elliott,82,4,0,Collingwood,19,0,21,9
2021,1,CD_M20210140102,CD_I293871,Jack Crisp,90,8,0,Collingwood,38,0,21,9
2021,1,CD_M20210140102,CD_I298288,Darcy Moore,96,0,3,Collingwood,0,33,21,9
2021,1,CD_M20210140102,CD_I1008171,Tyler Brown,75,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I994185,Jordan De Goey,87,8,0,Collingwood,38,0,21,9
2021,1,CD_M20210140102,CD_I1010841,Jack Madgen,85,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I291720,Will Hoskin-Elliott,84,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I293957,Brodie Grundy,84,20,0,Collingwood,95,0,21,9
2021,1,CD_M20210140102,CD_I291776,Taylor Adams,81,16,0,Collingwood,76,0,21,9
2021,1,CD_M20210140102,CD_I1008089,Isaac Quaynor,85,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I280012,Jordan Roughead,96,0,0,Collingwood,0,0,21,9
2021,1,CD_M20210140102,CD_I290797,Alex Keath,95,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I1002404,Aaron Naughton,76,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I294557,Lachie Hunter,81,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I1006127,Rhylee West,0,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I1003130,Patrick Lipinski,82,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I1009015,Lachlan McNeil,74,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I290799,Tom Liberatore,80,15,0,Western Bulldogs,71,0,21,11
2021,1,CD_M20210140102,CD_I291492,Josh Bruce,81,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I291790,Adam Treloar,77,2,0,Western Bulldogs,10,0,21,11
2021,1,CD_M20210140102,CD_I290085,Taylor Duryea,80,0,1,Western Bulldogs,0,9,21,11
2021,1,CD_M20210140102,CD_I280763,Stefan Martin,84,17,0,Western Bulldogs,81,0,21,11
2021,1,CD_M20210140102,CD_I295136,Caleb Daniel,85,0,6,Western Bulldogs,0,55,21,11
2021,1,CD_M20210140102,CD_I992048,Anthony Scott,82,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I291545,Mitch Wallis,78,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I996708,Bailey Dale,71,0,3,Western Bulldogs,0,27,21,11
2021,1,CD_M20210140102,CD_I1004592,Tim English,81,4,0,Western Bulldogs,19,0,21,11
2021,1,CD_M20210140102,CD_I997501,Ryan Gardner,100,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I1006130,Bailey Smith,86,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I295467,Jack Macrae,78,17,0,Western Bulldogs,81,0,21,11
2021,1,CD_M20210140102,CD_I297373,Marcus Bontempelli,83,15,0,Western Bulldogs,71,0,21,11
2021,1,CD_M20210140102,CD_I992351,Bailey Williams,87,0,1,Western Bulldogs,0,9,21,11
2021,1,CD_M20210140102,CD_I1005000,Laitham Vandermeer,76,0,0,Western Bulldogs,0,0,21,11
2021,1,CD_M20210140102,CD_I993834,Josh Dunkley,83,14,0,Western Bulldogs,67,0,21,11
2021,1,CD_M20210140103,CD_I999391,Tom Sparrow,65,4,0,Melbourne,17,0,23,10
2021,1,CD_M20210140103,CD_I250222,Nathan Jones,72,1,0,Melbourne,4,0,23,10
2021,1,CD_M20210140103,CD_I281280,Neville Jetta,82,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I297899,James Harmes,76,9,0,Melbourne,39,0,23,10
2021,1,CD_M20210140103,CD_I290528,Max Gawn,92,20,0,Melbourne,87,0,23,10
2021,1,CD_M20210140103,CD_I1001438,Bayley Fritsch,96,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I296359,Christian Salem,81,0,2,Melbourne,0,20,23,10
2021,1,CD_M20210140103,CD_I1002282,Charlie Spargo,69,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I994385,Jayden Hunt,88,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I1013409,James Jordon,73,10,0,Melbourne,43,0,23,10
2021,1,CD_M20210140103,CD_I298279,Angus Brayshaw,71,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I1009399,Luke Jackson,74,3,0,Melbourne,13,0,23,10
2021,1,CD_M20210140103,CD_I298264,Ed Langdon,94,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I1008541,Kysaiah Pickett,74,4,0,Melbourne,17,0,23,10
2021,1,CD_M20210140103,CD_I1005330,Kade Chandler,0,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I296420,Alex Neal-Bullen,74,4,0,Melbourne,17,0,23,10
2021,1,CD_M20210140103,CD_I996701,Clayton Oliver,88,21,0,Melbourne,91,0,23,10
2021,1,CD_M20210140103,CD_I291819,Adam Tomlinson,96,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I291533,Tom McDonald,91,0,0,Melbourne,0,0,23,10
2021,1,CD_M20210140103,CD_I298281,Jake Lever,98,0,1,Melbourne,0,10,23,10
2021,1,CD_M20210140103,CD_I281085,Steven May,100,0,6,Melbourne,0,60,23,10
2021,1,CD_M20210140103,CD_I1009378,Trent Rivers,55,0,1,Melbourne,0,10,23,10
2021,1,CD_M20210140103,CD_I298210,Christian Petracca,90,16,0,Melbourne,70,0,23,10
2021,1,CD_M20210140103,CD_I280988,Travis Colyer,84,0,0,Fremantle,0,0,23,14
2021,1,CD_M20210140103,CD_I998659,Luke Ryan,88,0,9,Fremantle,0,64,23,14
2021,1,CD_M20210140103,CD_I240052,David Mundy,77,13,0,Fremantle,57,0,23,14
2021,1,CD_M20210140103,CD_I295067,James Aish,78,0,0,Fremantle,0,0,23,14
2021,1,CD_M20210140103,CD_I290823,Reece Conca,83,0,0,Fremantle,0,0,23,14
2021,1,CD_M20210140103,CD_I1000980,Lloyd Meek,93,22,0,Fremantle,96,0,23,14
2021,1,CD_M20210140103,CD_I296294,Blake Acres,81,0,0,Fremantle,0,0,23,14
2021,1,CD_M20210140103,CD_I996580,Ethan Hughes,82,0,0,Fremantle,0,0,23,14
2021,1,CD_M20210140103,CD_I992059,Sam Switkowski,75,0,0,Fremantle,0,0,23,14
2021,1,CD_M20210140103,CD_I1002239,Adam Cerra,78,15,0,Fremantle,65,0,23,14
2021,1,CD_M20210140103,CD_I291570,Nat Fyfe,89,13,0,Fremantle,57,0,23,14
