Player,Team,Position,Price,PriceChg,PricedAt,BreakEven,LastScore,LastTG,LastPPM,LastCBA,CBAchg,LastKI,KIchg,SeasAvg,SeasTG,SeasPPM,SeasCBA,SeasKI,Last3Score,Last3TG,Last3PPM,Last3CBA,Last3KI,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000Chg,OwnershipTop100Chg,OwnershipTop10Chg,WinAvg,LossAvg,HomeAvg,AwayAvg,OppLastScore,OppLast3Score,OppCareer,ReservesAvg,ReservesLast
Nick Daicos,COL,MID,1008000,0,103.16241940436,99,0,0,0,0,-92,0,0,97,78,1.04107131206368,0.7625,0,97,79.5,1.02142845711908,0.781818181818182,0,26.14,3.5,5,0,-3.1,-2,-10,115.5,60,95,98,92,103.666666666667,85.1666666666667,0,0
Rowan Marshall,STK,RUC,1132000,-3000,115.853034489817,116,123,84,1.22582697201018,84,3,0,0,109.666666666667,83,1.10611402352412,0.581632653061225,0,109.7,83,1.10645022839449,0.581632653061225,0,14.6,3.9,7,0,3.9,7,0,132.5,64,132.5,64,119,117,116.857142857143,0,0
Tristan Xerri,NTH,RUC,1112000,-50000,113.806161088937,152,77,76,0.848165260479443,79,-5,0,0,98.6666666666667,81,1.01973842658038,0.835051546391753,0,98.7,81.3333333333333,1.01590226504818,0.835051546391753,0,58.7,75.4,73,90,-14.5,-17,0,90,103,90,103,94,76.5,76.5,0,0
Luke Ryan,FRE,DEF,927000,-49000,94.8725821307952,130,70,83,0.706030227781355,0,0,57,11,75.3333333333333,87,0.72488861591257,0,0.517241379310345,75.3,87.3333333333333,0.721802342520832,0,0.517241379310345,3.13,0,0,0,0,0,0,70,78,90,68,70,81.3333333333333,94.9090909090909,0,0
Lachie Whitfield,GWS,DEF,1120000,-7000,114.624910449289,119,120,78,1.2879232726561,0,0,50,50,110,78,1.18059633326809,0,0.425,110,80,1.15108142493639,0,0.5,20.97,3.7,5,0,3.4,5,0,105,120,99,115.5,102,105,105.4,0,0
Andrew Brayshaw,FRE,MID,1005000,-20000,102.855388394228,116,110,78,1.18059633326809,71,12,0,0,94,83,0.948097734449247,0.738095238095238,0,94,83,0.948097734449247,0.738095238095238,0,9.22,10.1,8,0,6.2,4,0,110,86,77,102.5,67,85.3333333333333,88.2727272727273,0,0
Tom Green,GWS,MID,1010000,-14000,103.367106744448,114,91,85,0.896243077383625,78,78,0,0,97.5,81,1.00768070869852,0.5,0,97.5,80.5,1.01393959508795,0.755102040816326,0,1.92,0.4,1,0,0.4,1,0,104,91,0,97.5,120,98.3333333333333,102.25,0,0
Sam Walsh,CAR,MID,1002000,-38000,102.548357384096,131,80,79,0.847746964279963,65,-9,0,0,87.6666666666667,80,0.917377014418999,0.589041095890411,0,87.7,80,0.91772582697201,0.589041095890411,0,3.2,0.4,1,0,0.2,1,0,0,87.6666666666667,89.5,84,130,108.666666666667,105.75,0,0
Errol Gulden,SYD,MID,1113000,0,113.908504758981,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nic Newman,CAR,DEF,1052000,0,107.665540886296,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
