Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Caleb Daniel,NTH,67.72,99.9,100,100
Jack Macrae,STK,60.56,99.9,100,100
Sam Davidson,WBD,53.81,99.5,99,100
Tom De Koning,CAR,48.04,98.7,99,100
Bailey Smith,GEE,74.43,98.1,99,100
Zach Reid,ESS,63.26,97.9,96,100
Clayton Oliver,MEL,54.58,96.6,97,90
Levi Ashcroft,BRL,67.14,94.4,98,90
Connor Rozee,PTA,38.54,91.5,91,90
Harry Boyd,STK,53.63,86.8,87,100
Matt Roberts,SYD,44.57,85.9,76,70
Nathan O'Driscoll,FRE,31.47,85.7,85,70
Jayden Short,RIC,38.01,85.2,88,80
Sam De Koning,GEE,44.11,80.6,80,70
Xavier Lindsay,MEL,27.16,78.4,79,90
Jordan Dawson,ADE,34.41,77.7,77,90
Conor Stone,GWS,42.57,76.9,74,60
Tristan Xerri,NTH,58.7,75.4,73,90
Lucas Camporeale,CAR,42.82,75,75,90
Luke Trainor,RIC,39.03,72.6,69,60
Finn O'Sullivan ,NTH,46.59,66.9,61,50
Joel Freijah,WBD,25.89,63.6,54,50
Max Hall,STK,34.28,57.5,70,90
Harry Sheezel,NTH,56.61,55.6,63,90
Adam Cerra,CAR,14.39,50,54,70
Jason Horne-Francis,PTA,53.16,47.1,24,20
Isaac Kako,ESS,51.02,46.3,43,40
James Leake,GWS,42.31,45,41,70
Hugo Garcia,STK,21.32,44.4,45,20
Izak Rankine,ADE,20.61,43.9,49,40
Sam Lalor ,RIC,35.73,38.5,33,10
Ryley Sanders,WBD,32.72,36.3,25,0
Nasiah Wanganeen-Milera,STK,13.57,35,35,30
Max Holmes,GEE,18.25,30.9,31,30
Jaxon Prior,ESS,19.39,29.5,28,30
Dayne Zorko,BRL,13.42,26.3,46,60
Tom Liberatore,WBD,6.09,26.1,42,60
Murphy Reid ,FRE,20.51,25.8,20,30
Ted Clohesy,GEE,16.29,23.8,29,40
Mitch Knevitt,GEE,9.87,23,27,50
Corey Warner,SYD,17.22,22.3,23,10
Tom Powell,NTH,6.54,19.6,14,0
Archer Reid,WCE,25.21,17.3,20,20
Will Day,HAW,34.58,16.5,10,20
Jack Sinclair,STK,10.17,15.7,16,20
Max Gawn,MEL,18.67,15.4,18,10
Finn Callaghan,GWS,26.57,15.1,7,0
Angus Hastie,STK,11.08,13.7,15,10
Riley Bice,SYD,18.76,13.4,16,10
Elijah Hewett,WCE,24.22,12.7,17,0
Christian Petracca,MEL,10.92,12.2,11,10
Will Ashcroft,BRL,16.18,11,5,0
Josh Dunkley,BRL,6.57,10.2,17,20
Andrew Brayshaw,FRE,9.22,10.1,8,0
Liam O'Connell,STK,11.49,9.7,11,0
Jake Soligo,ADE,6.05,9.4,9,20
Jack Henderson,MEL,8.43,8.7,8,10
Jy Simpkin,NTH,9.06,8.1,14,10
Bo Allan ,WCE,18.42,6.5,6,10
Hugh Boxshall,STK,8.78,6.4,7,10
Sid Draper ,ADE,23.73,6.3,7,0
Saad El-Hawli,ESS,23.45,6.1,11,20
Connor O'Sullivan,GEE,12.28,5.3,6,10
Joe Berry,PTA,10.28,4.8,2,0
Jake Bowey,MEL,2.97,4.4,3,0
Max Gruzewski,GWS,7.38,4.3,6,20
Tobie Travaglia,STK,12.73,4.3,7,0
Kane Farrell,PTA,3.33,4.2,3,0
Zach Merrett,ESS,9.57,4,6,10
Christian Moraes,PTA,7.96,4,6,0
Rowan Marshall,STK,14.6,3.9,7,0
Lachie Whitfield,GWS,20.97,3.7,5,0
Jordan Clark,FRE,4.06,3.7,4,0
Nick Daicos,COL,26.14,3.5,5,0
Lachie Ash,GWS,7.12,3.3,0,0
Miles Bergman,PTA,2.74,3.2,4,10
Tom Hanily,SYD,7.99,3.2,4,0
Luke Jackson,FRE,9.92,3,1,0
Ethan Read,GCS,5.1,3,5,0
Harvey Langford ,MEL,11.81,3,2,0
Christian Salem,MEL,3.59,2.8,4,0
Caleb Serong,FRE,8.7,2.8,3,0
Daniel Curtin,ADE,11.54,2.8,8,10
Tim English,WBD,6.21,2.6,2,0
Noah Anderson,GCS,3.28,2.6,2,0
Jacob Konstanty,NTH,5.22,2.6,3,0
Bailey Dale,WBD,2.81,2.1,2,0
Hamish Davis,WCE,0.86,2.1,3,10
Jack Graham,WCE,2.66,2,0,0
Harry Perryman,COL,12.05,1.9,3,10
Sam Taylor,GWS,8.67,1.9,1,0
Max Heath,STK,11.84,1.9,3,0
Sam Wicks,SYD,3.64,1.8,1,0
Lawson Humphries,GEE,3.86,1.8,1,0
Coen Livingstone,WCE,6.09,1.7,2,0
James Sicily,HAW,12.2,1.6,0,0
Jack Silvagni,CAR,2.6,1.6,2,0
Oliver Hollands,CAR,4.16,1.6,0,0
Aidan Johnson,MEL,1.25,1.6,0,0
Tom Stewart,GEE,4.26,1.3,1,0
Jye Caldwell,ESS,2.2,1.3,2,10
George Hewett,CAR,1.21,1.2,2,0
Josh Dolan,WBD,1.94,1.2,2,10
Lachie Neale,BRL,4.8,1.1,3,0
Toby Nankervis,RIC,2.31,1.1,1,0
Jack Henry,GEE,2.73,1.1,0,0
Isaac Keeler,STK,3.74,1.1,1,10
Josh Sinn,PTA,2.11,1.1,0,0
Kamdyn McIntosh,RIC,1.62,1,1,0
Trent Rivers,MEL,2.97,1,0,0
Ben Hobbs,ESS,1.89,0.9,1,0
Kaleb Smith,RIC,5.41,0.9,3,0
Matthew Jefferson,MEL,1.35,0.9,0,0
Harry Armstrong ,RIC,4.35,0.9,0,0
Karl Amon,HAW,4.62,0.8,0,0
Josh Gibcus,RIC,5.09,0.8,2,0
Thomas Edwards,ESS,1.42,0.8,1,10
James Tunstill,BRL,4.58,0.8,0,0
Cody Angove ,GWS,7.74,0.8,0,0
Matthew Kennedy,WBD,1.77,0.7,1,0
Tyrell Dewar,WCE,1.39,0.7,1,10
Bailey Humphrey,GCS,1.2,0.7,1,0
William Hayes,COL,1.28,0.7,4,0
Jack Hutchinson,WCE,1.82,0.7,0,0
Jarrod Berry,BRL,0.81,0.6,0,0
Ed Richards,WBD,1.14,0.6,1,0
Riley Thilthorpe,ADE,2.09,0.6,0,0
Josh Ward,HAW,1.02,0.6,0,0
Darcy Wilson,STK,1.84,0.6,0,0
Ryan Maric,WCE,2.22,0.6,1,0
Darcy Cameron,COL,4.96,0.5,0,0
Jordon Sweet,PTA,2.48,0.5,0,0
Tim Taranto,RIC,2.91,0.5,0,0
Daniel Rioli,GCS,2.92,0.5,0,0
Reef McInnes,COL,3.15,0.5,0,0
Logan Evans,PTA,1.12,0.5,0,0
Harry Barnett,WCE,4.6,0.5,0,0
Karl Worner,FRE,1.98,0.5,0,0
