Season,Round,player_id,Player,squad_id,Team,Position,af_cost,af_be,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,home.team.name,away.team.name,venue.name,sc_be,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,sc_magic_number,af_priced_at,sc_priced_at
2025,3,CD_I1023261,Nick Daicos,40,COL,MID,989000,113,,,,,,,,,,,,,,,,,0,,4.1,5,0,26.87,7,7,10,10052.9470992316,5187.67289294717,98.3791111439945,
2025,3,CD_I992468,Rowan Marshall,130,STK,RUC,1098000,136,,,,,,,,,,,,,,,,,0,,0.2,1,0,15.43,3,3,0,10052.9470992316,5187.67289294717,109.221702766538,
2025,3,CD_I1004965,Tristan Xerri,100,NTH,RUC,1051000,155,,,,,,,,,,,,,,,,,0,,52.3,74,80,55.74,76.2,80,90,10052.9470992316,5187.67289294717,104.546456837551,
2025,3,CD_I998659,Luke Ryan,60,FRE,DEF,910000,103,,,,,,,,,,,,,,,,,0,,0.7,1,0,3.08,0.1,0,0,10052.9470992316,5187.67289294717,90.5207190505915,
2025,3,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1136000,103,,,,,,,,,,,,,,,,,0,,25.6,38,50,24.5,8.2,11,10,10052.9470992316,5187.67289294717,113.001688836782,
2025,3,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1008000,101,,,,,,,,,,,,,,,,,0,,41.5,61,70,12.52,10,10,0,10052.9470992316,5187.67289294717,100.269104179117,
2025,3,CD_I1009528,Tom Green,1010,GWS,MID,1015000,100,,,,,,,,,,,,,,,,,0,,1.2,1,0,3.49,1.6,1,0,10052.9470992316,5187.67289294717,100.965417402583,
2025,3,CD_I1006094,Sam Walsh,30,CAR,MID,1007000,97,,,,,,,,,,,,,,,,,0,,0.2,0,0,3.63,1,2,0,10052.9470992316,5187.67289294717,100.169630861479,
2025,3,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,122,,,,,,,,,,,,,,,,,0,,0,0,0,1.16,0,0,0,10052.9470992316,5187.67289294717,110.713802531108,
2025,3,CD_I297907,Nic Newman,30,CAR,DEF,1052000,115,,,,,,,,,,,,,,,,,0,,0,0,0,0.29,0,0,0,10052.9470992316,5187.67289294717,104.645930155189,
2025,3,CD_I1009199,Noah Anderson,1000,GCS,MID,1072000,119,,,,,,,,,,,,,,,,,0,,5.8,2,0,3.96,2.3,3,0,10052.9470992316,5187.67289294717,106.63539650795,
2025,3,CD_I290528,Max Gawn,90,MEL,RUC,1017000,138,,,,,,,,,,,,,,,,,0,,17.9,23,0,17.91,11.6,8,10,10052.9470992316,5187.67289294717,101.164364037859,
2025,3,CD_I1023518,Harry Sheezel,100,NTH,DEF,1090000,119,,,,,,,,,,,,,,,,,0,,62,88,70,56.24,56.6,63,80,10052.9470992316,5187.67289294717,108.425916225434,
2025,3,CD_I261224,Dayne Zorko,20,BRL,DEF,1114000,137,,,,,,,,,,,,,,,,,0,,44.5,57,60,16.1,9.2,7,10,10052.9470992316,5187.67289294717,110.813275848746,
2025,3,CD_I990704,Patrick Cripps,30,CAR,MID,919000,138,,,,,,,,,,,,,,,,,0,,1.5,1,0,5.89,0,0,0,10052.9470992316,5187.67289294717,91.4159789093336,
2025,3,CD_I296205,Jack Steele,130,STK,MID,1047000,123,,,,,,,,,,,,,,,,,0,,0,0,0,1.12,0.1,0,0,10052.9470992316,5187.67289294717,104.148563566999,
2025,3,CD_I992016,Zach Merrett,50,ESS,MID,1114000,115,,,,,,,,,,,,,,,,,0,,4.6,5,0,10.19,2.3,4,10,10052.9470992316,5187.67289294717,110.813275848746,
2025,3,CD_I291790,Adam Treloar,140,WBD,MID,1129000,123,,,,,,,,,,,,,,,,,0,,0,0,0,0.86,0,0,0,10052.9470992316,5187.67289294717,112.305375613316,
2025,3,CD_I1012013,Nic Martin,50,ESS,DEF,1002000,146,,,,,,,,,,,,,,,,,0,,0.1,0,0,,,,,10052.9470992316,5187.67289294717,99.6722642732886,
2025,3,CD_I993834,Josh Dunkley,20,BRL,MID,1125000,118,,,,,,,,,,,,,,,,,0,,13.5,23,30,9.43,10.5,12,10,10052.9470992316,5187.67289294717,111.907482342764,
2025,3,CD_I1015507,Nasiah Wanganeen-Milera,130,STK,DEF,1019000,112,,,,,,,,,,,,,,,,,0,,14.1,20,10,14.52,24.7,29,30,10052.9470992316,5187.67289294717,101.363310673135,
2025,3,CD_I297401,Matt Crouch,10,ADE,MID,1006000,133,,,,,,,,,,,,,,,,,0,,0,0,0,0.35,0,0,0,10052.9470992316,5187.67289294717,100.070157543841,
2025,3,CD_I1020895,Jai Newcombe,80,HAW,MID,921000,88,,,,,,,,,,,,,,,,,0,,0.3,0,0,5.86,0.1,0,0,10052.9470992316,5187.67289294717,91.6149255446096,
2025,3,CD_I992242,Jordan Dawson,10,ADE,MID,1113000,120,,,,,,,,,,,,,,,,,0,,24.2,33,70,35.86,93.8,96,100,10052.9470992316,5187.67289294717,110.713802531108,
2025,3,CD_I1009208,Matt Rowell,1000,GCS,MID,995000,108,,,,,,,,,,,,,,,,,0,,4.9,7,30,4.17,2.3,2,0,10052.9470992316,5187.67289294717,98.9759510498225,
2025,3,CD_I1009420,Caleb Serong,60,FRE,MID,987000,98,,,,,,,,,,,,,,,,,0,,22.1,33,30,10.5,4.5,5,0,10052.9470992316,5187.67289294717,98.1801645087184,
2025,3,CD_I293535,Lachie Neale,20,BRL,MID,933000,87,,,,,,,,,,,,,,,,,0,,11.6,10,0,5.84,2.1,5,0,10052.9470992316,5187.67289294717,92.8086053562657,
2025,3,CD_I1024272,Colby McKercher,100,NTH,DEF,758000,89,,,,,,,,,,,,,,,,,0,,0.1,0,0,4.25,0.6,1,10,10052.9470992316,5187.67289294717,75.4007747696135,
2025,3,CD_I998172,Tim Taranto,120,RIC,MID,896000,99,,,,,,,,,,,,,,,,,0,,0,0,0,2.82,0.4,0,0,10052.9470992316,5187.67289294717,89.1280926036593,
2025,3,CD_I297523,Reilly O'Brien,10,ADE,RUC,860000,120,,,,,,,,,,,,,,,,,0,,0,0,0,1.12,0.5,1,0,10052.9470992316,5187.67289294717,85.5470531686908,
2025,3,CD_I293957,Brodie Grundy,160,SYD,RUC,901000,111,,,,,,,,,,,,,,,,,0,,0,0,0,4.04,0,0,0,10052.9470992316,5187.67289294717,89.6254591918494,
2025,3,CD_I1006121,Zak Butters,110,PTA,MID,1069000,127,,,,,,,,,,,,,,,,,0,,0,0,0,1.62,0,0,0,10052.9470992316,5187.67289294717,106.336976555035,
2025,3,CD_I297373,Marcus Bontempelli,140,WBD,MID,1101000,120,,,,,,,,,,,,,,,,,0,,0,0,0,2.43,0,0,0,10052.9470992316,5187.67289294717,109.520122719452,
2025,3,CD_I291856,Tom Mitchell,40,COL,MID,829000,91,,,,,,,,,,,,,,,,,0,,0,0,0,0.08,0,0,0,10052.9470992316,5187.67289294717,82.4633803219125,
2025,3,CD_I1005054,Josh Daicos,40,COL,MID,942000,104,,,,,,,,,,,,,,,,,0,,0,0,0,4.92,0.7,1,0,10052.9470992316,5187.67289294717,93.7038652150079,
2025,3,CD_I994389,Jack Sinclair,130,STK,DEF/MID,1055000,106,,,,,,,,,,,,,,,,,0,,26.5,46,80,13.05,12.3,14,0,10052.9470992316,5187.67289294717,104.944350108103,
2025,3,CD_I1002267,Luke Davies-Uniacke,100,NTH,MID,894000,104,,,,,,,,,,,,,,,,,0,,0.6,1,0,1.77,0.3,0,0,10052.9470992316,5187.67289294717,88.9291459683833,
2025,3,CD_I298174,Toby Nankervis,120,RIC,RUC,979000,120,,,,,,,,,,,,,,,,,0,,1.3,1,0,2.45,1.5,2,0,10052.9470992316,5187.67289294717,97.3843779676143,
2025,3,CD_I1004592,Tim English,140,WBD,RUC,992000,101,,,,,,,,,,,,,,,,,0,,0.6,0,0,6.41,3,1,0,10052.9470992316,5187.67289294717,98.6775310969085,
2025,3,CD_I1009260,Sam Flanders,1000,GCS,DEF/MID,1053000,129,,,,,,,,,,,,,,,,,0,,0,0,0,3.43,0.2,0,0,10052.9470992316,5187.67289294717,104.745403472827,
2025,3,CD_I1005521,Oscar McInerney,20,BRL,RUC,858000,97,,,,,,,,,,,,,,,,,0,,0,0,0,1.64,0.2,0,0,10052.9470992316,5187.67289294717,85.3481065334148,
2025,3,CD_I293222,Rory Laird,10,ADE,MID,958000,128,,,,,,,,,,,,,,,,,0,,0.3,0,0,0.55,0.2,1,0,10052.9470992316,5187.67289294717,95.2954382972161,
2025,3,CD_I291975,Jarrod Witts,1000,GCS,RUC,990000,112,,,,,,,,,,,,,,,,,0,,0.3,1,0,1.49,0.2,0,0,10052.9470992316,5187.67289294717,98.4785844616325,
2025,3,CD_I294036,George Hewett,30,CAR,MID,979000,77,,,,,,,,,,,,,,,,,0,,1.4,0,0,3.05,1.5,4,0,10052.9470992316,5187.67289294717,97.3843779676143,
2025,3,CD_I1000980,Lloyd Meek,80,HAW,RUC,862000,102,,,,,,,,,,,,,,,,,0,,0.9,2,0,7.14,0.6,1,0,10052.9470992316,5187.67289294717,85.7459998039669,
2025,3,CD_I1000978,Hugh McCluggage,20,BRL,MID,971000,67,,,,,,,,,,,,,,,,,0,,1.5,0,0,1.78,0.2,1,0,10052.9470992316,5187.67289294717,96.5885914265102,
2025,3,CD_I298539,Isaac Heeney,160,SYD,MID,959000,131,,,,,,,,,,,,,,,,,0,,0.1,0,0,8.61,0,0,0,10052.9470992316,5187.67289294717,95.3949116148541,
2025,3,CD_I992049,Jayden Short,120,RIC,DEF,859000,76,,,,,,,,,,,,,,,,,0,,4.8,5,0,37.75,78.2,67,50,10052.9470992316,5187.67289294717,85.4475798510528,
2025,3,CD_I298272,Touk Miller,1000,GCS,MID,961000,102,,,,,,,,,,,,,,,,,0,,0.8,0,0,0.83,0.1,0,0,10052.9470992316,5187.67289294717,95.5938582501301,
2025,3,CD_I993817,Darcy Parish,50,ESS,MID,940000,103,,,,,,,,,,,,,,,,,0,,0,0,0,0.13,0,0,0,10052.9470992316,5187.67289294717,93.5049185797318,
