Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Jack Macrae,STK,73.9413,87.7,100,100
Caleb Daniel,NTH,77.0942,87.4,100,100
Sam Davidson,WBD,63.5953,86.8,100,100
Tom De Koning,CAR,51.9295,85.2,99,100
Clayton Oliver,MEL,63.0302,84.2,95,90
Nathan O'Driscoll,FRE,50.1526,83.1,96,100
Zach Reid,ESS,64.1962,82.6,99,100
Mitch Knevitt,GEE,47.2746,77.2,88,100
Luke Trainor,RIC,55.9246,77.2,84,100
Levi Ashcroft,BRL,71.4318,75.6,86,90
Matt Roberts,SYD,40.2186,73.2,74,50
Harry Boyd,STK,57.5148,71.1,86,80
Xavier Lindsay,MEL,40.18,70.8,81,70
Tristan Xerri,NTH,55.0279,64.5,79,80
Izak Rankine,ADE,31.6258,63,68,60
Harry Sheezel,NTH,64.129,62.4,61,70
Lucas Camporeale,CAR,45.4932,62.3,74,80
Dayne Zorko,BRL,18.7868,60.2,78,90
Connor Rozee,PTA,27.0468,59.2,66,50
Jason Horne-Francis,PTA,54.7839,58.7,59,50
Bailey Smith,GEE,68.302,56.2,64,70
Elijah Hewett,WCE,48.4329,56,61,40
Isaac Kako,ESS,70.3252,55.5,60,60
Conor Stone,GWS,28.7279,54.4,55,40
Adam Cerra,CAR,14.3698,52.7,51,50
Jack Henderson,MEL,20.8683,52.7,59,70
Andrew Brayshaw,FRE,11.5077,38.4,36,50
Ben Paton,SYD,32.0191,37.7,37,40
Murphy Reid,FRE,19.472,33.5,45,50
Connor O'Sullivan,GEE,31.6913,33.1,29,40
Max Holmes,GEE,26.2762,32.7,44,60
Max Hall,STK,23.6769,32.5,45,30
Finn Callaghan,GWS,36.7143,30.8,24,10
Jordan Clark,FRE,8.79216,29.5,41,30
James Leake,GWS,38.9732,28.2,32,50
Jack Sinclair,STK,10.0497,27.5,40,50
Riley Bice,SYD,22.1187,25.8,30,10
Will Ashcroft,BRL,17.7644,24.9,29,40
Jordan Dawson,ADE,12.7492,23.9,26,20
Finn O'Sullivan,NTH,37.0117,23.7,21,10
Elijah Tsatas,ESS,34.766,22.9,28,10
Bailey Dale,WBD,14.118,21.2,25,20
