Player,Team,Position,Price,PriceChg,PricedAt,BreakEven,LastScore,LastTG,LastPPM,LastCBA,CBAchg,LastKI,KIchg,SeasAvg,SeasTG,SeasPPM,SeasCBA,SeasKI,Last3Score,Last3TG,Last3PPM,Last3CBA,Last3KI,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000Chg,OwnershipTop100Chg,OwnershipTop10Chg,WinAvg,LossAvg,HomeAvg,AwayAvg,OppLastScore,OppLast3Score,OppCareer,ReservesAvg,ReservesLast
Nick Daicos,COL,MID,989000,-19000,101.217889673524,113,76,85,0.74851070199072,89,89,0,0,91.75,80,0.96010655216285,0.785714285714286,0,102.3,84.5,1.01349654455937,0.904761904761905,0,26.96,4.1,6,0,0.6,1,0,102.333333333333,60,85.5,98,71,92.6666666666667,88.4,0,0
Rowan Marshall,STK,RUC,1098000,-34000,112.373349708321,136,75,86,0.730072785371915,88,4,0,0,101,84,1.00657336726039,0.645161290322581,0,113.3,84,1.12915606446141,0.842696629213483,0,15.28,2.7,5,0,-1.2,-2,0,113.333333333333,64,132.5,69.5,138,128.666666666667,104.857142857143,0,0
Tristan Xerri,NTH,RUC,1051000,-61000,107.563197216252,155,78,79,0.826553290172964,77,-2,0,0,93.5,81,0.966339961674991,0.818897637795276,0,81.7,80,0.854939567430025,0.797872340425532,0,57.41,74.1,67,90,-1.30000000000001,-6,0,90,94.6666666666667,84,103,118,74,61.8,0,0
Luke Ryan,FRE,DEF,910000,-17000,93.1327397400471,103,109,97,0.940715091419428,0,0,67,10,83.75,90,0.779014701724625,0,0.552631578947369,89.7,90.3333333333333,0.831280808991297,0,0.551724137931035,3.04,0.1,0,0,0.1,0,0,89.5,78,99.5,68,101,114.333333333333,90.6666666666667,0,0
Lachie Whitfield,GWS,DEF,1136000,16000,116.262409169993,103,139,80,1.45454834605598,0,0,44,-6,117.25,79,1.24247914452282,0,0.428571428571429,123.3,79,1.30659000869649,0,0.48,22.61,15.4,28,60,11.7,23,60,116.333333333333,120,119,115.5,120,101.666666666667,95.875,0,0
Andrew Brayshaw,FRE,MID,1008000,3000,103.16241940436,101,119,84,1.18596268023749,80,9,0,0,100.25,83,1.01113614764401,0.754385964912281,0,102,82.6666666666667,1.0329352376262,0.7125,0,9.66,16.2,13,10,6.1,5,10,114.5,86,98,102.5,146,123.666666666667,100.875,0,0
Tom Green,GWS,MID,1015000,5000,103.878825094668,100,121,84,1.20589482612383,69,-9,0,0,105.333333333333,82,1.07536357806326,0.553398058252427,0,105.3,84.5,1.04321785085144,0.730769230769231,0,2.45,3.1,1,0,2.7,0,0,112.5,91,121,97.5,72,98.3333333333333,82.3333333333333,0,0
Sam Walsh,CAR,MID,1007000,5000,103.060075734316,97,137,88,1.30329053897756,61,-4,0,0,100,82,1.02091478930056,0.593406593406593,0,105.3,82.3333333333333,1.07067095218963,0.671641791044776,0,3.18,1.2,0,0,0.8,-1,0,0,100,89.5,110.5,97,92.6666666666667,97.7142857142857,0,0
Errol Gulden,SYD,MID,1113000,0,113.908504758981,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nic Newman,CAR,DEF,1052000,0,107.665540886296,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
