Season,Round,player_id,Player,squad_id,Team,Position,af_cost,af_be,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,home.team.name,away.team.name,venue.name,sc_be,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,sc_magic_number,af_priced_at,sc_priced_at
2025,4,CD_I1023261,Nick Daicos,40,COL,MID,989000,113,582700,107,94,76,CD_M20250140401,85,16,0,89,0,18,10,Collingwood,Collingwood,Carlton,MCG,130,29.9221,3.8,5,0,26.87,7,7,10,10030.8486836375,5174.04586995597,98.5958447975871,112.61979786139
2025,4,CD_I992468,Rowan Marshall,130,STK,RUC,1098000,136,563600,109,61,75,CD_M20250140407,86,23,0,88,0,26,12,St Kilda,Port Adelaide,St Kilda,Adelaide Oval,160,2.82704,0.2,1,0,15.43,3,3,0,10030.8486836375,5174.04586995597,109.462323142316,108.928295992242
2025,4,CD_I1004965,Tristan Xerri,100,NTH,RUC,1051000,155,604200,96,94,78,CD_M20250140405,79,23,0,77,0,30,9,North Melbourne,North Melbourne,Sydney Swans,Marvel Stadium,179,53.9001,49.6,66,10,55.74,76.2,80,90,10030.8486836375,5174.04586995597,104.776777434038,116.775153368546
2025,4,CD_I998659,Luke Ryan,60,FRE,DEF,910000,103,556500,128,134,109,CD_M20250140408,97,0,6,0,67,30,9,Fremantle,Fremantle,Western Bulldogs,Optus Stadium,118,5.34008,0.6,1,0,3.08,0.1,0,0,10030.8486836375,5174.04586995597,90.7201403092055,107.556062313134
2025,4,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1136000,103,607500,102,148,139,CD_M20250140406,80,0,4,0,44,29,9,GWS GIANTS,GWS GIANTS,West Coast Eagles,ENGIE Stadium,107,13.6958,24.1,33,10,24.5,8.2,11,10,10030.8486836375,5174.04586995597,113.25063669369,117.412952120807
2025,4,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1008000,101,595200,110,135,119,CD_M20250140408,84,24,0,80,0,30,9,Fremantle,Fremantle,Western Bulldogs,Optus Stadium,91,11.5889,39.5,55,20,12.52,10,10,0,10030.8486836375,5174.04586995597,100.490001573274,115.035702226016
2025,4,CD_I1009528,Tom Green,1010,GWS,MID,1015000,100,568900,107,128,121,CD_M20250140406,84,20,0,69,0,29,9,GWS GIANTS,GWS GIANTS,West Coast Eagles,ENGIE Stadium,124,1.44132,1.1,1,0,3.49,1.6,1,0,10030.8486836375,5174.04586995597,101.187848806422,109.952639442843
2025,4,CD_I1006094,Sam Walsh,30,CAR,MID,1007000,97,533400,110,108,137,CD_M20250140401,88,11,0,61,0,18,15,Carlton,Collingwood,Carlton,MCG,126,1.69262,0.2,0,0,3.63,1,2,0,10030.8486836375,5174.04586995597,100.390309111396,103.091471047306
2025,4,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,122,581900,,,,,,,,,,,,,,,,116,0.492251,0,0,0,1.16,0,0,0,10030.8486836375,5174.04586995597,110.95771007049,112.465179982054
2025,4,CD_I297907,Nic Newman,30,CAR,DEF,1052000,115,546800,,,,,,,,,,,,,,,,109,0.0795888,0,0,0,0.29,0,0,0,10030.8486836375,5174.04586995597,104.876469895917,105.681320526185
2025,4,CD_I1009199,Noah Anderson,1000,GCS,MID,1072000,119,576000,118,102,92,CD_M20250140403,91,27,0,90,0,30,6,Gold Coast SUNS,Gold Coast SUNS,Adelaide Crows,People First Stadium,134,7.41429,5.7,2,0,3.96,2.3,3,0,10030.8486836375,5174.04586995597,106.870319133482,111.32487312195
2025,4,CD_I290528,Max Gawn,90,MEL,RUC,1017000,138,577600,100,122,95,CD_M20250140402,85,19,0,86,0,22,13,Melbourne,Geelong Cats,Melbourne,GMHBA Stadium,136,18.0241,17.1,23,0,17.91,11.6,8,10,10030.8486836375,5174.04586995597,101.387233730178,111.634108880623
2025,4,CD_I1023518,Harry Sheezel,100,NTH,DEF,1090000,119,573300,112,144,125,CD_M20250140405,92,12,0,40,0,30,9,North Melbourne,North Melbourne,Sydney Swans,Marvel Stadium,111,60.6766,59.1,82,20,56.24,56.6,63,80,10030.8486836375,5174.04586995597,108.66478344729,110.803037779191
2025,4,CD_I261224,Dayne Zorko,20,BRL,DEF,1114000,137,617200,111,94,79,CD_M20250140404,86,0,8,0,73,34,11,Brisbane Lions,Richmond,Brisbane Lions,MCG,141,21.5811,42.1,50,0,16.1,9.2,7,10,10030.8486836375,5174.04586995597,111.057402532368,119.287693907757
2025,4,CD_I990704,Patrick Cripps,30,CAR,MID,919000,138,534000,100,56,53,CD_M20250140401,80,14,0,78,0,18,15,Carlton,Collingwood,Carlton,MCG,180,13.6767,1.4,1,0,5.89,0,0,0,10030.8486836375,5174.04586995597,91.6173724661098,103.207434456808
2025,4,CD_I296205,Jack Steele,130,STK,MID,1047000,123,585200,,,,,,,,,,,,,,,,165,0.742465,0,0,0,1.12,0.1,0,0,10030.8486836375,5174.04586995597,104.378007586525,113.102978734315
2025,4,CD_I992016,Zach Merrett,50,ESS,MID,1114000,115,608500,,,,,,,,,,,,,,,,114,8.19219,4.3,5,0,10.19,2.3,4,10,10030.8486836375,5174.04586995597,111.057402532368,117.606224469977
2025,4,CD_I291790,Adam Treloar,140,WBD,MID,1129000,123,628200,,,,,,,,,,,,,,,,125,0.164629,0,0,0,0.86,0,0,0,10030.8486836375,5174.04586995597,112.552789460542,121.413689748627
2025,4,CD_I1012013,Nic Martin,50,ESS,DEF,1002000,146,529400,,,,,,,,,,,,,,,,138,4.15933,0.1,0,0,,,,,10030.8486836375,5174.04586995597,99.8918468020043,102.318381650626
2025,4,CD_I993834,Josh Dunkley,20,BRL,MID,1125000,118,603500,106,114,116,CD_M20250140404,82,23,0,68,0,34,11,Brisbane Lions,Richmond,Brisbane Lions,MCG,143,9.38275,12.9,20,0,9.43,10.5,12,10,10030.8486836375,5174.04586995597,112.154019613029,116.639862724127
2025,4,CD_I1015507,Nasiah Wanganeen-Milera,130,STK,DEF,1019000,112,551400,108,123,91,CD_M20250140407,85,0,5,0,42,26,12,St Kilda,Port Adelaide,St Kilda,Adelaide Oval,97,11.675,13.7,20,10,14.52,24.7,29,30,10030.8486836375,5174.04586995597,101.586618653935,106.570373332367
2025,4,CD_I297401,Matt Crouch,10,ADE,MID,1006000,133,540600,,,,,,,,,,,,,,,,134,0.29764,0,0,0,0.35,0,0,0,10030.8486836375,5174.04586995597,100.290616649517,104.483031961331
