player_id,Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
295136,Caleb Daniel,NTH,68.6,100,100,100
295467,Jack Macrae,STK,61.38,100,100,100
1036123,Sam Davidson,WBD,55.65,99.8,99,100
1006130,Bailey Smith,GEE,75.63,99.5,100,100
1004912,Tom De Koning,CAR,49.72,98,99,100
1012817,Zach Reid,ESS,61.46,97.6,100,100
996701,Clayton Oliver,MEL,54.17,97.2,95,90
1028560,Levi Ashcroft,BRL,67.01,95.7,95,90
1001299,Connor Rozee,PTA,37.47,87.6,87,100
1000958,Harry Boyd,STK,52.79,87.4,88,100
992049,Jayden Short,RIC,37.77,85.7,80,90
1012210,Matt Roberts,SYD,43.96,85.1,76,80
992242,Jordan Dawson,ADE,35.52,83.3,82,90
1013220,Nathan O'Driscoll,FRE,19.86,81.9,79,60
1015862,Conor Stone,GWS,41.37,77.2,76,60
1028563,Christian Moraes,PTA,29.75,75.8,66,90
1004965,Tristan Xerri,NTH,55.99,74.1,67,90
1028521,Luke Trainor,RIC,39.53,73.3,65,40
1023518,Harry Sheezel,NTH,56.22,68.6,72,60
1008224,Riley Bice,SYD,43.57,62.5,72,70
1011640,Jason Horne-Francis,PTA,48.71,62.1,53,30
1020855,Max Hall,STK,34.77,60.5,63,60
1028531,Xavier Lindsay,MEL,21.96,56.9,48,40
1002239,Adam Cerra,CAR,15.56,56.4,59,60
1009229,Sam De Koning,GEE,37.77,54.4,42,20
1027704,Joel Freijah,WBD,15.32,52.5,40,80
1028495,Finn O'Sullivan ,NTH,37.79,48.2,43,20
1028554,Isaac Kako,ESS,48.19,42.6,42,20
1028491,Sam Lalor ,RIC,35.69,40.9,32,10
1001195,Izak Rankine,ADE,23.8,39.1,45,40
1027790,Hugo Garcia,STK,20.74,37.6,31,30
1022452,Lucas Camporeale,CAR,31.99,34.9,44,80
1032119,James Leake,GWS,37.39,33.9,44,60
1009386,Jaxon Prior,ESS,17.85,32.8,24,20
1015507,Nasiah Wanganeen-Milera,STK,14.41,32,33,10
1017939,Ryley Sanders,WBD,29.77,29.3,23,10
1028513,Murphy Reid ,FRE,20.76,24.1,22,20
290799,Tom Liberatore,WBD,9.32,23,30,70
1015889,Max Holmes,GEE,18.73,22.8,22,40
1023542,Ted Clohesy,GEE,15.8,21.5,25,40
994389,Jack Sinclair,STK,12.81,20,23,0
1018424,Corey Warner,SYD,17.15,19.7,27,40
261224,Dayne Zorko,BRL,16.09,17.7,30,30
1011659,Tom Powell,NTH,6.47,17.6,15,10
290528,Max Gawn,MEL,17.95,17.5,20,10
1029416,Ryan Maric,WCE,9.37,17.5,20,10
993834,Josh Dunkley,BRL,8.97,17.1,28,20
1023517,Will Ashcroft,BRL,19.29,17.1,15,10
1002232,Andrew Brayshaw,FRE,11.39,16.2,13,10
1027693,Archer Reid,WCE,26.45,16.1,17,30
294305,Lachie Whitfield,GWS,23.97,15.4,28,60
1027872,Angus Hastie,STK,11.13,14.4,15,20
1023266,Finn Callaghan,GWS,24.75,13.1,4,0
1028546,Harvey Langford ,MEL,13.13,10.6,11,0
1008183,Jack Henderson,MEL,8.21,9.3,13,10
1035198,Liam O'Connell,STK,10.04,9,7,0
1017109,Jake Soligo,ADE,7.75,8.1,8,20
1020670,Elijah Hewett,WCE,19.8,8,11,0
298210,Christian Petracca,MEL,9.8,7.5,8,0
1015919,Saad El-Hawli,ESS,25.09,7.4,10,10
993998,Jy Simpkin,NTH,11.2,7,10,20
1027877,Connor O'Sullivan,GEE,13.36,6.9,12,20
1022607,Sid Draper ,ADE,23.66,6.8,9,0
1028449,Bo Allan ,WCE,17.04,6.8,6,0
1028529,Joe Berry,PTA,9.92,6.1,4,0
1009191,Miles Bergman,PTA,3.65,5.7,6,10
1009420,Caleb Serong,FRE,10.28,5.5,8,10
1028538,Tobie Travaglia,STK,14.75,5.4,10,10
1008550,Will Day,HAW,19.14,4.9,2,0
1012825,Jake Bowey,MEL,3.92,4.7,4,0
1029148,Hugh Boxshall,STK,8.72,4.7,3,0
1021103,Mitch Knevitt,GEE,5.04,4.6,5,0
1009253,Lachie Ash,GWS,7.64,4.4,2,0
293535,Lachie Neale,BRL,5.65,4.2,8,20
1023261,Nick Daicos,COL,26.87,4.1,6,0
1004592,Tim English,WBD,6.36,4,3,0
1024023,Daniel Curtin,ADE,11.82,4,6,20
1027921,Max Gruzewski,GWS,6.96,3.8,4,10
1006152,Jordan Clark,FRE,4.08,3.2,3,10
