Season,roundNumber,matchId,playerId,name,TOG,AF,CBA,KI,teamName,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI
2025,4,CD_M20250140401,CD_I990291,Darcy Cameron,77,126,14,0,Collingwood,78,0,91,18,10
2025,4,CD_M20250140401,CD_I293871,Jack Crisp,80,76,0,0,Collingwood,0,0,79,18,10
2025,4,CD_M20250140401,CD_I1005054,Josh Daicos,87,99,0,2,Collingwood,0,20,91,18,10
2025,4,CD_M20250140401,CD_I1023261,Nick Daicos,85,76,16,0,Collingwood,89,0,94,18,10
2025,4,CD_M20250140401,CD_I994185,Jordan De Goey,62,41,7,0,Collingwood,39,0,79,18,10
2025,4,CD_M20250140401,CD_I293801,Jamie Elliott,85,49,0,0,Collingwood,0,0,59,18,10
2025,4,CD_M20250140401,CD_I991773,Billy Frampton,96,30,0,0,Collingwood,0,0,56,18,10
2025,4,CD_M20250140401,CD_I1006148,Bobby Hill,75,31,0,0,Collingwood,0,0,38,18,10
2025,4,CD_M20250140401,CD_I994295,Dan Houston,81,80,0,2,Collingwood,0,20,103,18,10
2025,4,CD_M20250140401,CD_I291313,Jeremy Howe,86,45,0,4,Collingwood,0,40,51,18,10
2025,4,CD_M20250140401,CD_I1003130,Patrick Lipinski,84,67,0,0,Collingwood,0,0,76,18,10
2025,4,CD_M20250140401,CD_I1017124,Ned Long,24,31,4,0,Collingwood,22,0,26,18,10
2025,4,CD_M20250140401,CD_I992010,Brayden Maynard,78,61,0,1,Collingwood,0,10,99,18,10
2025,4,CD_M20250140401,CD_I1004757,Beau McCreery,70,46,0,0,Collingwood,0,0,48,18,10
2025,4,CD_M20250140401,CD_I297504,Daniel McStay,77,72,4,0,Collingwood,22,0,72,18,10
2025,4,CD_M20250140401,CD_I294596,Tim Membrey,83,40,0,0,Collingwood,0,0,57,18,10
2025,4,CD_M20250140401,CD_I291849,Brody Mihocek,81,52,0,0,Collingwood,0,0,40,18,10
2025,4,CD_M20250140401,CD_I298288,Darcy Moore,100,53,0,1,Collingwood,0,10,73,18,10
2025,4,CD_M20250140401,CD_I260257,Scott Pendlebury,76,100,11,0,Collingwood,61,0,106,18,10
2025,4,CD_M20250140401,CD_I998205,Harry Perryman,76,95,10,0,Collingwood,56,0,101,18,10
2025,4,CD_M20250140401,CD_I1008089,Isaac Quaynor,72,36,0,0,Collingwood,0,0,39,18,10
2025,4,CD_M20250140401,CD_I1000860,Lachie Schultz,84,107,0,0,Collingwood,0,0,117,18,10
2025,4,CD_M20250140401,CD_I280965,Steele Sidebottom,81,91,6,0,Collingwood,33,0,124,18,10
2025,4,CD_M20250140401,CD_I296294,Blake Acres,84,104,0,1,Carlton,0,7,123,18,15
2025,4,CD_M20250140401,CD_I1002239,Adam Cerra,78,105,10,0,Carlton,56,0,99,18,15
2025,4,CD_M20250140401,CD_I1021353,Lachlan Cowan,15,10,0,0,Carlton,0,0,15,18,15
2025,4,CD_M20250140401,CD_I990704,Patrick Cripps,80,53,14,0,Carlton,78,0,56,18,15
2025,4,CD_M20250140401,CD_I996731,Charlie Curnow,95,37,0,0,Carlton,0,0,48,18,15
2025,4,CD_M20250140401,CD_I1004912,Tom De Koning,78,82,14,0,Carlton,78,0,101,18,15
2025,4,CD_M20250140401,CD_I295518,Sam Docherty,86,111,0,0,Carlton,0,0,82,18,15
2025,4,CD_M20250140401,CD_I1002228,Lachie Fogarty,75,49,0,0,Carlton,0,0,58,18,15
2025,4,CD_M20250140401,CD_I295265,Nick Haynes,84,54,0,0,Carlton,0,0,64,18,15
2025,4,CD_M20250140401,CD_I294036,George Hewett,81,109,10,0,Carlton,56,0,125,18,15
2025,4,CD_M20250140401,CD_I1023495,Oliver Hollands,85,87,0,3,Carlton,0,20,82,18,15
