Season,Round,player_id,Player,squad_id,Team,Position,af_cost,af_be,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_be,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,sc_magic_number,af_priced_at,sc_priced_at,Opposition,home_status
2025,4,CD_I1023261,Nick Daicos,40,COL,MID,989000,113,582700,107,94,76,CD_M20250140401,85,16,0,89,0,18,10,Collingwood,MCG,W,130,29.9221,6.4,5,0,26.87,4.1,6,0,10030.84868,5174.04587,98.5958448,112.6197979,Carlton,home
2025,4,CD_I992468,Rowan Marshall,130,STK,RUC,1098000,136,563600,109,61,75,CD_M20250140407,86,23,0,88,0,26,12,St Kilda,Adelaide Oval,W,160,2.82704,0.3,0,0,15.34,2.7,5,0,10030.84868,5174.04587,109.4623231,108.928296,Port Adelaide,away
2025,4,CD_I1004965,Tristan Xerri,100,NTH,RUC,1051000,155,604200,96,94,78,CD_M20250140405,79,23,0,77,0,30,9,North Melbourne,Marvel Stadium,L,179,53.9001,68.7,74,80,55.99,74.1,67,90,10030.84868,5174.04587,104.7767774,116.7751534,Sydney Swans,home
2025,4,CD_I998659,Luke Ryan,60,FRE,DEF,910000,103,556500,128,134,109,CD_M20250140408,97,0,6,0,67,30,9,Fremantle,Optus Stadium,W,118,5.34008,0.6,1,0,3.05,0.1,0,0,10030.84868,5174.04587,90.72014031,107.5560623,Western Bulldogs,home
2025,4,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1136000,103,607500,102,148,139,CD_M20250140406,80,0,4,0,44,29,9,GWS GIANTS,ENGIE Stadium,W,107,13.6958,21.3,24,50,23.97,15.4,28,60,10030.84868,5174.04587,113.2506367,117.4129521,West Coast Eagles,home
2025,4,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1008000,101,595200,110,135,119,CD_M20250140408,84,24,0,80,0,30,9,Fremantle,Optus Stadium,W,91,11.5889,50.3,57,70,11.39,16.2,13,10,10030.84868,5174.04587,100.4900016,115.0357022,Western Bulldogs,home
2025,4,CD_I1009528,Tom Green,1010,GWS,MID,1015000,100,568900,107,128,121,CD_M20250140406,84,20,0,69,0,29,9,GWS GIANTS,ENGIE Stadium,W,124,1.44132,0.7,1,0,3.09,3.1,1,0,10030.84868,5174.04587,101.1878488,109.9526394,West Coast Eagles,home
2025,4,CD_I1006094,Sam Walsh,30,CAR,MID,1007000,97,533400,110,108,137,CD_M20250140401,88,11,0,61,0,18,15,Carlton,MCG,L,126,1.69262,0.2,0,0,3.54,1.2,0,0,10030.84868,5174.04587,100.3903091,103.091471,Collingwood,away
2025,4,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,122,581900,,,,,,,,,,,,,,,116,0.492251,0,0,0,1.17,0,0,0,10030.84868,5174.04587,110.9577101,112.46518,,
2025,4,CD_I297907,Nic Newman,30,CAR,DEF,1052000,115,546800,,,,,,,,,,,,,,,109,0.0795888,0,0,0,0.29,0,0,0,10030.84868,5174.04587,104.8764699,105.6813205,,
