player_id,Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
630,Jack Macrae,STK,74.6799,95.6,100,100
482,Caleb Daniel,NTH,77.9348,95.4,100,100
703,Sam Davidson,WBD,66.5466,95.4,100,100
100,Tom De Koning,CAR,54.4534,92.2,98,100
206,Zach Reid,ESS,63.1798,92,96,80
459,Clayton Oliver,MEL,61.611,91,96,90
239,Nathan O'Driscoll,FRE,52.2664,90.9,99,100
653,Riley Bice,SYD,46.5414,89.8,96,80
603,Luke Trainor,RIC,56.9883,88.4,92,70
47,Levi Ashcroft,BRL,69.9476,86.8,93,80
339,Bailey Smith,GEE,72.5779,83.3,91,90
779,Harry Boyd,STK,56.731,81.6,87,80
509,Harry Sheezel,NTH,60.6766,79.2,86,60
687,Matt Roberts,SYD,40.8601,77.4,75,60
547,Christian Moraes,PTA,34.0651,76.1,83,90
538,Jason Horne-Francis,PTA,44.7736,71.2,76,60
518,Tristan Xerri,NTH,53.9001,68.7,74,80
451,Xavier Lindsay,MEL,29.9259,65.4,66,40
32,Izak Rankine,ADE,33.0582,63.7,69,60
381,Conor Stone,GWS,27.7078,61.4,66,50
785,Jack Henderson,MEL,20.8741,61.2,61,40
87,Dayne Zorko,BRL,21.5811,56.6,57,60
192,Isaac Kako,ESS,67.79,56.1,58,50
93,Adam Cerra,CAR,14.4034,55.3,59,40
553,Connor Rozee,PTA,26.1427,54.5,50,50
219,Andrew Brayshaw,FRE,11.5889,50.3,57,70
335,Connor O'Sullivan,GEE,32.9018,46.2,52,50
756,Elijah Hewett,WCE,41.2133,44.5,45,30
92,Lucas Camporeale,CAR,37.9497,42.1,44,20
620,Max Hall,STK,24.6278,36.9,31,40
242,Murphy Reid,FRE,22.5879,36.2,38,40
48,Will Ashcroft,BRL,18.8189,35.6,54,50
325,Mitch Knevitt,GEE,32.5752,35.6,30,10
223,Jordan Clark,FRE,8.84471,32.4,34,40
639,Jack Sinclair,STK,15.7924,32.4,45,70
765,Ryan Maric,WCE,9.83412,32.3,32,20
10,Jordan Dawson,ADE,12.7538,29.6,32,70
204,Jaxon Prior,ESS,16.5479,29.4,27,30
246,Caleb Serong,FRE,23.2312,24,27,10
322,Max Holmes,GEE,27.8871,23.7,28,40
685,Ben Paton,SYD,25.5562,23.1,22,40
211,Elijah Tsatas,ESS,30.6215,22.9,27,60
441,Max Gawn,MEL,18.0241,22,21,0
278,Bailey Humphrey,GCS,19.357,21.8,25,10
388,Lachie Whitfield,GWS,13.6958,21.3,24,50
549,Sam Powell-Pepper,PTA,19.3041,19.8,17,10
354,Finn Callaghan,GWS,35.622,19.1,11,10
701,Bailey Dale,WBD,14.5484,18.4,17,10
644,Nasiah Wanganeen-Milera,STK,11.675,17.3,20,10
58,Josh Dunkley,BRL,9.38275,16.1,22,20
720,Tom Liberatore,WBD,7.19297,15,20,30
232,Luke Jackson,FRE,17.3798,14.7,22,50
75,Lachie Neale,BRL,23.64,14.5,9,0
372,James Leake,GWS,28.5598,14.4,18,50
584,Sam Lalor,RIC,24.8649,12.5,18,40
707,Joel Freijah,WBD,18.0754,12.3,13,0
502,Finn O'Sullivan,NTH,29.1546,10.7,9,0
770,Archer Reid,WCE,16.8412,10.4,7,20
621,Angus Hastie,STK,6.97819,9.4,14,30
597,Jayden Short,RIC,17.7924,9.2,7,0
736,Bo Allan,WCE,18.3223,8.9,4,0
313,Sam De Koning,GEE,20.408,7.5,1,0
692,Corey Warner,SYD,7.57729,7.4,6,10
525,Joe Berry,PTA,11.3212,6.6,6,20
136,Nick Daicos,COL,29.9221,6.4,5,0
294,Matt Rowell,GCS,12.9713,6.2,7,30
259,Noah Anderson,GCS,7.41429,6.1,2,0
445,Aidan Johnson,MEL,2.65423,5.2,6,10
309,Ted Clohesy,GEE,5.74674,4.2,6,10
