Team,Icon,Last,LastOpp,Season,SeasonOpp,Last3,Last3Opp,Top3Mid,Top3OppMid,TopRuc,TopOppRuc,Top2Def,Top2OppDef,Top2For,Top2OppFor
Adelaide Crows,ADE,1499,1429,1668,1429,1624,1430,113,97,78,78,82,90,103,86
Brisbane Lions,BRL,1682,1510,1599,1430,1688,1419,115,96,82,74,96,84,73,85
Carlton,CAR,1585,1504,1539,1544,1501,1565,105,104,113,103,80,80,77,82
Collingwood,COLL,1504,1585,1520,1466,1569,1435,101,106,98,93,79,83,97,83
Essendon,ESS,1611,1541,1553,1652,1553,1652,108,107,76,76,90,89,68,94
Fremantle,FRE,1473,1558,1428,1525,1446,1432,96,99,93,91,86,88,90,97
GWS GIANTS,GWS,1735,1186,1552,1424,1549,1424,95,85,83,98,112,89,100,77
Geelong Cats,GEE,1911,1292,1660,1504,1612,1548,104,102,78,102,108,94,106,93
Gold Coast SUNS,GCS,1429,1499,1552,1395,1552,1395,106,96,100,70,96,84,80,81
Hawthorn,HAW,1489,1501,1537,1470,1564,1513,97,103,75,94,92,92,83,78
Melbourne,MEL,1292,1911,1440,1640,1388,1715,94,106,92,78,99,108,74,101
North Melbourne,NTH,1555,1592,1582,1510,1564,1519,104,97,94,77,94,100,110,92
Port Adelaide,PORT,1470,1346,1583,1464,1648,1392,112,91,84,70,92,87,92,88
Richmond,RICH,1510,1682,1418,1744,1398,1774,91,115,95,103,86,100,64,92
St Kilda,STK,1346,1470,1564,1554,1610,1473,100,103,102,89,106,89,108,87
Sydney Swans,SYD,1592,1555,1474,1439,1518,1439,94,97,87,89,100,96,75,85
West Coast Eagles,WCE,1186,1735,1238,1652,1244,1660,81,106,64,102,69,97,86,94
Western Bulldogs,WB,1558,1473,1491,1551,1493,1522,99,102,97,108,82,91,101,90
