Player,Team,Position,Price,PriceChg,PricedAt,BreakEven,LastScore,LastTG,LastPPM,LastCBA,CBAchg,LastKI,KIchg,SeasAvg,SeasTG,SeasPPM,SeasCBA,SeasKI,Last3Score,Last3TG,Last3PPM,Last3CBA,Last3KI,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000Chg,OwnershipTop100Chg,OwnershipTop10Chg,WinAvg,LossAvg,HomeAvg,AwayAvg,OppLastScore,OppLast3Score,OppCareer,ReservesAvg,ReservesLast
Nick Daicos,COL,MID,584800,2100,112.951290914664,130,134,81,1.31372549019608,88,-1,0,0,103.4,80.2,1.01448753450562,81.8,0,117.666666666667,83.3333333333333,1.412,89.6666666666667,0,30.0681,5.8,3,0,-0.600000000000001,-2,0,112.75,66,108.666666666667,95.5,116,126.333333333333,112.5,0,0
Rowan Marshall,STK,RUC,516600,-47000,99.7787908456146,160,52,78,0.525252525252525,81,-7,0,0,86.6,82.6,0.821078871247149,69.6,0,76.6666666666667,82.6666666666667,0.92741935483871,84.3333333333333,0,2.77638,0.3,1,0,0,1,0,99.6666666666667,67,96.6666666666667,71.5,51,83,92.2,0,0
Tristan Xerri,NTH,RUC,562300,-41900,108.605524762852,179,83,76,0.813725490196078,78,1,0,0,104.8,79.8,1.00384689911402,81.2,0,88.6666666666667,77,1.15151515151515,78,0,53.1345,49.6,54,30,-19.1,-20,-50,136,97,104.333333333333,105.5,109,80.3333333333333,80.3333333333333,0,0
Luke Ryan,FRE,DEF,527700,-28800,101.922702147175,118,52,71,0.597701149425287,0,0,40,-27,85.6,86,0.770239881770146,0,4.6,89,83.6666666666667,1.06374501992032,0,54.6666666666667,5.58362,0.4,2,0,-0.2,1,0,89,80.5,114.5,66.3333333333333,99,104.666666666667,104.222222222222,0,0
Lachie Whitfield,GWS,DEF,598700,-8800,115.636008670673,107,86,85,0.803738317757009,0,0,70,26,116.4,80,1.13816936620898,0,5.6,114.333333333333,81,1.41152263374486,0,54.6666666666667,18.76,21.5,18,20,0.199999999999999,-6,-30,118.25,109,129.5,107.666666666667,117,90.6666666666667,92.1,0,0
Andrew Brayshaw,FRE,MID,624000,28800,120.522581276933,91,155,80,1.58163265306122,85,5,0,0,125.6,82.6,1.21198070472531,76,0,140.333333333333,80.6666666666667,1.7396694214876,78.6666666666667,0,14.2327,71.8,92,100,21.5,35,30,140.333333333333,103.5,120.5,129,137,117.666666666667,107.111111111111,0,0
Tom Green,GWS,MID,564600,-4300,109.049758636148,124,113,76,1.17708333333333,77,8,0,0,111.25,80.25,1.10187754920008,74.25,0,110,81.6666666666667,1.3469387755102,74.6666666666667,0,2.22955,1.9,1,0,1.2,0,0,118.666666666667,89,128,105.666666666667,117,119.333333333333,117.25,0,0
Sam Walsh,CAR,MID,540600,7200,104.414274740881,126,141,84,1.34285714285714,59,-2,0,0,103.2,82.4,0.985677384633237,59.4,0,111.666666666667,83.6666666666667,1.33466135458167,61.6666666666667,0,1.78667,0.8,1,0,0.6,1,0,141,93.75,109,94.5,94,101.333333333333,106.6,0,0
Errol Gulden,SYD,MID,581900,0,112.391169943986,116,,,,0,0,0,0,,,,,,94,82,1.14634146341463,48.3333333333333,0,0.474821,0,0,0,0,0,0,,,,,109,88.6666666666667,81,0,0
Nic Newman,CAR,DEF,546800,0,105.611774747159,109,,,,0,0,0,0,,,,,,114,95,1.2,0,45,0.0763396,0,0,0,0,0,0,,,,,90,74.3333333333333,86,0,0
Noah Anderson,GCS,MID,567200,-8800,109.551936058135,134,113,82,1.02727272727273,81,-9,0,0,115,85,1.05301696411208,82,0,108,86.6666666666667,1.24615384615385,84.6666666666667,0,8.04706,7.4,3,0,1.3,1,0,115,,102,119.333333333333,128,131.333333333333,134.8,0,0
Max Gawn,MEL,RUC,582000,4400,112.410484460216,136,145,82,1.35514018691589,85,-1,0,0,110.2,83.6,1.0440287361952,85.2,0,118.333333333333,83.6666666666667,1.41434262948207,82.3333333333333,0,18.9782,35.3,42,40,13.3,21,40,,110.2,120.666666666667,94.5,95,102.333333333333,113.090909090909,0,0
Harry Sheezel,NTH,DEF/MID,570000,-3300,110.092742512583,111,102,85,0.886956521739131,72,32,0,0,104.4,87,0.922805432553716,49.8,0.2,111.666666666667,87,1.28352490421456,47.3333333333333,2.66666666666667,61.2287,75.2,78,70,-4,-8,10,81,110.25,109,97.5,138,125.666666666667,125.666666666667,0,0
Dayne Zorko,BRL,DEF,591700,-25500,114.283992534553,141,82,76,0.82,0,0,54,-19,117.2,83.2,1.07420494888419,0,5.2,103.666666666667,82.6666666666667,1.25403225806452,0,61.3333333333333,21.6572,40.1,50,60,-16.5,-7,0,117.2,,135.5,105,108,109,112.266666666667,0,0
Patrick Cripps,CAR,MID,505400,-28600,97.6155650278235,180,114,81,1.11764705882353,56,-22,0,0,96.4,80.8,0.932306632878005,74.6,0,84.6666666666667,80.6666666666667,1.0495867768595,70.3333333333333,0,12.3351,2.3,1,0,0.3,0,0,114,92,102,88,114,109.333333333333,103.636363636364,0,0
Jack Steele,STK,MID,548300,-36900,105.901492490613,165,80,73,0.869565217391304,68,68,0,0,88.6666666666667,77.6666666666667,0.899598662207358,77.3333333333333,0,88.6666666666667,77.6666666666667,1.14163090128755,77.3333333333333,0,0.679477,0,0,0,0,0,0,106,80,93,80,84,104.333333333333,104,0,0
Zach Merrett,ESS,MID,613600,5100,118.513871588984,114,124,85,1.12727272727273,77,77,0,0,116,86,1.06040238958213,64.75,0,125,84.6666666666667,1.47637795275591,68,0,9.61825,6.8,7,10,3.7,6,10,115,117,125.5,106.5,135,133,114.692307692308,0,0
