Player,Team,Position,Price,SeasonPriceChange,PriceChg,PricedAt,BreakEven,LastScore,LastTG,LastPPM,LastCBA,CBAchg,LastKI,KIchg,SeasAvg,SeasTG,SeasPPM,SeasCBA,SeasKI,Last3Score,Last3TG,Last3PPM,Last3CBA,Last3KI,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000Chg,OwnershipTop100Chg,OwnershipTop10Chg,WinAvg,LossAvg,HomeAvg,AwayAvg,OppLastScore,OppLast3Score,OppCareer,ReservesAvg,ReservesLast
Nick Daicos,COL,MID,584800,-46600,2100,112.9512881,121,134,81,1.31372549,88,-1,0,0,103.4,80.2,1.014487535,81.8,0,117.6666667,83.33333333,1.412,89.66666667,0,30.0681,6.6,3,0,0,-2,0,112.75,66,108.6666667,95.5,116,126.3333333,112.5,0,0
Rowan Marshall,STK,RUC,516600,-86900,-47000,99.77878834,196,52,78,0.525252525,81,-7,0,0,86.6,82.6,0.821078871,69.6,0,76.66666667,82.66666667,0.927419355,84.33333333,0,2.77638,0.3,1,0,-0.2,1,0,99.66666667,67,96.66666667,71.5,51,83,92.2,0,0
Tristan Xerri,NTH,RUC,562300,-83600,-41900,108.605522,159,83,76,0.81372549,78,1,0,0,104.8,79.8,1.003846899,81.2,0,88.66666667,77,1.151515152,78,0,53.1345,56.4,54,30,-15,-20,-50,136,97,104.3333333,105.5,109,80.33333333,80.33333333,0,0
Luke Ryan,FRE,DEF,527700,-100600,-28800,101.9226996,129,52,71,0.597701149,0,0,40,-27,85.6,86,0.770239882,0,4.6,89,83.66666667,1.06374502,0,54.66666667,5.58362,0.4,2,0,-0.2,1,0,89,80.5,114.5,66.33333333,99,104.6666667,104.2222222,0,0
Lachie Whitfield,GWS,DEF,598700,600,-8800,115.6360058,124,86,85,0.803738318,0,0,70,26,116.4,80,1.138169366,0,5.6,114.3333333,81,1.411522634,0,54.66666667,18.76,25,18,20,2.4,-6,-30,118.25,109,129.5,107.6666667,117,90.66666667,92.1,0,0
Andrew Brayshaw,FRE,MID,624000,32200,28800,120.5225782,83,155,80,1.581632653,85,5,0,0,125.6,82.6,1.211980705,76,0,140.3333333,80.66666667,1.739669421,78.66666667,0,14.2327,80.2,92,100,27.8,35,30,140.3333333,103.5,120.5,129,137,117.6666667,107.1111111,0,0
Tom Green,GWS,MID,564600,-9600,-4300,109.0497559,96,113,76,1.177083333,77,8,0,0,111.25,80.25,1.101877549,74.25,0,110,81.66666667,1.346938776,74.66666667,0,2.22955,2.3,1,0,1.6,0,0,118.6666667,89,128,105.6666667,117,119.3333333,117.25,0,0
Sam Walsh,CAR,MID,540600,-43300,7200,104.4142721,74,141,84,1.342857143,59,-2,0,0,103.2,82.4,0.985677385,59.4,0,111.6666667,83.66666667,1.334661355,61.66666667,0,1.78667,1,1,0,0.8,1,0,141,93.75,109,94.5,94,101.3333333,106.6,0,0
Errol Gulden,SYD,MID,581900,0,0,112.3911671,116,,,,0,0,0,0,,,,,,94,82,1.146341463,48.33333333,0,0.474821,0,0,0,0,0,0,,,,,109,88.66666667,81,0,0
Nic Newman,CAR,DEF,546800,0,0,105.6117721,109,,,,0,0,0,0,,,,,,114,95,1.2,0,45,0.0763396,0,0,0,0,0,0,,,,,90,74.33333333,86,0,0
