Player,Team,Position,Price,PricedAt,Breakeven,Avg2023,Avg2024,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Aaron Cadman,GWS,FWD,431000,43.0206257120245,27,24.5,43.7619047619048,65,47,45,45,0,65,44.4,52.3333333333333,50.5
Aaron Francis,SYD,DEF,433000,43.2202573858622,48,44.5,49.6,0,0,0,0,0,0,0,0,0
Aaron Naughton,WBD,FWD,573000,57.1944745545012,68,66.8695652173913,60.2105263157895,64,55,47,33,0,64,57.6,55.3333333333333,49.75
Adam Cerra,CAR,MID,874000,87.2390414670751,74,96.6315789473684,72.5833333333333,101,105,83,100,0,101,97.2,96.3333333333333,97.25
Adam Saad,CAR,DEF,726000,72.4662976030853,60,73.9090909090909,70.8823529411765,91,83,79,55,0,91,76,84.3333333333333,77
Adam Treloar,WBD,MID,1129000,112.692079881382,124,105.263157894737,110,0,0,0,0,0,0,0,0,0
Aidan Corr,NTH,DEF,586000,58.4920804344462,70,58.8421052631579,49.7826086956522,43,73,53,63,0,43,62.8,56.3333333333333,58
Aidan Johnson,MEL,FWD,262000,26.1517492727388,16,0,0,30,43,0,0,0,30,36.5,36.5,36.5
Aiden Riddle,FRE,RUC,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Alex Cincotta,CAR,DEF,430000,42.9208098751056,47,48.0625,41.9375,0,0,0,0,0,0,0,0,0
Alex Davies,GCS,MID,618000,61.6861872158495,68,55.4444444444444,66.1428571428571,0,0,0,0,0,0,0,0,0
Alex Dodson,STK,RUC,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Alex Neal-Bullen,ADE,MID/FWD,715000,71.3683233969779,106,72.6956521739131,79,48,62,59,85,0,48,66.4,56.3333333333333,63.5
Alex Pearce,FRE,DEF,481000,48.011417557967,39,44.1739130434783,49.5333333333333,73,48,38,43,0,73,50,53,50.5
Alex Sexton,GCS,DEF,733000,73.1650084615172,123,24.75,76.3333333333333,21,0,0,0,0,21,21,21,21
Aliir Aliir,PTA,DEF,615000,61.3867397050929,66,50.9090909090909,62.1363636363636,56,68,62,71,0,56,61.2,62,64.25
Alixzander Tauru,STK,DEF/FWD,313000,31.2423569556001,34,0,0,0,0,0,0,0,0,0,0,0
Alwyn Davey Jnr,ESS,FWD,284000,28.3476976849535,31,35.8,27.7,0,0,0,0,0,0,0,0,0
Andrew Brayshaw,FRE,MID,1027000,102.510864515659,90,110.260869565217,104.434782608696,123,119,110,77,0,123,104.8,117.333333333333,107.25
Andrew McGrath,ESS,DEF,769000,76.7583785905958,109,81.8260869565217,84.2173913043478,81,35,58,106,0,81,70,58,70
Andy Moniz-Wakefield,MEL,DEF,473000,47.2128908626162,52,0,52.3333333333333,0,0,0,0,0,0,0,0,0
Angus Clarke,ESS,DEF,230000,22.9576424913356,25,0,0,0,0,0,0,0,0,0,0,0
Angus Hastie,STK,MID/DEF,263000,26.2515651096576,24,0,19.8,34,18,28,40,0,34,30,26.6666666666667,30
Angus McLennan,STK,DEF,421000,42.0224673428359,46,0,54,0,0,0,0,0,0,0,0,0
Angus Sheldrick,SYD,MID,397000,39.6268872567835,29,62.4285714285714,0,65,51,12,32,0,65,40,42.6666666666667,40
