Player,Team,Position,Price,PricedAt,Breakeven,Avg2023,Avg2024,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Aaron Cadman,GWS,FWD,261200,50.4495151249699,41,22.8333333333333,47.7142857142857,60,55,51,60,0,60,49.2,55.3333333333333,56.5
Aaron Francis,SYD,DEF,213800,41.294434662016,43,52.2142857142857,49.6,0,0,0,0,0,0,0,0,0
Aaron Naughton,WBD,FWD,325100,62.7914906857876,77,75.1304347826087,70.5789473684211,58,59,53,43,0,58,63.2,56.6666666666667,53.25
Adam Cerra,CAR,MID,494100,95.43302229421,79,108.315789473684,83.0833333333333,117,99,98,113,0,117,106.6,104.666666666667,106.75
Adam Saad,CAR,DEF,442400,85.447417654237,39,89.5909090909091,86.8823529411765,116,109,72,47,0,116,87,99,86
Adam Treloar,WBD,MID,628200,121.333787907757,125,107.684210526316,116.590909090909,0,0,0,0,0,0,0,0,0
Aidan Corr,NTH,DEF,364500,70.4014098891713,78,69.421052631579,64.3478260869565,59,81,76,71,0,59,75.2,72,71.75
Aidan Johnson,MEL,FWD,113500,21.9219753701535,-23,0,0,31,60,0,0,0,31,45.5,45.5,45.5
Aiden Riddle,FRE,RUC,99100,19.140685102927,20,0,0,0,0,0,0,0,0,0,0,0
Alex Cincotta,CAR,DEF,263700,50.9323780185857,53,55.1875,48.9375,0,0,0,0,0,0,0,0,0
Alex Davies,GCS,MID,333200,64.3559664611025,66,58.1111111111111,68.7142857142857,0,0,0,0,0,0,0,0,0
Alex Dodson,STK,RUC,113500,21.9219753701535,23,0,0,0,0,0,0,0,0,0,0,0
Alex Neal-Bullen,ADE,MID/FWD,398000,76.8717726636219,110,72.0434782608696,85.0869565217391,65,63,74,78,0,65,72.2,67.3333333333333,70
Alex Pearce,FRE,DEF,369200,71.3091921291688,55,58.8260869565217,68.3333333333333,99,67,63,78,0,99,77.8,76.3333333333333,76.75
Alex Sexton,GCS,DEF,402000,77.644353293407,147,23.875,74.6,18,0,0,0,0,18,18,18,18
Aliir Aliir,PTA,DEF,383200,74.0132243334168,88,74.5454545454546,75.3181818181818,57,84,69,77,0,57,73,70,71.75
Alixzander Tauru,STK,DEF/FWD,163000,31.4826606637446,32,0,0,0,0,0,0,0,0,0,0,0
Alwyn Davey Jnr,ESS,FWD,146600,28.3150800816255,29,37.3,27.2,0,0,0,0,0,0,0,0,0
Andrew Brayshaw,FRE,MID,624000,120.522578246483,83,108.95652173913,109.826086956522,155,135,131,106,0,155,125.6,140.333333333333,131.75
Andrew McGrath,ESS,DEF,414000,79.9620951827625,136,86.8695652173913,95.3913043478261,77,34,66,74,0,77,62.75,59,62.75
Andy Moniz-Wakefield,MEL,DEF,260300,50.2756844832683,52,0,53.6666666666667,0,0,0,0,0,0,0,0,0
Angus Clarke,ESS,DEF,113500,21.9219753701535,23,0,0,0,0,0,0,0,0,0,0,0
Angus Hastie,STK,MID/DEF,134400,25.9587091607809,26,0,20.4,16,38,21,53,0,16,32,25,32
Angus McLennan,STK,DEF,169700,32.7767332186348,34,0,52.5,0,0,0,0,0,0,0,0,0
Angus Sheldrick,SYD,MID,150500,29.0683461956661,11,60,0,58,21,14,32,0,58,31.25,31,31.25
