Team,Icon,Last,LastOpp,Season,SeasonOpp,Last3,Last3Opp,Top3Mid,Top3OppMid,TopRuc,TopOppRuc,Top2Def,Top2OppDef,Top2For,Top2OppFor
Adelaide Crows,ADE,1646,1654,1766,1535,1689,1612,112,106,75,84,96,104,110,94
Brisbane Lions,BRL,1785,1518,1768,1532,1762,1538,128,102,80,80,109,96,92,82
Carlton,CAR,1976,1325,1655,1645,1701,1600,115,108,121,85,92,94,83,92
Collingwood,COLL,1741,1556,1708,1592,1729,1571,111,109,99,106,98,96,100,84
Essendon,ESS,1777,1522,1630,1669,1642,1658,112,104,92,98,92,95,81,98
Fremantle,FRE,1739,1559,1684,1617,1766,1534,111,105,109,103,103,99,108,96
GWS GIANTS,GWS,1828,1473,1773,1528,1818,1483,102,94,94,90,121,104,114,93
Geelong Cats,GEE,1654,1646,1702,1598,1710,1589,111,106,93,94,111,112,101,95
Gold Coast SUNS,GCS,1707,1592,1758,1543,1699,1602,118,107,106,82,108,98,94,94
Hawthorn,HAW,1501,1799,1689,1609,1677,1622,98,111,98,105,108,85,97,89
Melbourne,MEL,1522,1777,1531,1769,1489,1811,96,112,110,110,104,108,83,107
North Melbourne,NTH,1592,1707,1651,1649,1597,1702,107,105,105,79,99,106,113,106
Port Adelaide,PORT,1799,1501,1701,1600,1664,1637,121,96,95,77,92,102,106,100
Richmond,RICH,1559,1739,1480,1821,1510,1790,96,123,103,111,91,105,69,103
St Kilda,STK,1473,1828,1638,1665,1660,1642,107,105,87,92,120,98,110,100
Sydney Swans,SYD,1556,1741,1618,1681,1615,1683,95,113,102,105,102,105,82,99
West Coast Eagles,WCE,1325,1976,1356,1945,1343,1959,93,122,65,119,83,113,97,118
Western Bulldogs,WB,1518,1785,1614,1687,1622,1679,109,110,94,106,100,98,110,102
