Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,6,CD_I1023261,Nick Daicos,40,COL,MID,1053000,608800,103,172,131,CD_M20250140601,84,16,0,62,0,26,11,Collingwood,Gabba,W,38.7393,51.4,76,70,36.3,59.4,61,70,9868.64902109433,76,5049.58785903834,56,Essendon,106.701535108727,120.564294947418,Brisbane Lions,away
2025,6,CD_I992468,Rowan Marshall,130,STK,RUC,974000,460300,102,65,52,CD_M20250140608,82,23,0,92,0,25,19,St Kilda,Marvel Stadium,L,2.45111,0.1,0,0,15.88,0.8,0,0,9868.64902109433,158,5049.58785903834,156,Brisbane Lions,98.6963867007597,91.1559542777538,Western Bulldogs,away
2025,6,CD_I1004965,Tristan Xerri,100,NTH,RUC,961000,557300,112,144,116,CD_M20250140602,84,33,0,87,0,38,9,North Melbourne,Marvel Stadium,L,51.2756,50,57,50,51.38,51.4,41,50,9868.64902109433,109,5049.58785903834,104,Port Adelaide,97.3790837981829,110.365442795986,Carlton,home
2025,6,CD_I998659,Luke Ryan,60,FRE,DEF,846000,507000,116,79,70,CD_M20250140604,91,0,6,0,60,34,10,Fremantle,MCG,L,4.95277,0.4,1,0,2.89,0.2,0,0,9868.64902109433,108,5049.58785903834,170,Adelaide Crows,85.7260196600028,100.40423380148,Melbourne,away
2025,6,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1144000,609800,92,145,143,CD_M20250140605,79,0,6,0,60,15,10,GWS GIANTS,Adelaide Oval,L,19.217,27.4,38,20,25.9,21.9,30,70,9868.64902109433,102,5049.58785903834,131,Western Bulldogs,115.922655426765,120.762330911524,Adelaide Crows,away
2025,6,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1048000,642200,98,120,106,CD_M20250140604,77,23,0,68,0,34,10,Fremantle,MCG,L,16.618,63.9,89,90,14.48,65.9,70,80,9868.64902109433,90,5049.58785903834,107,Adelaide Crows,106.194880146197,127.178696148541,Melbourne,away
2025,6,CD_I1009528,Tom Green,1010,GWS,MID,1032000,575300,102,117,104,CD_M20250140605,87,12,0,80,0,15,10,GWS GIANTS,Adelaide Oval,L,2.56563,2.1,0,0,3.95,9.2,12,0,9868.64902109433,99,5049.58785903834,112,Western Bulldogs,104.573584266103,113.930090149884,Adelaide Crows,away
2025,6,CD_I1006094,Sam Walsh,30,CAR,MID,1038000,556700,106,107,85,CD_M20250140602,79,18,0,47,0,38,5,Carlton,Marvel Stadium,W,2.2452,0.9,1,0,4.02,3.2,7,0,9868.64902109433,101,5049.58785903834,83,Geelong Cats,105.181570221138,110.246621217522,North Melbourne,away
2025,6,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,581900,,,,,,,,,,,,,,,0.459685,0,0,0,1.13,0,0,0,9868.64902109433,113,5049.58785903834,118,,112.781394659082,115.237127512981,,
2025,6,CD_I297907,Nic Newman,30,CAR,DEF,1052000,546800,,,,,,,,,,,,,,,0.0747324,0,0,0,0.29,0,0,0,9868.64902109433,107,5049.58785903834,110,,106.600204116221,108.286065172878,,
2025,6,CD_I1009199,Noah Anderson,1000,GCS,MID,1046000,560400,110,105,110,CD_M20250140606,89,22,0,96,0,23,8,Gold Coast SUNS,Marvel Stadium,L,8.4539,7.2,5,0,4.11,2.8,4,0,9868.64902109433,113,5049.58785903834,115,Sydney Swans,105.992218161186,110.979354284713,Richmond,away
2025,6,CD_I290528,Max Gawn,90,MEL,RUC,1018000,599600,110,117,125,CD_M20250140604,86,30,0,88,0,34,13,Melbourne,MCG,W,20.7616,28.6,46,50,18.77,41.6,52,50,9868.64902109433,84,5049.58785903834,94,Richmond,103.15495037102,118.742364077648,Fremantle,home
2025,6,CD_I1023518,Harry Sheezel,100,NTH,DEF/MID,1056000,567800,111,86,91,CD_M20250140602,83,17,0,45,0,38,9,North Melbourne,Marvel Stadium,L,61.2483,66.6,78,80,56.4,49.9,48,70,9868.64902109433,120,5049.58785903834,149,Port Adelaide,107.005528086245,112.444820419093,Carlton,home
2025,6,CD_I261224,Dayne Zorko,20,BRL,DEF,1029000,545800,101,70,76,CD_M20250140601,83,0,3,0,33,26,9,Brisbane Lions,Gabba,L,21.6084,29.1,39,30,16.33,10,15,10,9868.64902109433,143,5049.58785903834,172,St Kilda,104.269591288585,108.088029208773,Collingwood,home
