Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,19,CD_I1023261,Nick Daicos,40,COL,MID,1121000,610700,101,169,162,CD_M20250141905,80,13,3,48,43,27,7,Collingwood,Fremantle,home,MCG,L,58.6047,96.5,98,100,52.34,97.4,98,100,9816.75480328484,86,5004.09030503944,112,Richmond,114.192523136556,122.04016370068
2025,19,CD_I992468,Rowan Marshall,130,STK,RUC,1068000,583000,111,90,104,CD_M20250141902,84,23,0,70,0,33,10,St Kilda,Geelong Cats,away,GMHBA Stadium,L,8.94299,25.7,19,20,26.5,44.8,39,20,9816.75480328484,121,5004.09030503944,160,Melbourne,108.793590285318,116.504692054195
2025,19,CD_I1004965,Tristan Xerri,100,NTH,RUC,949000,573500,,,,,,,,,,,,,,,,,27.5788,18,11,0,27.73,0.6,0,0,9816.75480328484,132,5004.09030503944,161,Geelong Cats,96.671458034426,114.606245099624
2025,19,CD_I998659,Luke Ryan,60,FRE,DEF,877000,516600,118,106,87,CD_M20250141905,93,0,8,0,67,27,12,Fremantle,Collingwood,away,MCG,W,5.9637,3.1,1,0,3.97,0.3,0,0,9816.75480328484,95,5004.09030503944,100,West Coast Eagles,89.3370586893483,103.235547024351
2025,19,CD_I294305,Lachie Whitfield,1010,GWS,DEF,921000,459200,101,104,109,CD_M20250141903,83,0,5,0,38,27,13,GWS Giants,Essendon,away,Marvel Stadium,W,25.7409,50.5,52,80,33.17,55.2,63,60,9816.75480328484,91,5004.09030503944,66,Sydney Swans,93.8191916224513,91.7649306883124
2025,19,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1052000,545200,101,101,90,CD_M20250141905,79,18,0,67,0,27,12,Fremantle,Collingwood,away,MCG,W,27.6684,71.2,77,80,23.27,87.9,94,100,9816.75480328484,113,5004.09030503944,105,West Coast Eagles,107.16372376419,108.950871540218
2025,19,CD_I1009528,Tom Green,1010,GWS,MID,981000,586800,96,150,110,CD_M20250141903,79,19,0,70,0,27,13,GWS Giants,Essendon,away,Marvel Stadium,W,7.73715,37.2,54,80,11.99,44.9,48,80,9816.75480328484,99,5004.09030503944,105,Sydney Swans,99.9311910766827,117.264070836023
2025,19,CD_I1006094,Sam Walsh,30,CAR,MID,902000,489000,,,,,,,,,,,,,,,,,0.933556,0,0,0,1.84,0,0,0,9816.75480328484,91,5004.09030503944,102,Hawthorn,91.8837251286114,97.7200590300191
2025,19,CD_I1013128,Errol Gulden,160,SYD,MID,1041000,572300,113,96,86,CD_M20250141907,88,5,0,22,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,6.74729,8.5,6,0,8.93,24.9,20,10,9816.75480328484,120,5004.09030503944,155,GWS Giants,106.043190530914,114.366441273783
2025,19,CD_I297907,Nic Newman,30,CAR,DEF,1052000,546800,,,,,,,,,,,,,,,,,0.0721663,0,0,0,0.32,0,0,0,9816.75480328484,107,5004.09030503944,111,Hawthorn,107.16372376419,109.270609974672
2025,19,CD_I1009199,Noah Anderson,1000,GCS,MID,1015000,602200,113,86,78,CD_M20250141901,87,22,0,88,0,25,11,Gold Coast Suns,Adelaide,away,Adelaide Oval,L,16.3019,32.8,38,40,8.78,19.5,18,20,9816.75480328484,117,5004.09030503944,127,Brisbane Lions,103.39465743408,120.341553267643
2025,19,CD_I290528,Max Gawn,90,MEL,RUC,1050000,563300,111,128,102,CD_M20250141904,88,23,0,88,0,26,6,Melbourne,Carlton,away,MCG,L,43.7517,82.3,79,70,32.62,38,35,60,9816.75480328484,133,5004.09030503944,98,St Kilda,106.959990449049,112.567912579979
2025,19,CD_I1023518,Harry Sheezel,100,NTH,DEF/MID,1005000,500700,111,106,102,CD_M20250141907,87,3,0,13,0,23,12,North Melbourne,Sydney Swans,away,SCG,L,55.932,79.9,75,70,60.46,79.5,83,90,9816.75480328484,108,5004.09030503944,71,Geelong Cats,102.375990858375,100.058146331964
2025,19,CD_I261224,Dayne Zorko,20,BRL,DEF,1022000,517400,100,98,103,CD_M20250141908,78,0,1,0,25,27,4,Brisbane Lions,Western Bulldogs,home,Gabba,W,27.5578,37.4,38,20,21.82,21.2,15,20,9816.75480328484,111,5004.09030503944,105,Gold Coast Suns,104.107724037074,103.395416241578
2025,19,CD_I990704,Patrick Cripps,30,CAR,MID,819000,465200,100,113,104,CD_M20250141904,80,24,0,92,0,26,10,Carlton,Melbourne,home,MCG,W,10.6013,3,2,0,5.8,0,0,0,9816.75480328484,66,5004.09030503944,49,Hawthorn,83.428792550258,92.9639498175151
2025,19,CD_I296205,Jack Steele,130,STK,MID,1060000,532100,104,105,119,CD_M20250141902,79,27,0,82,0,33,10,St Kilda,Geelong Cats,away,GMHBA Stadium,L,1.33277,2.1,0,0,2.99,7.4,4,0,9816.75480328484,77,5004.09030503944,82,Melbourne,107.978657024754,106.333013108125
2025,19,CD_I992016,Zach Merrett,50,ESS,MID,969000,551900,101,89,99,CD_M20250141903,83,23,0,85,0,27,7,Essendon,GWS Giants,home,Marvel Stadium,L,23.8108,33.6,20,0,19.59,58,67,70,9816.75480328484,86,5004.09030503944,146,Western Bulldogs,98.7087911858364,110.289776234494
2025,19,CD_I291790,Adam Treloar,140,WBD,MID,916000,516700,,,,,,,,,,,,,,,,,0.162758,0,0,0,0.8,0,0,0,9816.75480328484,154,5004.09030503944,182,Essendon,93.3098583345987,103.255530676505
2025,19,CD_I1012013,Nic Martin,50,ESS,DEF/FWD,941000,469400,,,,,,,,,,,,,,,,,6.83533,1.6,0,0,10.17,6.3,8,0,9816.75480328484,174,5004.09030503944,198,Western Bulldogs,95.8565247738618,93.803263207957
2025,19,CD_I993834,Josh Dunkley,20,BRL,MID,1003000,560900,106,129,133,CD_M20250141908,83,22,0,81,0,27,4,Brisbane Lions,Western Bulldogs,home,Gabba,W,17.517,34,32,30,12.7,11.6,12,0,9816.75480328484,62,5004.09030503944,56,Gold Coast Suns,102.172257543234,112.088304928298
2025,19,CD_I1015507,Nasiah Wanganeen-Milera,130,STK,DEF,1152000,615800,109,149,151,CD_M20250141902,82,26,2,79,20,33,10,St Kilda,Geelong Cats,away,GMHBA Stadium,L,30.2141,64.3,74,90,33.31,86.5,92,90,9816.75480328484,108,5004.09030503944,134,Melbourne,117.350389521242,123.059329960503
2025,19,CD_I297401,Matt Crouch,10,ADE,MID,870000,460600,,,,,,,,,,,,,,,,,0.142797,0,0,0,0.23,0,0,0,9816.75480328484,129,5004.09030503944,101,Port Adelaide,88.6239920863547,92.0447018184597
2025,19,CD_I1020895,Jai Newcombe,80,HAW,MID,809000,470900,99,68,37,CD_M20250141909,78,17,0,74,0,23,7,Hawthorn,Port Adelaide,home,UTAS Stadium,W,4.87046,1.6,0,0,7.02,0.1,0,0,9816.75480328484,119,5004.09030503944,133,Carlton,82.4101259745528,94.1030179902577
2025,19,CD_I992242,Jordan Dawson,10,ADE,MID,1043000,580200,99,88,88,CD_M20250141901,76,16,0,64,0,25,8,Adelaide,Gold Coast Suns,home,Adelaide Oval,W,23.2667,59.3,60,70,43.99,93.8,98,100,9816.75480328484,112,5004.09030503944,103,Port Adelaide,106.246923846055,115.9451497939
2025,19,CD_I1009208,Matt Rowell,1000,GCS,MID,1075000,623000,111,161,118,CD_M20250141901,86,21,0,84,0,25,11,Gold Coast Suns,Adelaide,away,Adelaide Oval,L,17.1239,32.5,40,30,5.17,1.2,1,0,9816.75480328484,88,5004.09030503944,56,Brisbane Lions,109.506656888312,124.498152915546
2025,19,CD_I1009420,Caleb Serong,60,FRE,MID,956000,509300,106,122,123,CD_M20250141905,84,22,0,81,0,27,12,Fremantle,Collingwood,away,MCG,W,27.6571,36.3,39,40,15.11,8.4,7,10,9816.75480328484,101,5004.09030503944,88,West Coast Eagles,97.3845246374196,101.776740417155
2025,19,CD_I293535,Lachie Neale,20,BRL,MID,909000,521500,107,85,83,CD_M20250141908,83,22,0,81,0,27,4,Brisbane Lions,Western Bulldogs,home,Gabba,W,24.5493,23.6,15,0,5.37,0.3,0,0,9816.75480328484,79,5004.09030503944,118,Gold Coast Suns,92.596791731605,104.214745979867
2025,19,CD_I1024272,Colby McKercher,100,NTH,DEF/MID,886000,491800,114,58,74,CD_M20250141907,89,0,6,0,50,23,12,North Melbourne,Sydney Swans,away,SCG,L,10.113,27.6,31,40,19.95,78.1,80,90,9816.75480328484,89,5004.09030503944,127,Geelong Cats,90.253858607483,98.2796012903137
2025,19,CD_I998172,Tim Taranto,120,RIC,MID,965000,522700,103,136,124,CD_M20250141906,84,18,0,64,0,28,8,Richmond,West Coast Eagles,away,Optus Stadium,W,1.18844,0.6,0,0,2.94,1.9,0,0,9816.75480328484,68,5004.09030503944,42,Collingwood,98.3013245555543,104.454549805708
2025,19,CD_I297523,Reilly O'Brien,10,ADE,RUC,936000,495100,110,90,70,CD_M20250141901,85,23,0,92,0,25,8,Adelaide,Gold Coast Suns,home,Adelaide Oval,W,1.31844,0.1,0,0,2.29,0,0,0,9816.75480328484,102,5004.09030503944,99,Port Adelaide,95.3471914860092,98.9390618113752
2025,19,CD_I293957,Brodie Grundy,160,SYD,RUC,1198000,733800,94,153,129,CD_M20250141907,74,16,0,70,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,9.90163,37.3,51,70,18.95,76,78,80,9816.75480328484,115,5004.09030503944,133,GWS Giants,122.036255769486,146.640039501489
2025,19,CD_I1006121,Zak Butters,110,PTA,MID,982000,608300,108,94,76,CD_M20250141909,85,17,0,74,0,23,9,Port Adelaide,Hawthorn,away,UTAS Stadium,L,29.4101,88.6,91,100,16.58,68.5,71,70,9816.75480328484,101,5004.09030503944,117,Adelaide,100.033057734253,121.560556048999
2025,19,CD_I297373,Marcus Bontempelli,140,WBD,MID,1064000,626700,112,126,105,CD_M20250141908,87,17,0,63,0,27,14,Western Bulldogs,Brisbane Lions,away,Gabba,L,40.3461,95.8,98,100,27.67,85.8,93,100,9816.75480328484,74,5004.09030503944,76,Essendon,108.386123655036,125.237548045221
2025,19,CD_I291856,Tom Mitchell,40,COL,MID,840000,395200,,,,,,,,,,,,,,,,,0.41662,0,0,0,0.21,0,0,0,9816.75480328484,80,5004.09030503944,60,Richmond,85.567992359239,78.9753933101504
2025,19,CD_I1005054,Josh Daicos,40,COL,MID/DEF,995000,560500,112,72,85,CD_M20250141905,89,6,2,22,29,27,7,Collingwood,Fremantle,home,MCG,L,9.51162,4.9,7,10,16.8,29.4,31,40,9816.75480328484,104,5004.09030503944,66,Richmond,101.35732428267,112.008370319684
2025,19,CD_I994389,Jack Sinclair,130,STK,DEF/MID,937000,486500,114,120,108,CD_M20250141902,86,0,7,0,70,33,10,St Kilda,Geelong Cats,away,GMHBA Stadium,L,44.2835,86.6,84,70,27.16,66.8,71,60,9816.75480328484,86,5004.09030503944,66,Melbourne,95.4490581435797,97.2204677261846
2025,19,CD_I1002267,Luke Davies-Uniacke,100,NTH,MID,760000,458700,107,117,95,CD_M20250141907,84,17,0,74,0,23,12,North Melbourne,Sydney Swans,away,SCG,L,3.46398,3.1,1,0,1.34,0.2,0,0,9816.75480328484,94,5004.09030503944,137,Geelong Cats,77.4186597535972,91.6650124275455
2025,19,CD_I298174,Toby Nankervis,120,RIC,RUC,905000,522100,105,104,110,CD_M20250141906,86,25,0,89,0,28,8,Richmond,West Coast Eagles,away,Optus Stadium,W,2.74539,3.8,3,10,2.83,1.8,1,0,9816.75480328484,84,5004.09030503944,77,Collingwood,92.189325101323,104.334647892787
