playerId,Season,roundNumber,matchId,name,TOG,AF,CBA,KI,teamName,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI,CBA_PERC_chg,KI_PERC_chg
CD_I1000223,2025,2,CD_M20250140206,Liam Baker,83,92,24,0,West Coast Eagles,83,0,75,29,10,83,-19
CD_I1000860,2025,2,CD_M20250140202,Lachie Schultz,81,106,0,0,Collingwood,0,0,107,24,10,0,0
CD_I1000864,2025,2,CD_M20250140202,Lachlan Bramble,87,20,0,6,Footscray,0,38,24,24,16,0,0
CD_I1000937,2025,2,CD_M20250140205,Jack Henry,94,74,0,0,Geelong Cats,0,0,94,32,7,0,0
CD_I1000963,2025,2,CD_M20250140201,Harry Morrison,79,61,0,0,Hawthorn,0,0,62,23,12,0,0
CD_I1000972,2025,2,CD_M20250140204,Willem Drew,73,108,28,0,Port Adelaide,82,0,123,34,14,14,0
CD_I1000978,2025,2,CD_M20250140206,Hugh McCluggage,80,90,20,0,Brisbane Lions,69,0,132,29,9,-13,0
CD_I1000980,2025,2,CD_M20250140201,Lloyd Meek,80,65,21,0,Hawthorn,91,0,90,23,12,0,0
CD_I1001017,2025,2,CD_M20250140207,Nick Larkey,89,64,0,0,North Melbourne,0,0,61,31,12,0,0
CD_I1001028,2025,2,CD_M20250140201,Jack Silvagni,80,63,0,0,Carlton,0,0,69,23,8,0,0
CD_I1001195,2025,2,CD_M20250140203,Izak Rankine,56,70,14,0,Adelaide Crows,33,0,97,43,10,-4,0
CD_I1001299,2025,2,CD_M20250140204,Connor Rozee,81,145,22,0,Port Adelaide,65,0,130,34,14,-3,0
CD_I1001396,2025,2,CD_M20250140203,Isaac Cumming,78,28,0,0,Adelaide Crows,0,0,50,43,10,-3,0
CD_I1001398,2025,2,CD_M20250140202,Matthew Kennedy,81,73,14,0,Footscray,58,0,79,24,16,16,0
CD_I1001438,2025,2,CD_M20250140207,Bayley Fritsch,85,21,0,0,Melbourne,0,0,24,31,11,0,0
CD_I1002143,2025,2,CD_M20250140203,Ben McKay,100,28,0,0,Essendon,0,0,48,43,11,0,0
CD_I1002227,2025,2,CD_M20250140205,Jack Higgins,82,80,0,0,St Kilda,0,0,86,32,12,0,0
CD_I1002228,2025,2,CD_M20250140201,Lachie Fogarty,72,39,0,0,Carlton,0,0,48,23,8,0,0
CD_I1002232,2025,2,CD_M20250140208,Andrew Brayshaw,86,77,13,0,Fremantle,59,0,106,22,13,-26,0
CD_I1002235,2025,2,CD_M20250140206,Cam Rayner,78,58,4,0,Brisbane Lions,14,0,52,29,9,0,0
CD_I1002239,2025,2,CD_M20250140201,Adam Cerra,73,100,12,0,Carlton,52,0,113,23,8,-2,0
CD_I1002253,2025,2,CD_M20250140204,Kane Farrell,88,114,0,6,Port Adelaide,0,43,104,34,14,0,13
CD_I1002264,2025,2,CD_M20250140205,Hunter Clark,30,45,10,0,St Kilda,31,0,41,32,12,5,0
CD_I1002267,2025,2,CD_M20250140207,Luke Davies-Uniacke,87,86,23,0,North Melbourne,74,0,108,31,12,1,0
CD_I1002312,2025,2,CD_M20250140206,Zac Bailey,85,76,0,0,Brisbane Lions,0,0,64,29,9,0,0
CD_I1002347,2025,2,CD_M20250140206,Jack Payne,97,54,0,0,Brisbane Lions,0,0,70,29,9,0,0
CD_I1002403,2025,2,CD_M20250140204,Ben Miller,92,69,0,8,Richmond,0,57,77,34,14,0,57
CD_I1002404,2025,2,CD_M20250140202,Aaron Naughton,83,33,2,0,Footscray,8,0,43,24,16,8,0
CD_I1002947,2025,2,CD_M20250140207,Paul Curtis,82,110,0,0,North Melbourne,0,0,114,31,12,0,0
CD_I1003130,2025,2,CD_M20250140202,Patrick Lipinski,87,61,0,0,Collingwood,0,0,75,24,10,0,0
CD_I1004095,2025,2,CD_M20250140204,Jack Lukosius,3,0,0,0,Port Adelaide,0,0,0,34,14,0,0
CD_I1004385,2025,2,CD_M20250140206,Oscar Allen,97,36,0,0,West Coast Eagles,0,0,27,29,10,0,0
CD_I1004592,2025,2,CD_M20250140202,Tim English,82,101,18,0,Footscray,75,0,113,24,16,-1,0
CD_I1004757,2025,2,CD_M20250140202,Beau McCreery,75,51,4,0,Collingwood,17,0,65,24,10,14,0
CD_I1004863,2025,2,CD_M20250140203,Mitchell Hinge,80,74,0,3,Adelaide Crows,0,30,89,43,10,0,30
CD_I1004870,2025,2,CD_M20250140205,Zach Guthrie,82,79,0,6,Geelong Cats,0,86,85,32,7,0,30
CD_I1004912,2025,2,CD_M20250140201,Tom De Koning,76,107,21,0,Carlton,91,0,104,23,8,8,0
CD_I1004938,2025,2,CD_M20250140205,Gryan Miers,87,73,0,0,Geelong Cats,0,0,53,32,7,0,0
CD_I1004965,2025,2,CD_M20250140207,Tristan Xerri,85,90,26,0,North Melbourne,84,0,136,31,12,-4,0
CD_I1005000,2025,2,CD_M20250140202,Laitham Vandermeer,79,53,0,0,Footscray,0,0,68,24,16,0,0
CD_I1005053,2025,2,CD_M20250140206,Noah Answerth,80,64,0,0,Brisbane Lions,0,0,81,29,9,0,0
CD_I1005054,2025,2,CD_M20250140202,Josh Daicos,85,85,0,1,Collingwood,0,10,84,24,10,0,-12
CD_I1005144,2025,2,CD_M20250140201,Massimo D'Ambrosio,83,94,0,0,Hawthorn,0,0,109,23,12,0,0
CD_I1005326,2025,2,CD_M20250140204,Jackson Mead,78,98,10,0,Port Adelaide,29,0,88,34,14,23,0
CD_I1005330,2025,2,CD_M20250140207,Kade Chandler,82,117,7,0,Melbourne,23,0,151,31,11,23,0
CD_I1005521,2025,2,CD_M20250140206,Oscar McInerney,81,86,25,0,Brisbane Lions,86,0,59,29,9,4,0
CD_I1005577,2025,2,CD_M20250140203,Sam Draper,91,67,16,0,Essendon,37,0,72,43,11,1,0
CD_I1006013,2025,2,CD_M20250140203,James Peatling,83,41,21,0,Adelaide Crows,49,0,47,43,10,6,0
CD_I1006028,2025,2,CD_M20250140208,Nick Blakey,88,86,0,3,Sydney Swans,0,27,86,22,11,0,-23
CD_I1006058,2025,2,CD_M20250140207,Bailey Scott,84,81,0,0,North Melbourne,0,0,81,31,12,0,0
CD_I1006094,2025,2,CD_M20250140201,Sam Walsh,80,99,17,0,Carlton,74,0,100,23,8,36,0
CD_I1006096,2025,2,CD_M20250140203,Xavier Duursma,78,47,0,0,Essendon,0,0,54,43,11,-3,0
CD_I1006103,2025,2,CD_M20250140203,Jye Caldwell,71,97,27,0,Essendon,63,0,118,43,11,-4,0
CD_I1006126,2025,2,CD_M20250140208,James Rowbottom,76,78,12,0,Sydney Swans,55,0,100,22,11,-2,0
CD_I1006127,2025,2,CD_M20250140202,Rhylee West,76,26,4,0,Footscray,17,0,55,24,16,2,0
CD_I1006133,2025,2,CD_M20250140204,Jack Ross,83,38,9,0,Richmond,26,0,35,34,14,14,0
CD_I1006136,2025,2,CD_M20250140203,Lachlan Sholl,80,82,0,0,Adelaide Crows,0,0,77,43,10,0,0
CD_I1006148,2025,2,CD_M20250140202,Bobby Hill,71,55,0,0,Collingwood,0,0,69,24,10,0,0
CD_I1006152,2025,2,CD_M20250140208,Jordan Clark,92,83,0,5,Fremantle,0,38,122,22,13,0,38
CD_I1006232,2025,2,CD_M20250140208,Sam Wicks,81,44,0,0,Sydney Swans,0,0,42,22,11,0,0
CD_I1006314,2025,2,CD_M20250140201,Dylan Moore,79,45,1,0,Hawthorn,4,0,57,23,12,-5,0
CD_I1007099,2025,2,CD_M20250140207,Harry Sharp,83,46,0,0,Melbourne,0,0,43,31,11,0,0
CD_I1007102,2025,2,CD_M20250140205,Mark O'Connor,75,70,0,0,Geelong Cats,0,0,69,32,7,0,0
