Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000_chg,OwnershipTop100_chg,OwnershipTop10_chg
Aaron Cadman,GWS,0.679257,0,0,0,0,0,0
Aaron Francis,SYD,0.196317,0,0,0,0,0,0
Aaron Naughton,WBD,0.751053,0,0,0,0,0,0
Adam Cerra,CAR,13.8151,60.8,60,60,16.3,18,20
Adam Saad,CAR,1.92559,0.1,0,0,-0.5,0,0
Adam Treloar,WBD,0.178368,0,0,0,0,0,0
Aidan Corr,NTH,0.256334,0,0,0,0,0,0
Aidan Johnson,MEL,2.68337,5.6,4,0,1.6,-1,-10
Aiden Riddle,FRE,1.85099,2.3,2,0,0.0999999999999996,1,0
Alex Cincotta,CAR,0.200804,0,0,0,0,0,0
Alex Davies,GCS,0.164906,0,0,0,0,0,0
Alex Dodson,STK,0.325886,0.3,1,0,-0.1,-1,0
Alex Neal-Bullen,ADE,1.52847,0,0,0,0,0,0
Alex Pearce,FRE,0.421801,0,0,0,0,0,0
Alex Sexton,GCS,0.0863795,0,0,0,0,0,0
Aliir Aliir,PTA,0.772928,0,0,0,0,0,0
Alixzander Tauru,STK,0.565393,0,0,0,0,0,0
Alwyn Davey Jnr,ESS,0.215388,0,0,0,0,0,0
Andrew Brayshaw,FRE,11.6955,31.3,27,30,8.6,13,30
Andrew McGrath,ESS,0.742079,0,0,0,0,0,0
Andy Moniz-Wakefield,MEL,0.0213144,0,0,0,0,0,0
Angus Clarke,ESS,0.227728,0,0,0,-0.1,0,0
Angus Hastie,STK,10.2994,25.6,31,20,0,0,-10
Angus McLennan,STK,0.24792,0,0,0,0,0,0
Angus Sheldrick,SYD,5.6444,4,6,20,-0.4,1,10
Anthony Caminiti,STK,0.141909,0,0,0,0,0,0
Anthony Scott,WBD,0.183977,0,0,0,0,0,0
Archer Day-Wicks,ESS,6.96028,3.2,5,10,-1.1,0,10
Archer Reid,WCE,14.8864,9.9,13,0,0.0999999999999996,-4,0
Archie Perkins,ESS,1.15434,0,0,0,0,0,0
Archie Roberts,ESS,1.90652,0.2,0,0,-0.1,-2,0
Arie Schoenmaker,STK,0.836872,0.2,0,0,-0.1,0,0
Arthur Jones,WBD,0.457138,0,0,0,0,0,0
Ash Johnson,COL,0.283258,0,0,0,0,0,0
Asher Eastham,GCS,1.36861,0.1,0,0,-0.5,-2,0
Ashton Moir,CAR,0.918203,0.2,0,0,0.1,0,0
Bailey Banfield,FRE,0.100963,0,0,0,0,0,0
Bailey Dale,WBD,1.76517,7.3,15,30,4.3,11,30
Bailey Humphrey,GCS,1.76517,0.8,0,0,-1.6,-2,0
Bailey J. Williams,WCE,0.664113,0,0,0,0,0,0
Bailey Laurie,MEL,1.12518,0,0,0,0,0,0
Bailey Macdonald,HAW,0.148079,0,0,0,0,0,0
Bailey Scott,NTH,0.302328,0,0,0,-0.1,-1,0
Bailey Smith,GEE,67.6481,72.1,66,80,-22.1,-29,-20
Bailey Williams,WBD,0.177807,0,0,0,0,0,0
Bayley Fritsch,MEL,0.949614,0,0,0,0,0,0
Beau McCreery,COL,0.491915,0,0,0,0,0,0
Ben Ainsworth,GCS,0.180051,0,0,0,0,0,0
Ben Camporeale,CAR,0.684866,0,0,0,-0.3,0,0
Ben Hobbs,ESS,1.55147,0.7,0,0,0,-1,-10
Ben Jepson,GCS,2.14154,0.9,2,0,-0.8,-1,0
Ben Keays,ADE,0.858186,0.1,1,0,0,0,0
Ben King,GCS,1.12013,0,0,0,-0.2,-1,0
Ben Long,GCS,0.112181,0,0,0,0,0,0
Ben McKay,ESS,0.465552,0,0,0,0,0,0
Ben Miller,RIC,0.466113,0,0,0,-0.1,0,0
Ben Paton,SYD,38.9179,50.4,40,30,-2.8,4,10
Benny Barrett,PTA,1.03824,0.1,0,0,-0.2,-3,-10
Billy Dowling,ADE,0.119473,0,0,0,0,0,0
