player_id,oppo_avg
CD_I291776,38
CD_I1008091,54
CD_I1006028,95
CD_I1013133,60
CD_I998103,60
CD_I293957,81
CD_I1027687,
CD_I997100,76
CD_I298539,127
CD_I1013409,52
CD_I295342,70
CD_I1008198,18
CD_I1011936,75
CD_I996743,57
CD_I996765,74
CD_I1004985,63
CD_I290307,33
CD_I1012210,91
CD_I1006126,75
CD_I1020339,
CD_I1012014,114
CD_I1018424,
CD_I1006232,19
CD_I297354,74
CD_I990290,8
CD_I998134,56
CD_I994077,43
CD_I1005144,71
CD_I1008550,109
CD_I293738,34
CD_I1012857,61
CD_I993794,73
CD_I296254,59
CD_I1017094,39
CD_I1023482,61
CD_I1009421,84
CD_I1000980,87
CD_I1006314,85
CD_I1000963,79
CD_I1007124,86
CD_I1020895,99
CD_I998114,86
CD_I297566,80
CD_I1023473,55
CD_I1027935,56
CD_I1002222,71
CD_I1009253,99
CD_I1008139,65
CD_I1008436,62
CD_I1014038,32
CD_I1009708,64
CD_I1019038,64
CD_I1023266,70
CD_I291969,59
CD_I1002251,77
CD_I295344,93
CD_I1027921,
CD_I993107,63
CD_I1008083,84
CD_I1020650,
CD_I290314,20
CD_I296347,85
CD_I1032119,
CD_I1006135,41
CD_I1015862,
CD_I1005247,10
CD_I280109,50
CD_I1004530,60
CD_I294305,120
CD_I1022915,
CD_I990291,108
CD_I293871,81
CD_I1005054,98
CD_I1023261,71
CD_I293801,66
CD_I1006148,57
CD_I291720,41
CD_I291313,56
CD_I1003130,56
CD_I1017124,64
CD_I992010,44
CD_I1004757,67
CD_I1013278,
CD_I297504,72
CD_I294596,38
CD_I291849,44
CD_I298288,49
CD_I260257,79
CD_I998205,67
CD_I1008089,69
CD_I1000860,46
CD_I280965,86
CD_I1028525,
CD_I1013197,19
CD_I1021152,
CD_I1013229,42
CD_I295203,41
CD_I1017086,48
CD_I1023275,25
CD_I1009226,51
CD_I1023056,
CD_I993903,92
CD_I1028491,
CD_I293813,58
CD_I1008478,65
CD_I294592,32
CD_I1002403,71
CD_I298174,150
CD_I1006133,69
CD_I992049,102
CD_I1017114,62
CD_I998172,108
CD_I1028521,
CD_I1031829,
CD_I294674,65
CD_I296294,71
CD_I1022452,
CD_I1002239,137
CD_I1008154,66
CD_I1021353,77
CD_I990704,100
CD_I1004912,105
CD_I295518,130
CD_I1017255,9
CD_I1002228,66
CD_I295265,59
CD_I294036,136
CD_I1023495,105
CD_I1009241,92
CD_I1032108,51
CD_I297255,32
CD_I1000953,72
CD_I1017700,30
CD_I295461,77
CD_I1001028,24
CD_I1006094,97
CD_I993832,61
CD_I294685,62
CD_I1017110,52
CD_I1011954,
CD_I1027899,46
CD_I1006103,120
CD_I1005577,91
CD_I1015810,87
CD_I1006096,97
CD_I298421,58
CD_I1017088,
CD_I1011755,62
CD_I1028554,
CD_I298630,75
CD_I1012013,143
CD_I998102,63
CD_I1002143,82
CD_I992016,91
