Player,player_id,SeasonPriceChange,sc_change
Nick Daicos,CD_I1023261,-65000,-46600
Rowan Marshall,CD_I992468,-157000,-86900
Tristan Xerri,CD_I1004965,-191000,-83600
Luke Ryan,CD_I998659,-173000,-100600
Lachie Whitfield,CD_I294305,-23000,600
Andrew Brayshaw,CD_I1002232,-46000,32200
Tom Green,CD_I1009528,-2000,-9600
Sam Walsh,CD_I1006094,-57000,-43300
Errol Gulden,CD_I1013128,0,0
Nic Newman,CD_I297907,0,0
Noah Anderson,CD_I1009199,-14000,-7700
Max Gawn,CD_I290528,-145000,-86900
Harry Sheezel,CD_I1023518,-76000,-65600
Dayne Zorko,CD_I261224,-55000,-3400
Patrick Cripps,CD_I990704,-151000,-89900
Jack Steele,CD_I296205,-82000,-36900
Zach Merrett,CD_I992016,15000,-7500
Adam Treloar,CD_I291790,0,0
Nic Martin,CD_I1026850,-118000,
Josh Dunkley,CD_I993834,7000,-22400
Nasiah Wanganeen-Milera,CD_I1015507,9000,23800
Matt Crouch,CD_I297401,-86000,-54900
Jai Newcombe,CD_I1020895,67000,18300
Jordan Dawson,CD_I992242,11000,-17600
Matt Rowell,CD_I1009208,27000,8800
Caleb Serong,CD_I1009420,-77000,-34200
Lachie Neale,CD_I293535,-99000,-92100
Colby McKercher,CD_I1024272,-138000,-97500
Tim Taranto,CD_I998172,-85000,-36300
Reilly O'Brien,CD_I297523,-126000,-74500
Brodie Grundy,CD_I293957,-99000,-44000
Zak Butters,CD_I1006121,-37000,0
Marcus Bontempelli,CD_I297373,0,0
Tom Mitchell,CD_I291856,0,0
Josh Daicos,CD_I1005054,-62000,-33500
Jack Sinclair,CD_I994389,10000,50000
Luke Davies-Uniacke,CD_I1002267,-88000,-83300
Toby Nankervis,CD_I298174,-82000,-46000
Tim English,CD_I1004592,-84000,-58700
Sam Flanders,CD_I1009260,-95000,-59600
Oscar McInerney,CD_I1005521,-49000,-47500
Rory Laird,CD_I293222,-93000,-49600
Jarrod Witts,CD_I291975,-20000,-27200
George Hewett,CD_I294036,164000,74600
Lloyd Meek,CD_I1000980,-44000,-28100
Hugh McCluggage,CD_I1000978,10000,92200
Isaac Heeney,CD_I298539,-143000,-87400
Jayden Short,CD_I992049,57000,-4800
Touk Miller,CD_I298272,3000,15100
Darcy Parish,CD_I993817,0,0
James Rowbottom,CD_I1006126,-63000,-35000
Jordan Ridley,CD_I1001026,-121000,-43700
Jordon Sweet,CD_I992330,-7000,-7400
Jye Caldwell,CD_I1006103,74000,13600
Ollie Wines,CD_I294318,-18000,-29200
Chad Warner,CD_I1012014,-90000,-60300
Tom Stewart,CD_I291800,-94000,-37500
Jack Viney,CD_I291902,-127000,-87900
Jordan Clark,CD_I1006152,-99000,-16000
Dan Houston,CD_I994295,-80000,-12700
Christian Petracca,CD_I298210,-44000,-73000
Connor Rozee,CD_I1001299,46000,-30700
Bailey Dale,CD_I996708,-81000,-11300
Will Ashcroft,CD_I1023517,56000,97000
Clayton Oliver,CD_I996701,131000,18000
Hayden Young,CD_I1009256,-11000,0
Josh Kelly,CD_I296347,-16000,-24900
Lachlan Sholl,CD_I1006136,-219000,-133500
Elliot Yeo,CD_I292128,0,0
Mason Redman,CD_I997078,-45000,-17700
Tim Kelly,CD_I295898,-108000,-51600
Max Holmes,CD_I1015889,-7000,8500
Liam Duggan,CD_I298268,-151000,-70400
Zac Fisher,CD_I999827,-21000,0
Massimo D'Ambrosio,CD_I1005144,-80000,-49100
