Player,Team,Position,Price,PriceChg,PricedAt,BreakEven,LastScore,LastTG,LastPPM,LastCBA,CBAchg,LastKI,KIchg,SeasAvg,SeasTG,SeasPPM,SeasCBA,SeasKI,Last3Score,Last3TG,Last3PPM,Last3CBA,Last3KI,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000Chg,OwnershipTop100Chg,OwnershipTop10Chg,WinAvg,LossAvg,HomeAvg,AwayAvg,OppLastScore,OppLast3Score,OppCareer,ReservesAvg,ReservesLast
Nick Daicos,COL,MID,1008000,3000,103.16241940436,97,136,84,1.61904761904762,92,24,0,0,97,78,1.24358974358974,0.7625,0,97,78,1.24358974358974,0.7625,0,27.14,6.6,7,10,1.9,3,10,115.5,60,95,98,0,0,0,0,0
Rowan Marshall,STK,RUC,1135000,-16000,116.160065499949,127,142,82,1.73170731707317,81,67,0,0,78.6666666666667,81,0.97119341563786,0.462686567164179,0,78.6666666666667,81,0.97119341563786,0.462686567164179,0,13.5,0,0,0,0,0,0,142,64,142,64,103.75,103.75,95.6666666666667,0,0
Tristan Xerri,NTH,RUC,1162000,-21000,118.923344591137,136,90,85,1.05882352941176,84,-4,0,0,109.5,84,1.30357142857143,0.859375,0,109.5,84,1.30357142857143,0.859375,0,58.76,89.9,90,90,4.2,10,0,90,129,90,129,0,0,0,0,0
Luke Ryan,FRE,DEF,976000,-37000,99.8874219629516,128,90,91,0.989010989010989,0,0,46,-10,78,90,0.866666666666667,0,0.5,78,90,0.866666666666667,0,0.5,3.21,0,0,0,-0.5,0,0,0,78,90,66,0,0,0,0,0
Lachie Whitfield,GWS,DEF,1127000,0,115.341316139597,118,0,0,0,0,0,0,-50,105,79,1.32911392405063,0,0.375,105,79,1.32911392405063,0,0.375,20.1,0.3,0,0,-4.6,-2,0,105,0,99,111,0,0,0,0,0
Andrew Brayshaw,FRE,MID,1025000,-35000,104.902261795108,134,77,86,0.895348837209302,59,-26,0,0,86,86,1,0.75,0,86,86,1,0.75,0,9.48,3.9,4,0,-4,-5,0,0,86,77,95,0,0,0,0,0
Tom Green,GWS,MID,1024000,0,104.799918125064,108,0,0,0,0,-73,0,0,104,76,1.36842105263158,0.372549019607843,0,104,76,1.36842105263158,0.372549019607843,0,1.61,0,0,0,-0.2,0,0,104,0,0,104,0,0,0,0,0
Sam Walsh,CAR,MID,1040000,-26000,106.437416845768,126,99,80,1.2375,74,36,0,0,87.6666666666667,80,1.09583333333333,0.553191489361702,0,87.6666666666667,80,1.09583333333333,0.553191489361702,0,3.39,0.2,0,0,-0.4,-1,0,0,91.5,99,84,0,0,92.5,0,0
Errol Gulden,SYD,MID,1113000,0,113.908504758981,120,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nic Newman,CAR,DEF,1052000,0,107.665540886296,114,0,0,0,0,0,0,0,0,89,0,0,0,0,89,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
