player,position,price,change,priced at,breakeven,last score,last tog,last ppm,last cba,cba change,last ki,ki change,season avg,tog,season ppm,season cba,season ki,last 3 avg,last 3 tog,last 3 ppm,last 3 cba,last 3 ki,ownership total,ownership top 1000,ownership top 100,ownership top 10,ownership top 1000 chg,ownership top 100 chg,ownership top 10 chg,win avg,loss avg,home avg,away avg,opp last score,opp last 3 score,opp career,reserves avg,reserves last
Caleb Daniel,MID/FWD,620000,106000,63,6,114,0.83,1.14,0,0,0.67,0.03,103,0.83,1.03,0,0.65,103,0.83,1.03,0,0.65,0.66,1,1,1,0.01,0,0,114,91,114,91,47,80,86,0,0
Zach Reid,DEF,308000,78000,32,-4,51,0.96,0.44,0,0,0.09,0.09,57,0.91,0.53,0,0.05,57,0.91,0.53,0,0.05,0.64,0.98,1,1,0.03,0.02,0,0,57,51,63,20,20,20,0,0
Tom De Koning,RUC,968000,68000,99,73,107,0.76,1.17,0.91,0.08,0,0,120,0.79,1.27,0.87,0,120,0.79,1.27,0.87,0,0.46,0.98,0.99,1,0.08,0.07,0,0,120,107,132,90,61,61,0,0
Sam Davidson,FWD,302000,72000,31,-7,60,0.77,0.65,0,0,0,0,57,0.76,0.62,0,0,57,0.76,0.62,0,0,0.54,0.98,0.99,1,0.02,0.04,0.1,53,60,57,0,0,0,0,0,0
Connor Rozee,MID,1047000,51000,107,74,145,0.81,1.49,0.65,-0.03,0,0,129,0.83,1.3,0.66,0,129,0.83,1.3,0.66,0,0.37,0.97,0.97,1,0.17,0.17,0.1,145,112,145,112,133,125,114,0,0
Lucas Camporeale,MID,309000,79000,32,5,30,0.67,0.37,0,0,0,0,53,0.77,0.56,0,0,53,0.77,0.56,0,0,0.51,0.94,0.96,0.9,0.03,0.04,0,0,53,30,76,0,0,0,0,0
Jordan Dawson,MID,1122000,42000,115,93,134,0.79,1.41,0.7,0.1,0,0,130,0.81,1.34,0.65,0,130,0.81,1.34,0.65,0,0.32,0.92,0.94,1,0.14,0.2,0,130,0,126,134,122,129,113,0,0
Bailey Smith,MID/FWD,653000,55000,67,19,0,0,0,0,-0.26,0,0,126,0.8,1.31,0.26,0,126,0.8,1.31,0.26,0,0.73,0.94,0.94,1,-0.06,-0.06,0,126,0,126,0,71,67,66,0,0
Clayton Oliver,MID,828000,31000,85,61,114,0.82,1.16,0.71,-0.02,0,0,99,0.83,1,0.72,0,99,0.83,1,0.72,0,0.55,0.96,0.94,1,0.1,0.11,0.3,0,99,84,114,104,111,125,0,0
Levi Ashcroft,MID,433000,105000,44,-4,74,0.78,0.79,0,0,0,0,79,0.77,0.86,0,0,79,0.77,0.86,0,0,0.67,0.95,0.94,1,0.17,0.16,0.4,79,0,74,84,0,0,0,0,0
Tristan Xerri,RUC,1162000,-13000,119,136,90,0.85,0.88,0.84,-0.04,0,0,110,0.84,1.09,0.86,0,110,0.84,1.09,0.86,0,0.59,0.9,0.9,0.9,0.04,0.1,0,90,129,90,129,83,88,88,0,0
Sam De Koning,DEF,669000,105000,68,32,72,0.7,0.86,0.69,-0.13,0,0,98,0.74,1.09,0.76,0,98,0.74,1.09,0.76,0,0.44,0.91,0.9,0.9,0.05,-0.03,-0.1,124,72,124,72,38,44,44,0,0
Harry Boyd,RUC,268000,38000,27,-6,0,0,0,0,-0.86,0,0,68,0.78,0.73,0.86,0,68,0.78,0.73,0.86,0,0.55,0.91,0.88,1,0.04,0.03,0.3,0,68,0,68,0,0,0,0,0
Jayden Short,DEF,826000,1000,85,84,85,0.8,0.89,0,0,0.07,-0.4,85,0.86,0.84,0,0.27,85,0.86,0.84,0,0.27,0.38,0.87,0.81,0.8,0.12,0.1,0.1,85,85,85,85,94,96,92,0,0
Harry Sheezel,DEF,1132000,-19000,116,128,102,0.89,0.96,0.55,0.03,0,0,108,0.87,1.04,0.53,0,108,0.87,1.04,0.53,0,0.57,0.67,0.75,1,0.07,0.01,0.4,102,114,102,114,125,116,116,0,0
Nathan O'Driscoll,MID,525000,84000,54,14,79,0.71,0.93,0,-0.68,0,0,82,0.74,0.93,0.34,0,82,0.74,0.93,0.34,0,0.29,0.77,0.73,0.5,0.09,-0.01,-0.4,0,82,79,85,40,46,46,0,0
Conor Stone,FWD,281000,51000,29,6,0,0,0,0,0,0,0,45,0.75,0.5,0,0,45,0.75,0.5,0,0,0.43,0.78,0.73,0.5,0,-0.01,0,45,0,50,40,0,0,0,0,0
Xavier Lindsay,MID,438000,128000,45,-14,80,0.8,0.83,0,0,0,0,87,0.77,0.95,0,0,87,0.77,0.95,0,0,0.25,0.67,0.69,0.6,0.58,0.6,0.5,0,87,94,80,0,0,0,0,0
Joel Freijah,DEF,691000,64000,71,47,75,0.8,0.78,0.33,-0.03,0,-0.08,89,0.84,0.88,0.35,0.04,89,0.84,0.88,0.35,0.04,0.24,0.74,0.68,0.5,0.15,0.07,0.1,103,75,89,0,43,43,43,0,0
Max Hall,MID/FWD,335000,105000,34,-9,51,0.79,0.54,0.03,0.03,0,0,67,0.81,0.68,0.02,0,67,0.81,0.68,0.02,0,0.32,0.55,0.68,0.8,0.21,0.28,0.6,51,82,51,82,0,0,0,0,0
Finn O'Sullivan,MID,359000,22000,37,30,33,0.79,0.35,0,0,0.17,0.17,42,0.81,0.44,0,0.08,42,0.81,0.44,0,0.08,0.49,0.76,0.68,0.5,0,0,-0.1,33,51,33,51,0,0,0,0,0
Luke Trainor,DEF,330000,50000,34,17,33,0.82,0.34,0,0,0,-0.07,48,0.8,0.51,0,0.03,48,0.8,0.51,0,0.03,0.39,0.7,0.62,0.3,0.08,0.13,-0.2,62,33,62,33,0,0,0,0,0
Will Day,MID,844000,84000,86,84,75,0.76,0.82,0.74,0.01,0,0,94,0.77,1.03,0.67,0,94,0.77,1.03,0.67,0,0.51,0.75,0.6,0.5,-0.02,-0.09,-0.4,94,0,77,102,40,79,78,0,0
James Leake,DEF,248000,18000,25,24,0,0,0,0,0,0,0,28,0.57,0.42,0.14,0,28,0.57,0.42,0.14,0,0.46,0.51,0.56,0.7,-0.09,-0.07,0,28,0,42,14,0,0,0,0,0
Ryley Sanders,MID/FWD,664000,8000,68,64,69,0.71,0.81,0.12,-0.3,0,0,71,0.78,0.76,0.27,0,71,0.78,0.76,0.27,0,0.37,0.64,0.55,0.4,-0.01,0.05,0,72,69,71,0,61,61,61,0,0
Isaac Kako,MID/FWD,343000,39000,35,18,44,0.78,0.47,0,0,0,0,48,0.8,0.5,0,0,48,0.8,0.5,0,0,0.53,0.48,0.54,0.5,-0.04,0.01,-0.1,0,48,44,51,0,0,0,0,0
Adam Cerra,MID,794000,49000,81,56,100,0.73,1.14,0.52,-0.02,0,0,99,0.78,1.06,0.53,0,99,0.78,1.06,0.53,0,0.14,0.51,0.48,0.5,0.13,0.05,0.3,0,99,100,97,78,72,69,0,0
