Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Jack Macrae,STK,69.3959,100,100,100
Caleb Daniel,NTH,75.6051,99.8,100,100
Sam Davidson,WBD,63.3145,98.5,96,100
Clayton Oliver,MEL,62.5999,97.6,98,100
Tom De Koning,CAR,49.6037,94.7,98,100
Zach Reid,ESS,65.99,93.6,94,100
Matt Roberts,SYD,40.9753,90.6,90,100
Mitch Knevitt,GEE,46.7246,88,88,100
Luke Trainor,RIC,57.5439,87.4,84,60
Lucas Camporeale,CAR,49.4085,85.6,82,90
Tristan Xerri,NTH,52.9871,83.7,83,90
Harry Boyd,STK,58.2243,83.7,83,90
Nathan O'Driscoll,FRE,34.7739,83.2,81,90
Levi Ashcroft,BRL,68.9084,82.2,86,80
Connor Rozee,PTA,23.8178,82.1,87,80
Harry Sheezel,NTH,67.33,80.6,72,80
Jason Horne-Francis,PTA,63.0537,80.6,74,70
Bailey Smith,GEE,67.6481,72.1,66,80
Elijah Tsatas,ESS,49.6716,69.8,68,50
Isaac Kako,ESS,72.3787,68.7,69,50
Conor Stone,GWS,29.2266,64.3,56,40
Izak Rankine,ADE,29.4049,63.9,63,70
Adam Cerra,CAR,13.8151,60.8,60,60
Dayne Zorko,BRL,15.1002,59.8,67,100
Elijah Hewett,WCE,48.0865,59.8,61,60
Finn O'Sullivan,NTH,47.2524,51,49,80
Ben Paton,SYD,38.9179,50.4,40,30
James Leake,GWS,45.0284,44.9,39,60
Max Hall,STK,23.4891,35.1,40,50
Xavier Lindsay,MEL,15.5231,34.5,38,50
Jayden Short,RIC,24.156,33.9,28,40
Jordan Clark,FRE,8.04171,33,40,30
Andrew Brayshaw,FRE,11.6955,31.3,27,30
Jordan Dawson,ADE,11.7818,30.9,32,20
Sam De Koning,GEE,24.594,30.9,30,0
Max Holmes,GEE,26.1663,29.4,36,20
Finn Callaghan,GWS,30.7573,28.4,15,10
Sam Powell-Pepper,PTA,20.7603,27.2,28,10
Riley Bice,SYD,19.5436,27.2,28,20
