player_id,Player
1023261,Nick Daicos
992468,Rowan Marshall
1004965,Tristan Xerri
998659,Luke Ryan
294305,Lachie Whitfield
1002232,Andrew Brayshaw
1009528,Tom Green
1006094,Sam Walsh
1013128,Errol Gulden
297907,Nic Newman
1009199,Noah Anderson
290528,Max Gawn
1023518,Harry Sheezel
261224,Dayne Zorko
990704,Patrick Cripps
296205,Jack Steele
992016,Zach Merrett
291790,Adam Treloar
1026850,Nic Martin
993834,Josh Dunkley
1015507,Nasiah Wanganeen-Milera
297401,Matt Crouch
1020895,Jai Newcombe
992242,Jordan Dawson
1009208,Matt Rowell
1009420,Caleb Serong
293535,Lachie Neale
1024272,Colby McKercher
998172,Tim Taranto
297523,Reilly O'Brien
293957,Brodie Grundy
1006121,Zak Butters
297373,Marcus Bontempelli
291856,Tom Mitchell
1005054,Josh Daicos
994389,Jack Sinclair
1002267,Luke Davies-Uniacke
298174,Toby Nankervis
1004592,Tim English
1009260,Sam Flanders
1005521,Oscar McInerney
293222,Rory Laird
291975,Jarrod Witts
294036,George Hewett
1000980,Lloyd Meek
1000978,Hugh McCluggage
298539,Isaac Heeney
992049,Jayden Short
298272,Touk Miller
993817,Darcy Parish
1006126,James Rowbottom
1001026,Jordan Ridley
992330,Jordon Sweet
1006103,Jye Caldwell
294318,Ollie Wines
1012014,Chad Warner
291800,Tom Stewart
291902,Jack Viney
1006152,Jordan Clark
994295,Dan Houston
298210,Christian Petracca
1001299,Connor Rozee
996708,Bailey Dale
1023517,Will Ashcroft
996701,Clayton Oliver
1009256,Hayden Young
296347,Josh Kelly
1006136,Lachlan Sholl
292128,Elliot Yeo
997078,Mason Redman
295898,Tim Kelly
1015889,Max Holmes
298268,Liam Duggan
999827,Zac Fisher
1005144,Massimo D'Ambrosio
1008436,Kieren Briggs
290799,Tom Liberatore
998215,Will Setterfield
295518,Sam Docherty
294674,Nick Vlastuin
998129,Will Brodie
297354,Karl Amon
993903,Jacob Hopper
295342,Jake Lloyd
1006314,Dylan Moore
297566,James Sicily
990291,Darcy Cameron
998145,Sean Darcy
1012210,Matt Roberts
1002222,James Worpel
1000972,Willem Drew
296294,Blake Acres
998133,Jarrod Berry
1006058,Bailey Scott
298264,Ed Langdon
998102,Andrew McGrath
1000981,Daniel Rioli
1023266,Finn Callaghan
1008550,Will Day
1011640,Jason Horne-Francis
293871,Jack Crisp
1008280,Ed Richards
296324,Jesse Hogan
296359,Christian Salem
291969,Stephen Coniglio
290627,Dion Prestia
