player.playerId,Player
CD_I291776,Taylor Adams
CD_I1008091,Joel Amartey
CD_I1006028,Nick Blakey
CD_I1013133,Braeden Campbell
CD_I998103,Oliver Florent
CD_I293957,Brodie Grundy
CD_I1027687,Tom Hanily
CD_I997100,Will Hayward
CD_I298539,Isaac Heeney
CD_I1013409,James Jordon
CD_I295342,Jake Lloyd
CD_I1008198,Tom McCartin
CD_I1011936,Justin McInerney
CD_I996743,Lewis Melican
CD_I996765,Tom Papley
CD_I1004985,Ben Paton
CD_I290307,Dane Rampe
CD_I1012210,Matt Roberts
CD_I1006126,James Rowbottom
CD_I1020339,Angus Sheldrick
CD_I1012014,Chad Warner
CD_I1018424,Corey Warner
CD_I1006232,Sam Wicks
CD_I297354,Karl Amon
CD_I990290,Tom Barrass
CD_I998134,Josh Battle
CD_I994077,Mabior Chol
CD_I1005144,Massimo D'Ambrosio
CD_I1008550,Will Day
CD_I293738,Sam Frost
CD_I1012857,Jack Ginnivan
CD_I993794,Blake Hardwick
CD_I296254,Jarman Impey
CD_I1017094,Connor Macdonald
CD_I1023482,Cam Mackenzie
CD_I1009421,Finn Maginness
CD_I1000980,Lloyd Meek
CD_I1006314,Dylan Moore
CD_I1000963,Harry Morrison
CD_I1007124,Conor Nash
CD_I1020895,Jai Newcombe
CD_I998114,Jack Scrimshaw
CD_I297566,James Sicily
CD_I1023473,Nick Watson
CD_I1027935,Josh Weddle
CD_I1002222,James Worpel
CD_I1009253,Lachie Ash
CD_I1008139,Toby Bedford
CD_I1008436,Kieren Briggs
CD_I1014038,Callum M. Brown
CD_I1009708,Jack Buckley
CD_I1019038,Aaron Cadman
CD_I1023266,Finn Callaghan
CD_I291969,Stephen Coniglio
CD_I1002251,Brent Daniels
CD_I295344,Toby Greene
CD_I1027921,Max Gruzewski
CD_I993107,Harry Himmelberg
CD_I1008083,Connor Idun
CD_I1020650,Darcy Jones
CD_I290314,Lachlan Keeffe
CD_I296347,Josh Kelly
CD_I1032119,James Leake
CD_I1006135,Xavier O'Halloran
CD_I1015862,Conor Stone
CD_I1005247,Sam Taylor
CD_I280109,Callan Ward
CD_I1004530,Jacob Wehr
CD_I294305,Lachie Whitfield
CD_I1022915,Edward Allan
CD_I990291,Darcy Cameron
CD_I293871,Jack Crisp
CD_I1005054,Josh Daicos
CD_I1023261,Nick Daicos
CD_I293801,Jamie Elliott
CD_I1006148,Bobby Hill
CD_I291720,Will Hoskin-Elliott
CD_I291313,Jeremy Howe
CD_I1003130,Patrick Lipinski
CD_I1017124,Ned Long
CD_I992010,Brayden Maynard
CD_I1004757,Beau McCreery
CD_I1013278,Reef McInnes
CD_I297504,Daniel McStay
CD_I294596,Tim Membrey
CD_I291849,Brody Mihocek
CD_I298288,Darcy Moore
CD_I260257,Scott Pendlebury
CD_I998205,Harry Perryman
CD_I1008089,Isaac Quaynor
CD_I1000860,Lachie Schultz
CD_I280965,Steele Sidebottom
CD_I1028525,Harry Armstrong
CD_I1013197,Sam Banks
CD_I1021152,Jacob Bauer
CD_I1013229,Jacob Blight
CD_I295203,Nathan Broad
