Season,Round,player_id,Player,squad_id,Team,Position,af_cost,af_be,matchId,TOG,AF,CBA,KI,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI,team.name,home.team.name,away.team.name,venue.name,sc_cost,minutes_played,sc_be,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10
2025,4,CD_I1023261,Nick Daicos,40,COL,MID,989000,113,CD_M20250140401,85,76,16,0,89,0,94,18,10,Collingwood,Collingwood,Carlton,MCG,582700,107,130,,,,,26.87,4.1,6,0
2025,4,CD_I992468,Rowan Marshall,130,STK,RUC,1098000,136,CD_M20250140407,86,75,23,0,88,0,61,26,12,St Kilda,Port Adelaide,St Kilda,Adelaide Oval,563600,109,160,,,,,15.34,2.7,5,0
2025,4,CD_I1004965,Tristan Xerri,100,NTH,RUC,1051000,155,CD_M20250140405,79,78,23,0,77,0,94,30,9,North Melbourne,North Melbourne,Sydney Swans,Marvel Stadium,604200,96,179,,,,,55.99,74.1,67,90
2025,4,CD_I998659,Luke Ryan,60,FRE,DEF,910000,103,CD_M20250140408,97,109,0,6,0,67,134,30,9,Fremantle,Fremantle,Western Bulldogs,Optus Stadium,556500,128,118,,,,,3.05,0.1,0,0
2025,4,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1136000,103,CD_M20250140406,80,139,0,4,0,44,148,29,9,GWS GIANTS,GWS GIANTS,West Coast Eagles,ENGIE Stadium,607500,102,107,,,,,23.97,15.4,28,60
2025,4,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1008000,101,CD_M20250140408,84,119,24,0,80,0,135,30,9,Fremantle,Fremantle,Western Bulldogs,Optus Stadium,595200,110,91,,,,,11.39,16.2,13,10
2025,4,CD_I1009528,Tom Green,1010,GWS,MID,1015000,100,CD_M20250140406,84,121,20,0,69,0,128,29,9,GWS GIANTS,GWS GIANTS,West Coast Eagles,ENGIE Stadium,568900,107,124,,,,,3.09,3.1,1,0
2025,4,CD_I1006094,Sam Walsh,30,CAR,MID,1007000,97,CD_M20250140401,88,137,11,0,61,0,108,18,15,Carlton,Collingwood,Carlton,MCG,533400,110,126,,,,,3.54,1.2,0,0
2025,4,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,122,,,,,,,,,,,,,,,,,116,,,,,1.17,0,0,0
2025,4,CD_I297907,Nic Newman,30,CAR,DEF,1052000,115,,,,,,,,,,,,,,,,,109,,,,,0.29,0,0,0
