player_name,breakeven
Sam Flanders,229
Kai Lohmann,206
Jordan Ridley,206
Hunter Clark,199
Patrick Cripps,180
Tristan Xerri,179
Jack Lukosius,175
Andrew McGrath,173
Connor Rozee,166
Isaac Heeney,165
Jack Steele,165
Thomas Stewart,163
Zak Butters,162
Rowan Marshall,160
Willem Drew,157
Dan Houston,153
Tim Kelly,151
Ivan Soldo,150
Alex Sexton,148
Lachlan Sholl,148
Jake Waterman,147
Luke Davies-Uniacke,147
Lachie Neale,145
Josh Dunkley,143
Dylan Moore,143
James Worpel,143
Dayne Zorko,141
Jarrod Witts,141
Bailey Scott,141
Nick Blakey,139
Sam Switkowski,139
Chad Warner,138
Jeremy McGovern,138
Nicholas Martin,138
Logan Evans,138
Bailey Dale,137
Willie Rioli,137
Finn Callaghan,137
Max Gawn,136
Marcus Bontempelli,136
Jack Scrimshaw,135
Matt Crouch,134
Noah Anderson,134
Rory Laird,133
Luke Nankervis,132
Ed Richards,132
James Sicily,132
Tom Papley,132
Tyson Stengle,130
Oscar McInerney,130
Jordan Clark,130
Nick Daicos,130
Timothy English,130
Tom Barrass,129
Charlie Curnow,128
Sam Walsh,126
Jack Viney,126
Darcy Cameron,126
James Aish,125
Adam Treloar,125
Karl Amon,125
Christian Petracca,125
Tom Powell,125
Ryan Burton,125
Matt Rowell,124
Tom Green,124
Thomas Liberatore,124
Marcus Windhager,124
Kade Chandler,124
Christian Salem,124
Mac Andrew,123
Sam Frost,123
Kyle Langford,122
Callan Ward,122
Eric Hipwood,120
Reilly O'Brien,120
Josh Worrell,119
James Borlase,119
Mark Keane,119
Jack Crisp,119
Joshua Kelly,118
Max Holmes,118
Luke Ryan,118
James Rowbottom,118
Harry McKay,118
Brodie Grundy,117
Darcy Byrne-Jones,117
Jarrod Berry,117
Taylor Adams,117
Toby Nankervis,116
Errol Gulden,116
Jack Ginnivan,116
Jordan De Goey,115
Josh Battle,115
Oliver Wines,115
Ryan Lester,115
Joel Freijah,115
Liam Duggan,115
Izak Rankine,115
Zachary Merrett,114
Alex Neal-Bullen,114
Mabior Chol,114
Kane Farrell,114
Elliot Yeo,113
Jase Burgoyne,113
Jordon Sweet,113
Jordan Dawson,113
Cameron Zurhaar,112
Tim Membrey,112
Will Day,111
Taylor Duryea,111
Nick Vlastuin,111
Wil Powell,111
Connor MacDonald,111
Harry Sheezel,111
Jye Caldwell,110
Lloyd Meek,110
Hayden Young,109
Clayton Oliver,109
Nic Newman,109
Darcy Wilmot,109
Tom Sparrow,109
Ben Keays,109
Tom Cole,109
Connor Budarick,108
Harris Andrews,108
Sam Docherty,108
Tom De Koning,108
Ben McKay,107
Caleb Serong,107
Conor McKenna,107
Brandon Walker,107
Lachie Whitfield,107
Jack Buckley,107
Liam Jones,107
Sean Darcy,106
Josh Daicos,106
Callum Wilkie,106
Jeremy Sharp,106
Touk Miller,105
Sam Draper,105
Trent Rivers,105
Travis Boak,105
Stephen Coniglio,104
Caleb Windsor,103
Mason Redman,103
Jarman Impey,103
Jack Sinclair,103
Mitch McGovern,102
Laitham Vandermeer,102
Conor Nash,102
Jake Stringer,101
Sam Durham,101
Justin McInerney,100
Jacob Weitering,99
Jy Simpkin,99
Jeremy Cameron,99
Sam Clohesy,99
Samuel Collins,99
Steven May,99
Lachlan Cowan,99
Oliver Florent,99
Brady Hough,98
Corey Wagner,98
Marc Pittonet,97
Charlie Comben,97
Patrick Lipinski,97
Colby McKercher,97
