playerId,name,seasonAvg,games,cba,ki,tog,ppm,season,kicks,handballs,marks,tackles,hitouts,freeFor,freeAgainst,goals,behinds,seasonHigh,seasonLow,firstHalf,secondHalf,lastFive,lastThree,stateAvg,priorSeason,priorSeasonGames,mmRank,dateOfBirth
1005258,Eloise Jones,36.7,3,0,0,78.7,0.582909783989835,2025,4.3,1.7,1,3.7,0,1,1,0.7,0.7,54,21,36.6666666666667,,36.6666666666667,36.6666666666667,,56.5,13,,1999-04-28
1005269,Anne Hatchard,95.4,14,62.5668449197861,0,92.7,1.28640776699029,2025,12,11.7,4.7,5.1,0.1,1,0.9,0.4,0.4,123,70,101,92.8333333333333,92,91,,105.5,12,,1998-03-07
1005279,Ebony Marinoff,143.1,14,79.144385026738,0,90.2,1.98309312638581,2025,22.9,7.6,3.6,12.2,0,1.9,1.5,0.3,0.3,191,107,143.2,146.5,129.6,136,,126.5,13,,1997-11-15
1005285,Sarah Allan,41.9,14,3.20855614973262,5.47945205479452,91.1,0.574917672886937,2025,4.1,4.5,1.8,3.8,1.1,0.6,0.5,0,0,59,16,42.2,39.1666666666667,43.6,47,,31,5,,1997-11-19
1005386,Stevie-Lee Thompson,57.5,14,4.81283422459893,0,70.2,1.0238603988604,2025,7.6,4.7,1.3,5.4,0,0.6,0.5,0.1,0.3,79,36,58.6,61.5,52,47.6666666666667,,51.6,10,,1992-03-23
1007313,Jess Allan,65.4,14,94.1176470588235,0,88.8,0.920608108108108,2025,3.4,6.1,1.4,1.1,33.9,1.6,0.9,0.1,0.1,93,33,62,73.5,58.4,54.6666666666667,,52.6,13,,1999-05-26
1009794,Danielle Ponter,51.7,14,74.8663101604278,0,81.6,0.791973039215686,2025,6.4,4.8,1.6,2.7,0,1.4,0.7,1.1,0.9,106,30,59.8,48,44.8,45.6666666666667,,66.5,13,,2000-01-08
1011057,Teah Charlton,41.3,11,0,0,69.1,0.747105643994211,2025,4,6.6,1.5,2.7,0,0.7,0.6,0.3,0.3,58,28,41,39.8,38.4,44,,70.3,13,,2002-04-25
1011069,Hannah Munyard,42.1,12,1.06951871657754,0,65.1,0.808371735791091,2025,6.8,2.3,1.3,3.7,0,0.6,1.3,0.3,0.4,73,16,29.25,49.2,42.6,47.3333333333333,,39,8,,2001-08-04
1011078,Abbie Ballard,31.5,4,0.53475935828877,0,50.1,0.785928143712575,2025,3.8,3.3,1.3,3,0,0,1.3,0.3,0.3,59,12,36,12,31.5,30,,49.4,7,,2002-04-16
1011080,Chelsea Biddell,53.7,14,0,80.8219178082192,95.8,0.700678496868476,2025,10.2,3.8,3.6,1.6,0,0.4,0.9,0.1,0.1,83,30,54.8,52.5,64.2,54.3333333333333,,55,13,,1998-07-15
1011091,Rachelle Martin,32.4,13,0,0,62.4,0.649038461538462,2025,2.2,4.7,1,3.5,0,0.8,0.9,0.2,0.2,61,-1,25.2,38.2,30.6,34.6666666666667,,45.7,13,,1999-02-16
