playerId,snapshot_season,snapshot_round,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,givenName,surname,age,heightCm,weightKg,jumperNumber,stateOfOrigin,debutYear,recruitedFrom,draftType,position,photoURL,dateOfBirth
CD_I1001681,2025,2,2,CD_T8788,RICH,Richmond,Richmond,Jodie,Hicks,28,160,0,6,ACT,2018,Hay (NSW)/Belconnen (AFL Canberra)/GWS Giants/Macquarie University (AFL Sydney)/GWS Giants,other,MEDIUM_DEFENDER,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1001681.png?im=Scale,width=0.6,height=0.6",19/01/1997
CD_I1001682,2025,2,2,CD_T7886,WAL,Walyalup,Dockers,Ebony,Antonio,33,173,0,12,WA,2017,Bullcreek Leeming (WA)/Swan Districts (WAFLW),other,MEDIUM_FORWARD,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1001682.png?im=Scale,width=0.6,height=0.6",18/12/1991
CD_I1001686,2025,2,2,CD_T8466,NMFC,Kangaroos,Kangaroos,Emma,King,31,184,0,60,WA,2017,Quinns District (WA)/Coastal Titans (WAFLW)/Collingwood,other,RUCK,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1001686.png?im=Scale,width=0.6,height=0.6",28/06/1994
CD_I1001688,2025,2,2,CD_T7889,GWS,GWS GIANTS,GIANTS,Pepa,Randall,29,174,0,0,VIC,2018,East Malvern (Vic)/Eastern Devils (VFLW)/St Kilda Sharks (VFLW)/Melbourne's List,other,KEY_DEFENDER,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1001688.png?im=Scale,width=0.6,height=0.6",01/04/1996
CD_I1003018,2025,2,2,CD_T8466,NMFC,Kangaroos,Kangaroos,Jenna,Bruton,29,158,0,35,VIC,2018,Trentham (Vic)/Golden Point (Vic)/St Kilda Sharks (VFLW)/Western Bulldogs,other,MIDFIELDER_FORWARD,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003018.png?im=Scale,width=0.6,height=0.6",08/11/1995
CD_I1003019,2025,2,2,CD_T8097,COLL,Collingwood,Magpies,Sabrina,Frederick,28,182,0,1,WA,2017,Pinjarra (WA)/Peel Thunder (WAFLW)/South Fremantle (WAFLW)/Brisbane Lions/Richmond,other,RUCK,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003019.png?im=Scale,width=0.6,height=0.6",14/11/1996
CD_I1003020,2025,2,2,CD_T8097,COLL,Collingwood,Magpies,Brianna,Davey,30,175,0,3,VIC,2017,Port Melbourne Colts (Vic)/St Kilda Sharks (VFLW)/Carlton,other,MIDFIELDER,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003020.png?im=Scale,width=0.6,height=0.6",13/01/1995
CD_I1003022,2025,2,2,CD_T9408,SYD,Sydney Swans,Swans,Maddy,Collier,29,165,0,14,NSW,2017,UNSW-ES Stingrays (AFL Sydney)/GWS Giants/West Coast,other,MEDIUM_DEFENDER,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003022.png?im=Scale,width=0.6,height=0.6",14/09/1995
CD_I1003023,2025,2,2,CD_T8466,NMFC,Kangaroos,Kangaroos,Tahlia,Randall,27,173,0,16,QLD,2017,Kawana Park (Qld)/Maroochydore (Qld)/Mountain Creek (Qld)/Wilston Grange (QAFLW)/Brisbane Lions,other,MEDIUM_FORWARD,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1003023.png?im=Scale,width=0.6,height=0.6",29/05/1998
CD_I1004415,2025,2,2,CD_T8796,EUR,Euro-Yroke,St Kilda,Jaimee,Lambert,32,160,0,9,VIC,2017,Keysborough (Vic)/Eastern Devils (VFLW)/Western Bulldogs/Collingwood,other,MIDFIELDER,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1004415.png?im=Scale,width=0.6,height=0.6",06/11/1992
