playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1001681,2025,2,Jodie,Hicks,2,CD_T8788,RICH,Richmond,Richmond,2,66.7,0.5,0,0,0,1.5,0.5,50,1,0,43.8,3.5,0,0,0,9,67.9,14,55,9.5,6,0.5,0.5,0,0,0,0,3.5,5,0,0,0,0,0.5,1,4.5,66.7,10,10,9,1.8,1,0,0,192.5,1,11.5,0,3,0,1,0.5,0.5,1,0.5,4,0.5,0.5,8,2.5,4.5
CD_I1001682,2025,2,Ebony,Antonio,2,CD_T7886,WAL,Walyalup,Dockers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1001686,2025,2,Emma,King,2,CD_T8466,NMFC,Kangaroos,Kangaroos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1001688,2025,2,Pepa,Randall,2,CD_T7889,GWS,GWS GIANTS,GIANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003018,2025,2,Jenna,Bruton,2,CD_T8466,NMFC,Kangaroos,Kangaroos,1,78.3,0,0,0,0,2,0,0,0,1,40,6,2,1,50,8,60,15,45,9,5,2,1,0,0,0,0,5,7,0,0,0,0,3,0,2,62.5,0,0,8,1.1,2,0,0,159.9,2,19,0,0,0,1,0,0,0,0,1,1,0,15,4,9
CD_I1003019,2025,2,Sabrina,Frederick,2,CD_T8097,COLL,Collingwood,Magpies,2,100,0,0,1,0,3.5,0,0,0.5,2.5,61.1,5.5,4.5,2,44.4,4,50,9,64,4.5,3,0.5,1,0.5,66.7,0,1,1,2.5,12.5,3.5,28,45.5,1,2,2.5,46.2,0,0,6.5,2.6,4.5,1.5,0.5,103.5,2,10,0,0.5,27.5,2,1,1.5,1.5,0,2.5,1.5,0,9,3.5,3.5
CD_I1003020,2025,2,Brianna,Davey,2,CD_T8097,COLL,Collingwood,Magpies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003022,2025,2,Maddy,Collier,2,CD_T9408,SYD,Sydney Swans,Swans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003023,2025,2,Tahlia,Randall,2,CD_T8466,NMFC,Kangaroos,Kangaroos,2,73.7,1,0,0,0,3,0,0,0,2,61.9,6.5,2.5,1,40,1,50,10,49.5,5,2,0.5,0.5,0.5,16.7,1,0.5,3,4,3,0.5,16.7,85.7,0,0,2,33.3,0,0,6,1.5,4.5,3.5,1,178.3,1.5,5.5,0,0,3.5,6,0.5,3,0,0,1,0.5,0,10.5,2.5,4
CD_I1004415,2025,2,Jaimee,Lambert,2,CD_T8796,EUR,Euro-Yroke,St Kilda,2,76.2,0,0,23,0,2,0,0,0,0,55.9,9.5,0,0,0,9,60.6,16.5,61,10,5.5,1,0,1.5,0,0,0,7.5,6,0,0,0,0,2,0,2.5,52.4,0,0,10.5,1.8,2,0.5,0,142.3,1,14.5,0,1,0,2.5,1,0.5,0,1.5,2.5,0,1.5,17,3,7.5
