playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1001681,2025,1,Jodie,Hicks,1,CD_T8788,RICH,Richmond,Richmond,1,69.1,1,0,0,0,3,1,50,2,0,55.6,5,0,0,0,5,64.7,17,59,11,6,1,1,0,0,0,0,5,5,0,0,0,0,1,1,7,50,7,7,12,2.4,1,0,0,243.8,2,6,0,4,0,2,1,1,2,0,3,1,0,9,3,4
CD_I1001682,2025,1,Ebony,Antonio,1,CD_T7886,FRE,Fremantle,Freo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1001686,2025,1,Emma,King,1,CD_T8466,NMFC,Kangaroos,Kangaroos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1001688,2025,1,Pepa,Randall,1,CD_T7889,GWS,GWS GIANTS,GIANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003018,2025,1,Jenna,Bruton,1,CD_T8466,NMFC,Kangaroos,Kangaroos,1,78.3,0,0,0,0,2,0,0,0,1,40,6,2,1,50,8,60,15,45,9,5,2,1,0,0,0,0,5,7,0,0,0,0,3,0,2,62.5,0,0,8,1.1,2,0,0,159.9,2,19,0,0,0,1,0,0,0,0,1,1,0,15,4,9
CD_I1003019,2025,1,Sabrina,Frederick,1,CD_T8097,COLL,Collingwood,Magpies,1,100,0,0,0,0,5,0,0,0,2,66.7,6,6,3,50,4,22.2,9,65,2,1,1,1,0,50,0,1,2,3,10,2,20,32.3,1,0,0,16.7,0,0,6,2,4,2,1,87.1,3,14,0,0,31,3,0,2,2,0,4,2,0,9,4,3
CD_I1003020,2025,1,Brianna,Davey,1,CD_T8097,COLL,Collingwood,Magpies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003022,2025,1,Maddy,Collier,1,CD_T9408,SYD,Sydney Swans,Swans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003023,2025,1,Tahlia,Randall,1,CD_T8466,NMFC,Kangaroos,Kangaroos,1,76.1,1,0,0,0,2,0,0,0,1,70,7,3,0,0,1,75,8,29,6,1,1,1,1,0,0,0,4,5,1,0,0,100,0,0,3,33.3,0,0,3,0.6,2,0,0,88.3,1,4,0,0,1,4,0,1,0,0,1,0,0,10,1,3
CD_I1004415,2025,1,Jaimee,Lambert,1,CD_T8796,STK,St Kilda,St Kilda,1,80.8,0,0,9,0,3,0,0,0,0,61.9,13,0,0,0,6,60,20,64,12,6,2,0,1,0,0,0,11,8,0,0,0,0,4,0,3,50,0,0,12,1.5,1,0,0,206.9,2,12,0,1,0,4,2,1,0,1,2,0,1,21,4,8
CD_I1005258,2025,1,Eloise,Jones,1,CD_T8098,ADEL,Adelaide Crows,Crows,1,71.7,2,0,0,0,1,0,0,0,1,25,2,2,1,50,2,11.1,9,54,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,12.5,0,0,8,8,6,2,1,202,1,9,0,0,0,5,1,2,1,0,2,1,0,8,1,6
CD_I1005264,2025,1,Ashleigh,Woodland,1,CD_T9409,PORT,Port Adelaide,Power,1,90.1,1,0,5,0,0,0,0,0,1,37.5,6,2,0,0,7,35.3,17,83,6,5,1,0,0,0,1,0,4,5,0,0,0,0,1,1,2,41.7,0,0,12,2.4,4,1,0,278.9,1,21,0,2,0,3,0,1,0,0,6,2,0,16,2,10
CD_I1005269,2025,1,Anne,Hatchard,1,CD_T8098,ADEL,Adelaide Crows,Crows,1,88.8,1,0,8,0,1,0,0,0,0,31.3,5,1,0,0,6,69.2,13,61,9,2,0,1,2,0,1,0,1,8,2,0,0,33.3,2,0,0,40,0,0,5,0.6,4,0,0,126.1,2,17,0,0,6,4,1,1,0,1,4,2,1,16,0,11
