playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ranking,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1001681,2025,2,Jodie,Hicks,2,CD_T8788,RICH,Richmond,Richmond,2,66.7,1,0,0,0,3,1,50,2,0,43.8,7,0,0,0,18,67.9,28,110,19,12,1,1,0,0,0,0,7,10,0,0,0,0,1,0,9,66.7,10,10,18,1.8,2,0,0,384,2,23,0,0,6,0,2,0,1,2,1,8,1,1,16,5,9
CD_I1001682,2025,2,Ebony,Antonio,2,CD_T7886,WAL,Walyalup,Dockers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1001686,2025,2,Emma,King,2,CD_T8466,NMFC,Kangaroos,Kangaroos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1001688,2025,2,Pepa,Randall,2,CD_T7889,GWS,GWS GIANTS,GIANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003018,2025,2,Jenna,Bruton,2,CD_T8466,NMFC,Kangaroos,Kangaroos,1,78.3,0,0,0,0,2,0,0,0,1,40,6,2,1,50,8,60,15,45,9,5,2,1,0,0,0,0,5,7,0,0,0,0,3,0,2,62.5,0,0,8,1.1,2,0,0,159,2,19,0,0,0,0,1,0,0,0,0,1,1,0,15,4,9
CD_I1003019,2025,2,Sabrina,Frederick,2,CD_T8097,COLL,Collingwood,Magpies,2,100,0,0,1,0,7,0,0,1,5,61.1,11,9,4,44.4,8,50,18,128,9,6,1,2,1,66.7,0,2,2,5,25,7,28,45.5,2,0,5,46.2,0,0,13,2.6,9,3,1,206,4,20,0,0,1,55,4,0,3,3,0,5,3,0,18,7,7
CD_I1003020,2025,2,Brianna,Davey,2,CD_T8097,COLL,Collingwood,Magpies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003022,2025,2,Maddy,Collier,2,CD_T9408,SYD,Sydney Swans,Swans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1003023,2025,2,Tahlia,Randall,2,CD_T8466,NMFC,Kangaroos,Kangaroos,2,73.7,2,0,0,0,6,0,0,0,4,61.9,13,5,2,40,2,50,20,99,10,4,1,1,1,16.7,2,1,6,8,6,1,16.7,85.7,0,0,4,33.3,0,0,12,1.5,9,7,2,356,3,11,0,0,0,7,12,0,6,0,0,2,1,0,21,5,8
CD_I1004415,2025,2,Jaimee,Lambert,2,CD_T8796,EUR,Euro-Yroke,St Kilda,2,76.2,0,0,23,0,4,0,0,0,0,55.9,19,0,0,0,18,60.6,33,122,20,11,2,0,3,0,0,0,15,12,0,0,0,0,4,0,5,52.4,0,0,21,1.8,4,1,0,284,2,29,0,0,2,0,5,0,1,0,3,5,0,3,34,6,15
