playerId,teamId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1001681,CD_T8788,2025,2,Jodie Hicks,DEF,Richmond,0,0,12,10,5,4,10,100,200,0,66,0
CD_I1001682,CD_T7886,2025,2,Ebony Antonio,FWD,Dockers,0,0,25,0,3,2,0,,0,0,62,0
CD_I1001686,CD_T8466,2025,2,Emma King,RUC,Kangaroos,0,0,18,0,3,2,0,,0,0,47,0
CD_I1001688,CD_T7889,2025,2,Pepa Randall,DEF,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1003018,CD_T8466,2025,2,Jenna Bruton,MID,Kangaroos,0,0,18,0,3,2,0,,0,0,47,0
CD_I1003019,CD_T8097,2025,2,Sabrina Frederick,RUC,Magpies,1,8.33333333333333,12,0,1,0,0,,0,55,63,87.3015873015873
CD_I1003020,CD_T8097,2025,2,Brianna Davey,MID,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1003022,CD_T9408,2025,2,Maddy Collier,DEF,Swans,0,0,22,0,3,3,0,,0,0,56,0
CD_I1003023,CD_T8466,2025,2,Tahlia Randall,FWD,Kangaroos,0,0,18,0,3,2,0,,0,7,47,14.8936170212766
CD_I1004415,CD_T8796,2025,2,Jaimee Lambert,MID,St Kilda,23,121.052631578947,19,0,11,9,0,,0,0,64,0
CD_I1005258,CD_T8098,2025,2,Eloise Jones,FWD,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1005264,CD_T9409,2025,2,Ashleigh Woodland,FWD,Power,21,116.666666666667,18,0,9,5,0,,0,0,47,0
CD_I1005269,CD_T8098,2025,2,Anne Hatchard,MID,Crows,21,131.25,16,0,9,9,0,,0,13,67,19.4029850746269
CD_I1005279,CD_T8098,2025,2,Ebony Marinoff,MID,Crows,25,156.25,16,0,9,9,0,,0,1,67,1.49253731343284
CD_I1005285,CD_T8098,2025,2,Sarah Allan,DEF,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1005361,CD_T9406,2025,2,Daria Bannister,FWD,Bombers,0,0,12,0,1,1,0,,0,0,61,0
CD_I1005374,CD_T9406,2025,2,Ellyse Gamble,FWD,Bombers,0,0,12,0,1,1,0,,0,0,61,0
CD_I1005386,CD_T8098,2025,2,Stevie-Lee Thompson,MID,Crows,0,0,16,0,9,9,0,,0,0,67,0
CD_I1005437,CD_T7886,2025,2,Laura Pugh,DEF,Dockers,0,0,25,7,3,2,6,116.666666666667,233.333333333333,0,62,0
CD_I1005452,CD_T8796,2025,2,Nicola Barr,MID,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1005453,CD_T7889,2025,2,Rebecca Beeson,MID,GIANTS,28,233.333333333333,12,0,9,8,0,,0,0,63,0
CD_I1005630,CD_T7887,2025,2,Alexandra Anderson,MID,Lions,29,116,25,0,5,2,0,,0,0,62,0
CD_I1005659,CD_T8796,2025,2,Arianna Clarke,FWD,St Kilda,7,36.8421052631579,19,0,11,9,0,,0,1,64,1.5625
CD_I1005661,CD_T7887,2025,2,Breanna Koenen,DEF,Lions,16,64,25,0,5,2,0,,0,0,62,0
CD_I1005663,CD_T8467,2025,2,Erica Fowler,RUC,Cats,2,12.5,16,0,5,3,0,,0,16,67,23.8805970149254
CD_I1005863,CD_T7386,2025,2,Lauren Pearce,RUC,Demons,21,110.526315789474,19,0,3,2,0,,0,63,64,98.4375
CD_I1005865,CD_T8787,2025,2,Jessica Hosking,FWD,Eagles,0,0,12,0,7,6,0,,0,0,62,0
CD_I1005866,CD_T9407,2025,2,Ainslie Kemp,DEF,Hawks,0,0,9,6,10,10,5,120,60,0,59,0
CD_I1005955,CD_T9409,2025,2,Justine Mules-Robinson,FWD,Power,0,0,18,0,9,5,0,,0,0,47,0
CD_I1006666,CD_T8788,2025,2,Sarah Hosking,FWD,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1006996,CD_T8788,2025,2,Lauren Brazzale,MID,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1006997,CD_T9406,2025,2,Stephanie Cain,MID,Bombers,12,100,12,0,1,1,0,,0,0,61,0
CD_I1007001,CD_T8467,2025,2,Kate Darby,RUC,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1007006,CD_T9408,2025,2,Jas Grierson,DEF,Swans,0,0,22,2,3,3,2,100,66.6666666666667,0,56,0
CD_I1007011,CD_T7386,2025,2,Sarah Lampard,MID,Demons,0,0,19,5,3,2,5,100,166.666666666667,0,64,0
CD_I1007017,CD_T9407,2025,2,Tilly Lucas-Rodd,DEF,Hawks,0,0,9,10,10,10,9,111.111111111111,100,0,59,0
CD_I1007023,CD_T8096,2025,2,Breann Harrington,RUC,Blues,7,77.7777777777778,9,0,12,7,0,,0,57,59,96.6101694915254
CD_I1007025,CD_T8796,2025,2,Natalie Plane,DEF,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1007026,CD_T8096,2025,2,Gabriella Pound,DEF,Blues,0,0,9,0,12,7,0,,0,0,59,0
CD_I1007027,CD_T8097,2025,2,Ruby Schleicher,MID,Magpies,20,166.666666666667,12,0,1,0,0,,0,0,63,0
CD_I1007028,CD_T8467,2025,2,Shelley Scott,FWD,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1007029,CD_T8787,2025,2,Belinda Smith,DEF,Eagles,0,0,12,0,7,6,0,,0,0,62,0
CD_I1007030,CD_T8786,2025,2,Jamie Stanton,FWD,SUNS,0,0,22,0,13,9,0,,0,0,56,0
CD_I1007130,CD_T7887,2025,2,Shannon Campbell,DEF,Lions,0,0,25,9,5,2,3,300,180,0,62,0
CD_I1007138,CD_T8466,2025,2,Kate Shierlaw,FWD,Kangaroos,0,0,18,0,3,2,0,,0,5,47,10.6382978723404
CD_I1007141,CD_T9409,2025,2,Gemma Houghton,FWD,Power,0,0,18,0,9,5,0,,0,2,47,4.25531914893617
CD_I1007144,CD_T7886,2025,2,Gabby O'Sullivan,FWD,Dockers,0,0,25,1,3,2,1,100,33.3333333333333,0,62,0
CD_I1007151,CD_T7889,2025,2,Aliesha Newman,MID,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1007152,CD_T8096,2025,2,Harriet Cordner,DEF,Blues,0,0,9,0,12,7,0,,0,0,59,0
CD_I1007155,CD_T8467,2025,2,Meghan McDonald,DEF,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1007157,CD_T8466,2025,2,Libby Birch,DEF,Kangaroos,0,0,18,2,3,2,2,100,66.6666666666667,0,47,0
CD_I1007313,CD_T8098,2025,2,Jess Allan,RUC,Crows,25,156.25,16,0,9,9,0,,0,87,67,129.850746268657
CD_I1007327,CD_T8788,2025,2,Montana McKinnon,RUC,Richmond,0,0,12,0,5,4,0,,0,0,66,0
CD_I1007342,CD_T8467,2025,2,Chloe Scheer,FWD,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1007360,CD_T9409,2025,2,Ebony O'Dea,DEF,Power,0,0,18,0,9,5,0,,0,0,47,0
CD_I1009764,CD_T7386,2025,2,Eden Zanker,FWD,Demons,5,26.3157894736842,19,0,3,2,0,,0,10,64,15.625
CD_I1009765,CD_T9406,2025,2,Sophie Van De Heuvel,DEF,Bombers,0,0,12,4,1,1,4,100,400,0,61,0
CD_I1009770,CD_T8786,2025,2,Elise Barwick,MID,SUNS,0,0,22,0,13,9,0,,0,0,56,0
CD_I1009772,CD_T8466,2025,2,Mia King,MID,Kangaroos,27,150,18,0,3,2,0,,0,0,47,0
CD_I1009794,CD_T8098,2025,2,Danielle Ponter,FWD,Crows,16,100,16,0,9,9,0,,0,0,67,0
CD_I1009798,CD_T8097,2025,2,Mattea Breed,MID,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1009799,CD_T7889,2025,2,Alyce Parker,MID,GIANTS,8,66.6666666666667,12,0,9,8,0,,0,0,63,0
CD_I1009801,CD_T7889,2025,2,Haneen Zreika,FWD,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1009803,CD_T9408,2025,2,Alexia Hamilton,RUC,Swans,0,0,22,0,3,3,0,,0,0,56,0
CD_I1009805,CD_T7387,2025,2,Maggie Gorham,DEF,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1009813,CD_T9408,2025,2,Brenna Tarrant,DEF,Swans,0,0,22,0,3,3,0,,0,0,56,0
CD_I1009822,CD_T7889,2025,2,Georgia Garnett,FWD,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1009824,CD_T7887,2025,2,Lily Postlethwaite,DEF,Lions,0,0,25,0,5,2,0,,0,0,62,0
CD_I1009827,CD_T7887,2025,2,Dion Heslop,DEF,Lions,0,0,25,0,5,2,0,,0,0,62,0
CD_I1009828,CD_T7887,2025,2,Jade Ellenger,DEF,Lions,0,0,25,0,5,2,0,,0,0,62,0
CD_I1009829,CD_T7387,2025,2,Zimmorlei Farquharson,FWD,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1009831,CD_T8097,2025,2,Tarni White,MID,Magpies,0,0,12,1,1,0,1,100,100,0,63,0
CD_I1009833,CD_T7887,2025,2,Isabel Dawes,MID,Lions,30,120,25,0,5,2,0,,0,0,62,0
CD_I1009836,CD_T7887,2025,2,Natalie Grider,DEF,Lions,0,0,25,1,5,2,0,,20,0,62,0
CD_I1009838,CD_T8796,2025,2,Jesse Wardlaw,FWD,St Kilda,5,26.3157894736842,19,0,11,9,0,,0,35,64,54.6875
CD_I1009843,CD_T7887,2025,2,Ellie Hampson,FWD,Lions,9,36,25,0,5,2,0,,0,0,62,0
CD_I1009844,CD_T7887,2025,2,Tahlia Hickie,RUC,Lions,23,92,25,0,5,2,0,,0,67,62,108.064516129032
CD_I1009845,CD_T8097,2025,2,Kalinda Howarth,FWD,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1009847,CD_T7887,2025,2,Sophie Conway,MID,Lions,3,12,25,0,5,2,0,,0,0,62,0
CD_I1009853,CD_T7386,2025,2,Tyla Hanks,MID,Demons,27,142.105263157895,19,0,3,2,0,,0,0,64,0
CD_I1009854,CD_T7386,2025,2,Denby Taylor,DEF,Demons,0,0,19,0,3,2,0,,0,0,64,0
CD_I1009855,CD_T8796,2025,2,Darcy Guttridge,FWD,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1009856,CD_T8788,2025,2,Grace Egan,MID,Richmond,12,100,12,0,5,4,0,,0,0,66,0
CD_I1009857,CD_T9406,2025,2,Georgia Clarke,DEF,Bombers,0,0,12,7,1,1,7,100,700,0,61,0
CD_I1009860,CD_T8467,2025,2,Rebecca Webster,MID,Cats,0,0,16,1,5,3,1,100,20,0,67,0
CD_I1009861,CD_T7386,2025,2,Olivia Purcell,MID,Demons,19,100,19,0,3,2,0,,0,0,64,0
CD_I1009863,CD_T8467,2025,2,Nina Morrison,MID,Cats,28,175,16,0,5,3,0,,0,0,67,0
CD_I1009865,CD_T9408,2025,2,Lucy McEvoy,DEF,Swans,0,0,22,0,3,3,0,,0,0,56,0
CD_I1009866,CD_T8796,2025,2,Rene Caris,RUC,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1009867,CD_T8796,2025,2,Georgia Patrikios,MID,St Kilda,22,115.789473684211,19,0,11,9,0,,0,0,64,0
CD_I1009868,CD_T8786,2025,2,Maddy Brancatisano,MID,SUNS,22,100,22,0,13,9,0,,0,0,56,0
CD_I1009873,CD_T8796,2025,2,Olivia Vesely,MID,St Kilda,0,0,19,0,11,9,0,,0,0,64,0
CD_I1009875,CD_T7889,2025,2,Eleanor Brown,DEF,GIANTS,0,0,12,0,9,8,0,,0,0,63,0
CD_I1009880,CD_T8786,2025,2,Charlotte Wilson,DEF,SUNS,0,0,22,0,13,9,0,,0,0,56,0
CD_I1009882,CD_T7886,2025,2,Gabrielle Newton,MID,Dockers,36,144,25,0,3,2,0,,0,0,62,0
CD_I1009885,CD_T9406,2025,2,Madison Prespakis,MID,Bombers,26,216.666666666667,12,0,1,1,0,,0,0,61,0
CD_I1009888,CD_T8096,2025,2,Madeleine Guerin,MID,Blues,2,22.2222222222222,9,0,12,7,0,,0,0,59,0
CD_I1009906,CD_T8467,2025,2,Mikayla Bowen,MID,Cats,0,0,16,0,5,3,0,,0,0,67,0
CD_I1009907,CD_T8787,2025,2,Roxanne Roux,FWD,Eagles,0,0,12,0,7,6,0,,0,0,62,0
CD_I1009910,CD_T7887,2025,2,Courtney Hodder,FWD,Lions,2,8,25,0,5,2,0,,0,0,62,0
CD_I1009962,CD_T7887,2025,2,Poppy Boltz,DEF,Lions,0,0,25,0,5,2,0,,0,0,62,0
CD_I1009963,CD_T8786,2025,2,Lauren Bella,RUC,SUNS,15,68.1818181818182,22,0,13,9,0,,0,37,56,66.0714285714286
CD_I1009976,CD_T9406,2025,2,Maddison Gay,DEF,Bombers,0,0,12,0,1,1,0,,0,0,61,0
CD_I1009977,CD_T8096,2025,2,Kerryn Peterson,DEF,Blues,0,0,9,0,12,7,0,,0,0,59,0
CD_I1009980,CD_T7386,2025,2,Kate Hore,MID,Demons,18,94.7368421052632,19,0,3,2,0,,0,0,64,0
CD_I1010096,CD_T8097,2025,2,Lauren Butler,FWD,Magpies,0,0,12,7,1,0,7,100,700,0,63,0
CD_I1010102,CD_T8097,2025,2,Nell Morris-Dalton,FWD,Magpies,0,0,12,0,1,0,0,,0,0,63,0
CD_I1010103,CD_T7387,2025,2,Isabella Grant,DEF,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1010104,CD_T8788,2025,2,Monique Conti,MID,Richmond,22,183.333333333333,12,0,5,4,0,,0,0,66,0
CD_I1010236,CD_T7386,2025,2,Gabrielle Colvin,DEF,Demons,0,0,19,0,3,2,0,,0,0,64,0
CD_I1010257,CD_T8786,2025,2,Clara Fitzpatrick,DEF,SUNS,0,0,22,0,13,9,0,,0,0,56,0
CD_I1010263,CD_T9408,2025,2,Chloe Molloy,FWD,Swans,10,45.4545454545455,22,0,3,3,0,,0,2,56,3.57142857142857
CD_I1010264,CD_T9406,2025,2,Alexandra Morcom,DEF,Bombers,1,8.33333333333333,12,0,1,1,0,,0,0,61,0
CD_I1010265,CD_T8466,2025,2,Ash Riddell,MID,Kangaroos,27,150,18,0,3,2,0,,0,0,47,0
CD_I1010279,CD_T9406,2025,2,Bess Keaney,MID,Bombers,0,0,12,0,1,1,0,,0,0,61,0
CD_I1010658,CD_T9407,2025,2,Kristy Stratton,FWD,Hawks,0,0,9,0,10,10,0,,0,0,59,0
CD_I1010662,CD_T8786,2025,2,Claudia Whitfort,MID,SUNS,9,40.9090909090909,22,0,13,9,0,,0,0,56,0
CD_I1010663,CD_T7886,2025,2,Ashleigh Brazill,DEF,Dockers,0,0,25,0,3,2,0,,0,0,62,0
CD_I1010677,CD_T8466,2025,2,Kim Rennie,RUC,Kangaroos,24,133.333333333333,18,0,3,2,0,,0,62,47,131.914893617021
CD_I1010686,CD_T7387,2025,2,Elle Bennetts,DEF,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1010688,CD_T8788,2025,2,Maddie Shevlin,MID,Richmond,0,0,12,1,5,4,0,,20,0,66,0
CD_I1010689,CD_T7387,2025,2,Naomi Ferres,FWD,Bulldogs,0,0,12,0,3,2,0,,0,0,67,0
CD_I1010690,CD_T9406,2025,2,Bonnie Toogood,FWD,Bombers,0,0,12,0,1,1,0,,0,7,61,11.4754098360656
CD_I1011057,CD_T8098,2025,2,Teah Charlton,MID,Crows,3,18.75,16,0,9,9,0,,0,0,67,0
