snapshot_round,teamId,teamNickname,cba_team,ki_team,ki_po_team,rc_team
2,CD_T8788,Richmond,12,5,4,66
2,CD_T7886,Dockers,25,3,2,62
2,CD_T8466,Kangaroos,18,3,2,47
2,CD_T7889,GIANTS,12,9,8,63
2,CD_T8097,Magpies,12,1,0,63
2,CD_T9408,Swans,22,3,3,56
2,CD_T8796,St Kilda,19,11,9,64
2,CD_T8098,Crows,16,9,9,67
2,CD_T9409,Power,18,9,5,47
2,CD_T9406,Bombers,12,1,1,61
2,CD_T7887,Lions,25,5,2,62
2,CD_T8467,Cats,16,5,3,67
2,CD_T7386,Demons,19,3,2,64
2,CD_T8787,Eagles,12,7,6,62
2,CD_T9407,Hawks,9,10,10,59
2,CD_T8096,Blues,9,12,7,59
2,CD_T8786,SUNS,22,13,9,56
2,CD_T7387,Bulldogs,12,3,2,67
