"PlayerID","BackgroundName","ProjectionMiddle","Keeper","PricePrice","PricePricedat","PriceMMrating","DraftRank","KeeperRank","BackgroundIcon1","BackgroundIcon2","BackgroundIcon3","Comment","Short","PreseasonGame1","PreseasonGame2","PreseasonGT","PositionRankonprice","PositionRankon2022average","PositionRankonPPM","PositionRankonlast5","PositionRankoncareerhigh","Price150k","Price85","Pricecareerhigh","ConsistencyHigh","ConsistencyLow","Consistency120","Consistency100","Consistency90","Consistency70","Consistency50tog","ConsistencyCBAHigh","ConsistencyCBALow","ConsistencyCBA120","ConsistencyCBA100","ConsistencyCBA90","ConsistencyCBA70","ConsistencyCBA50tog","ConsistencyKIHigh","ConsistencyKILow","ConsistencyKI120","ConsistencyKI100","ConsistencyKI90","ConsistencyKI70","ConsistencyKI50tog","SplitsRegular","SplitsVregular","SplitsH1","SplitsVH1","SplitsH2","SplitsVH2","SplitsLast5","SplitsVLast5","SplitsFinals","SplitsVfinals","SplitsExlowest","SplitsVexlowest","BestAverage","2022Average","2021Average","2020Average","2019Average","2018Average","2017Average","BestRank","2022Rank","2021Rank","2020Rank","2019Rank","2018Rank","2017Rank","Best100GT","2022100GT","2021100GT","2020100GT","2019100GT","2018100GT","2017100GT","BestTrend","2022Trend","2021Trend","2020Trend","2019Trend","2018Trend","2017Trend","StatDisposals","StatEfficiency","StatContested","StatClangers","StatTackles","StatValue","Stat22Disposals","Stat22Efficiency","Stat22Contested","Stat22Clangers","Stat22Tackles","Stat22Value","StatLabel","KeeperOrder","PositionRankon2023average","SplitsEx50TOG","2023Average","2024Rank","2023Rank","2024100GT","2023100GT","2024Trend","2023Trend","2024Average","PositionRankon2024average","StatClearances","StatIntercepts","StatHta","StatGoals","Stat22Clearances","Stat22Intercepts","Stat22Hta","Stat22Goals"
"CD_I992468","Rowan Marshall",110,110,603500,112,"Full","R5","R5",2,6,0,"Marshall has taken the reigns as solo ruck for two seasons and in that time has been one of the premier ruckmen in SuperCoach, with the most SuperCoach points of any ruck in that time. He does in in an unconventional way, he kicks the ball more than the average ruck, which sees him have higher clangers and lower disposal efficiency. However, he makes up for these with his ability to fill all stat categories and generates scores through transition movement as much as stoppages. His season included a 51 when he battled with a knee complaint in Round 6 which he backed up with a 63, so that 112 could have been higher. The threat of the Saints playing a second ruck has always been there given he shoulders so much of the load. The good news is the two candidates - Tom Campbell and Jack Hayes - have both been delisted. Saints drafted the number one ruck prospect in the draft, but he'll need time. However, the SSP signing of 26-year-old ruck Harry Boyd is certainly cause for concern. To make matters worse, Marshall is touch and go for Round 1 following a stress fracture in his pelvis. I'm not as concerned with him losing this training block as I am the Saints protecting him during the season. I can't see him rucking 85% as he's done the last two years which means a regression is certainly on the cards. I wouldn't start with him in SuperCoach.","Been a dominant SC ruck since going solo in 2023, averaging 114 in that time, however pre-season stress fracture in pelvis and recruitment of Boyd is enough to scare me off",NULL,0,0,3,NULL,10,2,3,140,-5,-4,169,51," 9 / 23"," 16 / 23"," 6 / 23"," 2 / 23"," 0 / 23",90,76,90,85,86,82,NULL,0,0,0,0,0,0,NULL,112,0,107,5,119,-7,131,-19,NULL,NULL,NULL,0,116,92,103,103,110,63,57,31,72,27,36,13,165,161,140,111,140,121,128,77,69,-4,-11,0,-7,47,6,NULL,20.7,62.4,50.2,4.9,4.3,6.7,18.5,63.3,67.2,4.3,5.0,8.9,"HO to Adv",4,3,112,116,14,8,128,138,-4,24,112,NULL,5.7,3.3,6.7,0.7,5.8,3.3,8.9,0.4
"CD_I1004965","Tristan Xerri",122,122,645900,120,"Fair","R1","R1",1,0,0,"124 156 150 168 122 and 109. These were the last six scores of Tristan Xerri in his first season as solo ruck. While no one could have seen this level of scoring coming, the writing was on the wall. In 2022 he averaged 105 in the VFL (including a game with 36 disposals and 27 hit-outs) and finished 2nd in the BnF, despite playing just half the games. 2023 he got his chance but was injured in the first quarter of Round 1, but led the league for points per minute after his two games as solo ruck before Goldy returned to the team. With Goldy gone in 2024, Xerri finally arrived. He ranked 3rd for tackles in the comp (only ruck in the top 24) and 8th in clearances (number one ruck). Of the top five tackling ruckmen at stoppages, he was 50 clear of the next best - that's over two a game. Outliers of this extreme could lead to a regression and a better performing Roos team shouldn't be as reliant on their big man shouldering all the load. But tackling and following up is in his nature. He's always done it and it's not going to go away. We could see a period where Xerri is the top scoring player for multiple seasons. Priced at 120 and with some cheaper options presenting in the ruck such as TDK and Flynn, you can take him on. But if you want someone priced as a captain option, he'd be the one I'd take. ","First season as solo ruck and didn't he deliver - 131 post bye and 149 L5 to be the number one guy, once rucks get to that level they usually sustain it for a while",NULL,141,182,2,NULL,2,1,2,148,43,0,185,82," 9 / 23"," 19 / 23"," 1 / 23"," 0 / 23"," 0 / 23",88,89,85,84,89,NULL,NULL,0,0,0,0,0,NULL,NULL,120,0,108,12,131,-11,149,-29,NULL,NULL,NULL,0,120,71,38,50,0,0,NULL,18,194,388,303,NULL,NULL,NULL,143,95,51,58,0,0,NULL,0,33,-11,NULL,NULL,NULL,NULL,17.9,66.6,71.1,4.9,7.5,8.7,18.5,63.3,67.2,4.3,5.0,8.9,"HO to Adv",1,2,120,73,3,203,143,104,47,1,120,NULL,6.6,2.7,8.7,0.3,5.8,3.3,8.9,0.4
"CD_I1023518","Harry Sheezel",118,125,635600,118,"Full","D1","D1",1,5,12,"Sheezel backed up his Rising Star debut season with a breakout 2024 where he dropped the Rising part. And he did so in multiple roles. He began the season as the distributor off half back as he did in 2023 and after seven weeks was one of the top player in SuperCoach, averaging 127 per game. Roos were 0-6 and decided to move him into the midfield to play a higher impact MID/FWD role, the role he played as a junior. He went from 2% CBAs across the first seven weeks to 47% for the rest of the year. In doing so, his average dropped to 114 in that time. But considering it was a new role with less easy ball, and that a lot of that time was spend forward, a 114 average was amazing. In the back end of the season he was more mid than forward, and the games he attended 48%+ (which he did in five of the last six weeks), he averaged 128. So he's not as fully priced as his post-bye average suggests and is my clear D1 for the season.","Averaged 127 in first six rounds playing in defence, then moved to a MID/FWD role which reduced his output slightly but 121 post bye in that role is still elite",NULL,170,194,2,NULL,2,1,2,146,22,0,160,73," 9 / 21"," 18 / 21"," 3 / 21"," 0 / 21"," 0 / 21",52,45,28,31,36,NULL,NULL,0,0,17,14,2,NULL,NULL,118,0,115,3,121,-3,129,-11,NULL,NULL,NULL,0,118,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,139,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,29.8,74.9,35.6,2.8,3.8,3.7,27.0,81.1,30.4,2.7,2.6,5.3,"Intercepts",1,2,118,100,5,41,139,117,18,NULL,118,NULL,3.5,3.7,0.0,0.7,1.7,5.3,0.0,0.3
"CD_I290528","Max Gawn",118,110,668900,124,"Overs","R2","R6",1,18,0,"Gawn was a popular R1 last season as he was going in solo after a few years of sharing the ruck duties. Come his mid-season bye, he didn't disappoint, averaging 130 and was the number one man in SuperCoach. And it wasn't a complete shock, given he averaged 140 in 2020 (the last time he was completely solo) and went over 120 six times in 2023 when he averaged over 90% CBAs. However, his age and carrying the team started to take its toll. He averaged 115 post-bye as he battled with an ankle injury and started to look like a 33-year-old. He and the Dees will be looking to bounce back in 2025 and there will be times he'll look the number one ruck in SuperCoach, but the Dees can't afford to wear him out as they did last season and I'd rather start with someone with more upside.","130 pre bye but started to look tired late, now 33 he's got some left in the tank but his glory days are over, even if he remains a one-man band at the Dees",NULL,116,125,1,NULL,1,3,1,152,14,-16,180,72," 10 / 21"," 15 / 21"," 2 / 21"," 0 / 21"," 0 / 21",78,88,79,79,88,NULL,NULL,0,0,0,0,0,NULL,NULL,124,0,130,-6,115,10,125,-1,NULL,NULL,NULL,0,140,115,120,140,128,125,92,1,8,5,1,2,4,35,151,129,135,151,149,147,116,-16,-6,-19,11,4,33,-27,19.1,60.0,63.3,3.6,2.6,9.1,18.5,63.3,67.2,4.3,5.0,8.9,"HO to Adv",4,1,124,106,1,28,146,131,18,-8,124,NULL,5.0,4.0,9.1,0.5,5.8,3.3,8.9,0.4
"CD_I294305","Lachie Whitfield",107,105,598100,111,"Full","D6","D11",1,29,0,"It's crazy that 2024 was only the second time Whitfield has averaged 110+ over a full season, given he's had multiple stretches of being one of the best accumulators in the game. However, something typically interrupts his season and impacts his average, so it was good to see him get a clear run at it last season. It's also good to see him back in his natural position, after Leon Cameron played him up the ground in his last two seasons. My hesitation last year was that the Giants had a number of distributors - Himmelberg, Cumming and Ash being the main competitors. In the end, Whitfield averaged the 3rd highest percentage of kick-ins across the league, so he was their clear main man and will likely remain that way. When he's in that role, he's a 110+ SuperCoach prospect (even more based on his post-bye form) and while the tag and injury threat will always be there, he's a likely top six defender in 2025. For Classic, his price is a bit high for someone with an early bye for me to consider starting.","Career best season highlighted by 122 post bye, that's going to be hard to sustain but he's averaged 110+ when in the right role and not interrupted before",NULL,97,127,4,NULL,3,2,4,139,11,0,153,54," 7 / 25"," 19 / 25"," 4 / 25"," 2 / 25"," 0 / 25",0,0,0,0,0,0,NULL,62,43,60,55,52,66,NULL,111,0,99,12,122,-11,128,-17,110,1,NULL,0,111,86,94,105,107,103,95,51,106,53,29,18,19,27,136,103,115,122,126,117,110,0,-8,-10,-2,4,8,11,30.2,82.1,25.7,3.7,2.9,4.2,27.0,81.1,30.4,2.7,2.6,5.3,"Intercepts",11,4,111,95,15,63,136,119,16,9,111,NULL,1.3,4.2,0.0,0.0,1.7,5.3,0.0,0.3
"CD_I261224","Dayne Zorko",103,91,595100,110,"Overs","D16","D36",29,2,16,"Zorko entered 2024 coming off two injury impacted seasons where he was subbed off early four times. At 34, many put a line through him thinking his body was shot. However, some new physio techniques saw him overcome his soft tissue worries and after injuries to creative half-backs Coleman and McKenna, Zorko moved to the half back line to give Brisbane some much needed spark. It proved a masterstroke, with Zorko being one of the best rebounding defenders in the game and became the oldest ever All-Australian. I'm confident he will remain in the role, despite Coleman set to return, however his role might not be as prominent. Add the fact he's turning 36, he's a likely regression candidate heading into 2025 and one I'd avoid at that price.","Played every game at a 110 average for a 35-year-old was remarkable, role should stick but Coleman returning and another year older makes him a clear regression candidate",NULL,123,144,5,NULL,5,7,5,138,16,-1,161,56," 7 / 27"," 15 / 27"," 5 / 27"," 2 / 27"," 0 / 27",0,19,0,1,6,10,NULL,38,27,36,38,35,29,NULL,110,0,110,0,111,-1,113,-3,92,19,NULL,2,111,82,106,96,107,96,111,52,128,24,58,16,33,7,134,114,128,120,129,114,132,-3,-24,10,-11,11,-15,2,26.3,77.6,23.9,3.2,3.2,5.3,27.0,81.1,30.4,2.7,2.6,5.3,"Intercepts",36,7,108,83,26,121,130,113,25,1,108,NULL,1.0,5.3,0.0,0.3,1.7,5.3,0.0,0.3
"CD_I291790","Adam Treloar",89,88,628200,117,"Overs","M57","M88",2,16,21,"Treloar has been a SuperCoach stud over the journey, averaging 101+ seven seasons in a row from 2014 to 2020. He was then struck down by soft tissue injuries, averaging 14 games per season between 2020 and 2022 and averaging less than 100 in that time. However, he showed signs at the end of 2023 that he had gotten over these issues, averaging 115 in L5. He took that form into 2024, playing all bar one game and ending with a 117 average and winning his first All-Australian blazer. I have been a doubter given his injury history and there were a few nervous moments in 2024, but he certainly proved me wrong. A year older and priced at 117, it's hard not to be a doubter again, especially as a starting option at that price. UPDATE: Set to miss the first two months of the season with a calf issue. ","Most expensive mid after a super All-Australian season, but age and injury history makes him a far riskier prospect in 2025 and now missing the first two months with a calf issue",NULL,0,0,6,NULL,7,5,3,144,0,1,153,58," 10 / 23"," 16 / 23"," 2 / 23"," 1 / 23"," 1 / 23",86,88,81,79,78,88,0,0,0,0,0,0,0,0,117,0,116,1,117,0,121,-4,110,7,NULL,1,116,96,91,105,111,102,101,30,58,64,28,12,20,17,140,117,121,138,140,129,125,0,5,-14,-7,9,1,-10,30.2,68.9,35.2,3.6,4.5,5.5,28.2,69.1,43.7,3.5,4.5,6.2,"Clearances",71,3,116,108,8,22,140,137,9,12,116,NULL,5.5,3.0,0.0,0.7,6.2,2.9,0.0,0.8
"CD_I992016","Zach Merrett",111,107,621100,115,"Overs","M11","M39",2,24,0,"Merrett's 115 average in 2024 made it eight 106+ seasons in his 11 years in the comp, and five in a row over 110, making him one of the best SuperCoach players of all time. Adding to the consistency is his ability to go big, surpassing 120 20 times in the last two seasons. While his output is no doubt impressive, the Dons are aware of their over-reliance on their skipper and would like to spread the load more in 2025. Regardless, I don't see any upside at that price and along with an early bye, I see Merrett as an upgrade target for 2025.","8 x 106+ seasons in his 11 years in the comp is remarkable consistency, Dons don't want to be as reliant on him as they have in the past but he's still a jet",NULL,78,97,8,NULL,12,10,3,143,-2,-1,145,74," 11 / 23"," 18 / 23"," 3 / 23"," 0 / 23"," 0 / 23",79,78,82,80,75,NULL,NULL,0,0,1,1,0,NULL,NULL,115,0,117,-2,112,3,115,0,NULL,NULL,NULL,0,116,112,115,116,106,100,109,29,11,14,10,19,25,9,143,135,139,140,138,132,143,-1,-2,-1,10,5,-9,-2,28.2,69.3,34.3,3.5,5.0,4.3,28.2,69.1,43.7,3.5,4.5,6.2,"Clearances",33,6,115,116,11,6,136,138,-1,4,115,NULL,4.3,2.8,0.0,0.6,6.2,2.9,0.0,0.8
"CD_I1013128","Errol Gulden",85,115,581900,108,"Overs","M70","M10",2,7,0,"Gulden entered 2024 with the expectation he could be a top eight mid in SuperCoach, following his historic breakout in 2023 where he averaged 116 post-bye. 133 in the pre-season game meant that many were earmarking starting with the 21-year-old with a perfect inside/outside game. However, 77 in the Opening Round caused a change of plans. He still had a great season, averaging 108 for the year (111 post-bye), however he had 11 games where he failed to reach 100, which is much more than the average premium SuperCoach mid. It's because he plays in an unconventional manner to the other premium mids with lower CBAs (36%), which leads to lower tackle numbers (3.5 per game compared to the average top eight mid of 4.5) and contested possessions (33% v 44%). He still have seven matches over 120, so he can do it, but I think I'd rather my premium mids spend more time inside for safety. 28 FEB UPDATE: Went down with an ankle in the practice match and didn't look good. Wait for the results but he could be out for a while.","Slight dip after a breakout 2023 with 13 games 100 or less, has the tools to be a top eight mid and I'm expecting a bounce back, but his outside nature and makes it harder for him to put up 110+ scores consistently like the others",NULL,35,252,15,NULL,49,32,9,136,0,-4,157,73," 6 / 26"," 14 / 26"," 7 / 26"," 0 / 26"," 0 / 26",25,28,40,40,34,NULL,NULL,0,0,0,0,0,NULL,NULL,108,0,105,3,111,-3,98,10,100,8,NULL,1,112,84,76,NULL,NULL,NULL,NULL,48,114,151,NULL,NULL,NULL,NULL,127,105,95,NULL,NULL,NULL,NULL,-5,9,NULL,NULL,NULL,NULL,NULL,27.1,64.6,33.1,4.5,3.5,3.8,28.2,69.1,43.7,3.5,4.5,6.2,"Clearances",9,16,107,112,28,15,118,127,-5,28,107,NULL,3.8,4.0,0.0,0.6,6.2,2.9,0.0,0.8
"CD_I1009260","Sam Flanders",106,112,641500,119,"Overs","D11/M28","D5/M19",1,12,6,"Flanders was a popular forward option last season after a 139 VFL AFL SuperCoach average and 106 post-bye from 38% CBAs once Stewy Dew left in 2023. More midfield time was flagged and it eventuated, averaging 49% CBAs across the first three games. However, it was his move to half back that proved most fruitful, where he averaged 126 from Round 4 to 15. However, it didn't change the Suns' fortunes, and he finished the season back in the midfield rotation and spending time in F50. His score naturally copped a hit, as half-back is a more attractive SuperCoach role than inside mid in modern footy. With the recruitment of Rioli and Noble, it appears the Flanders half back experiment is over and he will be used as a MID/FWD in 2025. He's a natural scorer, as we saw in 2023, but priced at 119, it's going to be hard for him to sustain that in the less favourable role. He's kept his defender status which will keep him very relevant this season, however I see him as an upgrade target, particularly given his early bye. UPDATE: Been battling with a back issue since Christmas which has limited his training, never a good sign for someone priced that high.","A natural scorer and when in the cozy half-back role he averaged 120, but more impressively maintained that average when finishing in a MID/FWD role",NULL,0,0,1,NULL,1,4,1,147,17,0,161,91," 9 / 22"," 20 / 22"," 0 / 22"," 0 / 22"," 0 / 22",11,77,37,32,NULL,NULL,NULL,0,0,19,26,NULL,NULL,NULL,119,0,120,-1,118,2,121,-2,NULL,NULL,NULL,0,119,47,55,36,NULL,NULL,NULL,20,410,312,328,NULL,NULL,NULL,144,68,77,51,NULL,NULL,NULL,0,-8,19,NULL,NULL,NULL,NULL,30.9,78.8,31.2,3.3,2.3,4.8,27.0,81.1,30.4,2.7,2.6,5.3,"Intercepts",5,1,119,88,4,89,144,123,31,42,119,NULL,3.6,4.8,0.0,0.5,1.7,5.3,0.0,0.3
