"Team","Icon","Last","LastOpp","Season","SeasonOpp","Last3","Last3Opp","Top3Mid","Top3OppMid","TopRuc","TopOppRuc","Top2Def","Top2OppDef","Top2For","Top2OppFor"
"Adelaide Crows","ADE",1499,1429,1668,1429,1624,1430,112,93,78,78,91,90,100,78
"Brisbane Lions","BRL",1682,1510,1599,1430,1688,1419,115,93,82,72,96,80,65,84
"Carlton","CAR",1585,1504,1539,1544,1501,1565,104,107,113,103,80,77,83,77
"Collingwood","COLL",1504,1585,1518,1466,1568,1434,94,105,108,83,80,94,80,77
"Essendon","ESS",1611,1541,1553,1652,1553,1652,109,106,76,76,84,89,77,89
"Fremantle","FRE",1473,1558,1428,1525,1446,1432,96,94,93,99,86,91,79,86
"GWS GIANTS","GWS",1735,1186,1552,1410,1549,1424,98,83,75,107,114,86,93,63
"Geelong Cats","GEE",1911,1292,1660,1504,1612,1548,102,107,85,102,100,94,97,68
"Gold Coast SUNS","GCS",1429,1499,1552,1395,1552,1395,102,96,100,70,89,83,88,68
"Hawthorn","HAW",1489,1501,1538,1470,1564,1513,101,99,84,88,84,91,77,74
"Melbourne","MEL",1292,1911,1440,1640,1388,1715,94,104,92,78,99,106,60,96
"North Melbourne","NTH",1555,1592,1582,1510,1564,1519,105,98,94,77,91,102,88,89
"Port Adelaide","PORT",1470,1346,1583,1464,1648,1392,107,90,84,70,99,87,77,84
"Richmond","RICH",1510,1682,1418,1744,1398,1774,89,117,95,103,86,93,70,85
"St Kilda","STK",1346,1470,1564,1554,1610,1473,105,99,102,84,97,94,85,78
"Sydney Swans","SYD",1592,1555,1474,1444,1518,1439,91,101,82,94,95,88,67,69
"West Coast Eagles","WCE",1186,1735,1238,1652,1244,1660,80,106,64,102,76,97,63,90
"Western Bulldogs","WB",1558,1473,1491,1551,1493,1522,100,104,97,108,84,88,91,84
