"Team","Icon","Last","LastOpp","Season","SeasonOpp","Last3","Last3Opp","Top3Mid","Top3OppMid","TopRuc","TopOppRuc","Top2Def","Top2OppDef","Top2For","Top2OppFor"
"Adelaide Crows","ADE",1675,1626,1796,1506,1774,1527,115,99,77,82,100,99,111,80
"Brisbane Lions","BRL",1785,1513,1764,1536,1805,1494,129,98,88,64,114,94,70,82
"Carlton","CAR",1582,1719,1575,1725,1539,1760,111,115,122,94,85,96,81,87
"Collingwood","COLL",1719,1582,1700,1601,1762,1539,102,117,110,88,98,110,86,78
"Essendon","ESS",1748,1552,1581,1718,1581,1718,112,109,86,82,85,92,84,99
"Fremantle","FRE",1708,1593,1670,1631,1741,1560,110,102,117,99,103,102,88,92
"GWS GIANTS","GWS",2051,1252,1759,1542,1749,1551,106,88,84,116,125,96,106,75
"Geelong Cats","GEE",1892,1407,1714,1586,1670,1630,106,112,86,100,102,113,84,70
"Gold Coast SUNS","GCS",1626,1675,1774,1527,1774,1527,116,99,118,81,110,101,98,70
"Hawthorn","HAW",1723,1576,1736,1562,1744,1554,112,104,103,98,98,97,93,80
"Melbourne","MEL",1407,1892,1533,1768,1484,1816,93,110,102,110,108,112,72,103
"North Melbourne","NTH",1643,1652,1666,1634,1664,1635,106,103,110,80,100,110,95,107
"Port Adelaide","PORT",1640,1663,1676,1625,1749,1553,113,97,90,70,100,100,82,96
"Richmond","RICH",1513,1785,1460,1842,1407,1895,93,125,98,120,88,100,80,92
"St Kilda","STK",1663,1640,1679,1624,1758,1545,111,100,90,89,109,96,98,86
"Sydney Swans","SYD",1652,1643,1634,1666,1649,1650,97,117,93,107,110,105,78,83
"West Coast Eagles","WCE",1252,2051,1364,1937,1363,1938,84,120,66,119,95,111,71,112
"Western Bulldogs","WB",1593,1708,1638,1663,1641,1660,112,108,90,120,102,96,107,87
