mm_name,af_name
Jackson Macrae,Jack Macrae
Zachary Merrett,Zach Merrett
Thomas Liberatore,Tom Liberatore
Joshua Kelly,Josh Kelly
Oliver Wines,Ollie Wines
Lachlan Ash,Lachie Ash
Matthew Roberts,Matt Roberts
Mitchell Knevitt,Mitch Knevitt
Nicholas Martin,Nic Martin
Harrison Himmelberg,Harry Himmelberg
Timothy English,Tim English
Lachlan Weller,Lachie Weller
Lachlan Schultz,Lachie Schultz
Matt Johnson,Matthew Johnson
Cameron Mackenzie,Cam Mackenzie
Matthew Flynn,Matt Flynn
Ollie Dempsey,Oliver Dempsey
Matt Cottrell,Matthew Cottrell
Matt Owies,Matthew Owies
Nicholas Holman,Nick Holman
Samuel Collins,Sam Collins
Mitchito Owens,Mitch Owens
Tom Edwards,Thomas Edwards
Lachie Sullivan,Lachlan Sullivan
Thomas Stewart,Tom Stewart
Callum Brown,Callum M. Brown
Bradley Close,Brad Close
Zachary Williams,Zac Williams
Cameron Rayner,Cam Rayner
Robert Hansen,Robert Hansen Jr
Lachlan Fogarty,Lachie Fogarty
Josh Draper,Joshua Draper
Lachlan Jones,Lachie Jones
Nathan Fyfe,Nat Fyfe
Nick Madden,Nicholas Madden
Joseph Fonti,Joe Fonti
Will Hayes,William Hayes
Alix Tauru,Alixzander Tauru
Daniel Butler,Dan Butler
Will Green,William Green
Dominic Sheed,Dom Sheed
Will Edwards,William Edwards
Mitchell Duncan,Mitch Duncan
Nikolas Cox,Nik Cox
Mitchell Lewis,Mitch Lewis
Leo Lombard,Leonardo Lombard
Alwyn Davey,Alwyn Davey Jnr
Nicholas Coffield,Nick Coffield
